Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDARandomTopics,5,0,6,6,31,6,0,1,0.0,0,1,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDARandomTopics.java,6
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDAPartialTopics,3,0,8,7,139,30,0,0,0.0,1,1,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDAPartialTopics.java,5
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDAPartialSparseTopics,3,0,3,3,36,8,0,0,0.0,1,1,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDAPartialSparseTopics.java,7
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDASparseTopics,4,0,6,6,31,7,0,1,0.3333333333333333,1,1,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDASparseTopics.java,6
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDADenseTopics,6,0,8,8,45,12,0,1,0.0,1,1,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDADenseTopics.java,6
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDADoc,7,0,7,7,116,27,0,0,0.0,0,6,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDADoc.java,11
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDADict,3,0,6,6,28,7,0,0,0.0,5,0,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDADict.java,8
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDATopics,0,0,5,5,7,5,3,0,-1.0,1,1,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDATopics.java,5
etsy_Conjecture,com.etsy.conjecture.topics.lda,LDAUtils,1,0,2,2,28,4,0,0,1.0,1,0,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/topics/lda/LDAUtils.java,5
etsy_Conjecture,com.etsy.conjecture,Utilities,5,4,19,18,152,37,0,0,0.7368421052631579,10,0,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/Utilities.java,16
etsy_Conjecture,com.etsy.conjecture,Utilities.ValueComparator,1,0,0,0,10,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/etsy_Conjecture/src/main/java/com/etsy/conjecture/Utilities.java,176
