Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
fge_grappa,com.github.fge.grappa.buffers,CharSequenceInputBuffer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.stack,ArrayValueStack,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ValueStackBase
fge_grappa,com.github.fge.grappa.stack,ArrayValueStack.ArrayWithSize,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: array; arraySize
fge_grappa,com.github.fge.grappa.stack,ArrayValueStack.ArrayWithSize,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.stack,ArrayValueStack.ArrayIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: array; arraySize; index
fge_grappa,com.github.fge.grappa.stack,ArrayValueStack.ArrayIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.stack,ListValueStack,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.stack,ListValueStack,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ValueStackBase
fge_grappa,com.github.fge.grappa.stack,ArrayValueStackTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.stack,ListValueStackTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.stack,DummyValueStack,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ValueStackBase
fge_grappa,com.github.fge.grappa.stack,ValueStackBaseTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
fge_grappa,com.github.fge.grappa.rules,SkippableAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.misc,Reference,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
fge_grappa,com.github.fge.grappa.misc,ImmutableGraphNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
