Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_17_R1,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_10_R1,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_13_R2,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_14_R1,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_9_R2,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_18_R2,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_18_R1,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.common,NMSErrors,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXCEPTION_GETTING_ENTITY_ID_GENERATOR; EXCEPTION_ON_PACKET_READ; EXCEPTION_MODIFYING_CHANNEL_PIPELINE
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_16_R3,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
filoghost_HolographicDisplays,me.filoghost.holographicdisplays.nms.v1_8_R3,InboundPacketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HANDLER_NAME
