Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
freemarker_fmpp,fmpp,Engine,Engine,Long Identifier,The length of the parameter freemarkerIncompatibleImprovements is 34.,303
freemarker_fmpp,fmpp,Engine,Engine,Long Identifier,The length of the parameter freemarkerIncompatibleImprovements is 34.,312
freemarker_fmpp,fmpp,Engine,Engine,Long Identifier,The length of the field mapCommonExtensionsToOutputFormats is 34.,312
freemarker_fmpp,fmpp,Engine,Engine,Magic Number,The method contains a magic number: 10000,312
freemarker_fmpp,fmpp,Engine,validateRecommendedDefaults,Long Statement,The length of the statement "throw new IllegalArgumentException("\"recommendedDefaults\" setting value \"" + recommendedDefaults + "\" is lower than the allowed minimum` \""+ VERSION_0_9_15+ "\".");" is 169.,405
freemarker_fmpp,fmpp,Engine,validateRecommendedDefaults,Long Statement,The length of the statement "throw new IllegalArgumentException("\"recommendedDefaults\" setting value \"" + recommendedDefaults + "\" is higher than the current FMPP version` \""+ getVersion()+ "\".");" is 173.,405
freemarker_fmpp,fmpp,Engine,createDefaultObjectWrapper,Long Statement,The length of the statement "if (recommendedDefaultsGE0916(recommendedDefaults) && fmIncompImprovements.intValue() >= Configuration.VERSION_2_3_21.intValue()) {" is 131.,430
freemarker_fmpp,fmpp,Engine,getDefaultFreemarkerIncompatibleImprovements,Long Statement,The length of the statement "return recommendedDefaultsGE0916(fmppRecommendedDefaults) ? Configuration.VERSION_2_3_28 : Configuration.DEFAULT_INCOMPATIBLE_IMPROVEMENTS;" is 139.,459
freemarker_fmpp,fmpp,Engine,process,Complex Method,Cyclomatic complexity of the method is 8,474
freemarker_fmpp,fmpp,Engine,process,Long Statement,The length of the statement "throw new IOException("The source file (" + src.getPath() + ") is not inside the source root ("+ srcRoot.getPath()+ ")");" is 121.,474
freemarker_fmpp,fmpp,Engine,process,Complex Method,Cyclomatic complexity of the method is 13,589
freemarker_fmpp,fmpp,Engine,process,Long Statement,The length of the statement "throw new IOException("The source file (" + src.getPath() + ") is not inside the source root ("+ srcRoot.getPath()+ ")");" is 121.,589
freemarker_fmpp,fmpp,Engine,process,Long Statement,The length of the statement "throw new IOException("The output file (" + out.getPath() + ") is not inside the output root ("+ outRoot.getPath()+ ")");" is 121.,589
freemarker_fmpp,fmpp,Engine,setupSession,Complex Method,Cyclomatic complexity of the method is 11,713
freemarker_fmpp,fmpp,Engine,setupSession,Long Statement,The length of the statement "throw new IllegalConfigurationException("Failed to convert data " + StringUtil.jQuote(ent.getKey()) + " to FreeMarker variable."`e);" is 132.,713
freemarker_fmpp,fmpp,Engine,processDir,Complex Conditional,The conditional expression name.equals("CVS") || (!csPathCmp && name.equalsIgnoreCase("CVS")) is complex.,793
