Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
freenet_plugin-Freetalk,plugins.Freetalk,IdentityManager,9,0,26,20,154,38,0,0,0.6153846153846154,7,5,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/IdentityManager.java,18
freenet_plugin-Freetalk,plugins.Freetalk,IdentityManager.NewIdentityCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/IdentityManager.java,103
freenet_plugin-Freetalk,plugins.Freetalk,IdentityManager.NewOwnIdentityCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/IdentityManager.java,107
freenet_plugin-Freetalk,plugins.Freetalk,IdentityManager.IdentityDeletedCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/IdentityManager.java,111
freenet_plugin-Freetalk,plugins.Freetalk,IdentityManager.OwnIdentityDeletedCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/IdentityManager.java,115
freenet_plugin-Freetalk,plugins.Freetalk,IdentityManager.ShouldFetchStateChangedCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/IdentityManager.java,119
freenet_plugin-Freetalk,plugins.Freetalk,MessageListInserter,2,0,2,1,14,2,0,0,0.0,0,2,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/MessageListInserter.java,10
freenet_plugin-Freetalk,plugins.Freetalk,Freetalk,32,11,37,28,526,89,0,0,0.21621621621621623,56,28,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/Freetalk.java,66
freenet_plugin-Freetalk,plugins.Freetalk,OwnIdentity,0,0,8,8,36,8,0,1,-1.0,37,1,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/OwnIdentity.java,8
freenet_plugin-Freetalk,plugins.Freetalk,MessageURI,0,0,6,6,21,6,0,1,-1.0,6,1,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/MessageURI.java,10
freenet_plugin-Freetalk,plugins.Freetalk,PluginTalkerBlocking,7,3,3,3,66,7,0,0,0.0,1,1,/data/research/workspace/testability/data/repos/freenet_plugin-Freetalk/src/plugins/Freetalk/PluginTalkerBlocking.java,15
