Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
getsentry_raven-java,io.sentry.android.core,AndroidTransactionProfiler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
getsentry_raven-java,io.sentry.android.core,AppLifecycleIntegration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
getsentry_raven-java,io.sentry.android.core,SentryAndroid,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
getsentry_raven-java,io.sentry.android.core,ActivityLifecycleIntegration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
getsentry_raven-java,io.sentry.android.core,AnrIntegration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
getsentry_raven-java,io.sentry.android.core,DefaultAndroidEventProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
getsentry_raven-java,io.sentry.android.core,AppComponentsBreadcrumbsIntegration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
getsentry_raven-java,io.sentry.android.core,AndroidOptionsInitializer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
getsentry_raven-java,io.sentry.android.core,NdkIntegration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SENTRY_NDK_CLASS_NAME
getsentry_raven-java,io.sentry.android.core,PerformanceAndroidEventProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
getsentry_raven-java,io.sentry.android.core.internal.gestures,SentryGestureListener,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
getsentry_raven-java,io.sentry.log4j2,SentryAppender,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
getsentry_raven-java,io.sentry.logback,SentryAppender,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
getsentry_raven-java,io.sentry.jul,SentryHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: THREAD_ID
getsentry_raven-java,io.sentry.jul,SentryHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OPERATION_ID; QUERY_DOCUMENT; OPERATION_NAME
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Variables,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Data,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Mapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Launch,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Mapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Mission,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.apollo,LaunchDetailsQuery.Mapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.samples.console,Main,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
getsentry_raven-java,io.sentry.samples.netflix.dgs.graphql.types,Show.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.samples.netflix.dgs.graphql,DgsConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: QUERY_TYPE; TYPE_NAME; Shows; NewShows; TYPE_NAME; Id; Title; ReleaseYear
getsentry_raven-java,io.sentry.samples.netflix.dgs.graphql,DgsConstants.QUERY,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.samples.netflix.dgs.graphql,DgsConstants.QUERY,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_NAME; Shows; NewShows
getsentry_raven-java,io.sentry.samples.netflix.dgs.graphql,DgsConstants.SHOW,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry.samples.netflix.dgs.graphql,DgsConstants.SHOW,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_NAME; Id; Title; ReleaseYear
getsentry_raven-java,io.sentry.transport.apache,ApacheHttpClientTransport,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
getsentry_raven-java,io.sentry.vendor.gson.internal.bind.util,ISO8601Utils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TIMEZONE_UTC
getsentry_raven-java,io.sentry.vendor,Base64,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT; NO_PADDING; NO_WRAP; CRLF; URL_SAFE; NO_CLOSE; LINE_GROUPS
getsentry_raven-java,io.sentry.vendor,Base64.Encoder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LINE_GROUPS
getsentry_raven-java,io.sentry,Hub,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 41
getsentry_raven-java,io.sentry,SpanId,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ID
getsentry_raven-java,io.sentry,SpanId.Deserializer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
getsentry_raven-java,io.sentry,NoOpSentryClient,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
getsentry_raven-java,io.sentry,NoOpHub,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
getsentry_raven-java,io.sentry,SentryEnvelope,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
getsentry_raven-java,io.sentry,JsonSerializer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 42
