Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
gid15_jpcsp,jpcsp,ParameterReader,ParameterReader,4,1,2,35,0,,
gid15_jpcsp,jpcsp,ParameterReader,setCpu,3,1,1,40,0,,
gid15_jpcsp,jpcsp,ParameterReader,resetReading,4,1,0,44,0,,
gid15_jpcsp,jpcsp,ParameterReader,getParameterIntAt,6,2,1,49,0,jpcsp.Memory,jpcsp.Memory; jpcsp.Allegrex.GprState
gid15_jpcsp,jpcsp,ParameterReader,getParameterFloatAt,6,2,1,56,0,,
gid15_jpcsp,jpcsp,ParameterReader,getParameterLongAt,6,2,1,63,0,jpcsp.ParameterReader,jpcsp.ParameterReader
gid15_jpcsp,jpcsp,ParameterReader,moveParameterIndex,8,2,1,70,0,,
gid15_jpcsp,jpcsp,ParameterReader,moveParameterIndexFloat,8,2,1,79,0,,
gid15_jpcsp,jpcsp,ParameterReader,getNextInt,3,1,0,88,0,jpcsp.ParameterReader,jpcsp.ParameterReader
gid15_jpcsp,jpcsp,ParameterReader,getNextLong,3,1,0,92,0,jpcsp.ParameterReader,jpcsp.ParameterReader
gid15_jpcsp,jpcsp,ParameterReader,getNextFloat,3,1,0,96,0,jpcsp.ParameterReader,jpcsp.ParameterReader
gid15_jpcsp,jpcsp,ParameterReader,setReturnValueInt,3,1,1,100,0,,
gid15_jpcsp,jpcsp,ParameterReader,setReturnValueFloat,3,1,1,104,0,,
gid15_jpcsp,jpcsp,ParameterReader,setReturnValueLong,4,1,1,109,0,,
gid15_jpcsp,jpcsp,WindowPropSaver,eventDispatched,11,3,1,38,0,jpcsp.WindowPropSaver,jpcsp.WindowPropSaver
gid15_jpcsp,jpcsp,WindowPropSaver,loadWindowProperties,3,1,1,56,0,jpcsp.WindowPropSaver,jpcsp.WindowPropSaver
gid15_jpcsp,jpcsp,WindowPropSaver,saveWindowProperties,3,1,1,68,0,jpcsp.WindowPropSaver,jpcsp.WindowPropSaver
gid15_jpcsp,jpcsp,WindowPropSaver,onLoadPosition,24,7,1,78,0,jpcsp.WindowPropSaver,jpcsp.WindowPropSaver; jpcsp.GUI.IMainGUI; jpcsp.Emulator; jpcsp.settings.Settings
gid15_jpcsp,jpcsp,WindowPropSaver,onSavePosition,19,6,1,125,0,jpcsp.WindowPropSaver,jpcsp.WindowPropSaver; jpcsp.settings.Settings; jpcsp.GUI.IMainGUI; jpcsp.Emulator
gid15_jpcsp,jpcsp,WindowPropSaver,isWindowResizeable,3,1,1,162,0,,
gid15_jpcsp,jpcsp,WindowPropSaver,isWindowFrameOrDialog,3,1,1,175,0,,
gid15_jpcsp,jpcsp,NIDMapper,getInstance,6,2,0,205,0,,
gid15_jpcsp,jpcsp,NIDMapper,NIDMapper,8,1,0,212,0,,
gid15_jpcsp,jpcsp,NIDMapper,addModuleNIDInfo,8,2,1,223,0,,
gid15_jpcsp,jpcsp,NIDMapper,addNIDInfo,15,5,1,232,0,jpcsp.NIDMapper,jpcsp.NIDMapper
gid15_jpcsp,jpcsp,NIDMapper,removeNIDInfo,21,7,1,253,0,,
gid15_jpcsp,jpcsp,NIDMapper,getNIDInfoByNid,11,3,2,280,0,,
gid15_jpcsp,jpcsp,NIDMapper,getNIDInfoBySyscall,3,1,1,296,0,,
gid15_jpcsp,jpcsp,NIDMapper,getNIDInfoByAddress,3,1,1,300,0,,
