Project Name,Package Name,Architecture Smell,Cause of the Smell
glazedlists_glazedlists,ca.odell.glazedlists,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 234
glazedlists_glazedlists,ca.odell.glazedlists,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.odell.glazedlists; ca.odell.glazedlists.matchers
glazedlists_glazedlists,ca.odell.glazedlists,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.odell.glazedlists; ca.odell.glazedlists.matchers; ca.odell.glazedlists.impl.filter
glazedlists_glazedlists,ca.odell.glazedlists,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ca.odell.glazedlists.matchers; ca.odell.glazedlists.impl.adt; ca.odell.glazedlists.impl; ca.odell.glazedlists.impl.adt.barcode2
glazedlists_glazedlists,ca.odell.glazedlists,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SortedListBenchmark; EventList; TransformedList; SortedList; BasicEventList; GlazedLists; TextFilterator; DisposableMap; AbstractEventList; CollectionList; CollectionList.EventChildElement; Filterator; ThresholdList; PopularityList; SyncListener; ListSelection; ListSelection.SelectedList; ListSelection.DeselectedList; PluggableList; LockbasedSyncListener; DebugList; UndoRedoSupport; UndoRedoSupport.AbstractSimpleEdit; GroupingList; Guard; FunctionList; ObservableElementList; UniqueList; SeparatorList; SeparatorList.SeparatorInjectorList; RangeList; TransactionList; TransactionList.RollbackSupportListener; TransactionList.Context; CompositeList; FreezableList; ThresholdListTest; ThresholdListTest.IntegerEvaluator; ThresholdListTest.IntegerAsStringEvaluator; ReadOnlyListTest; ListModificationTest; MultipleEventsTest; ListSelectionTest; ListSelectionTest.ListSelectionCounter; ForwardEventTest; ForwardEventTest.ForwardingList; IntegerArrayMatcherEditor; NestableEventsList; UniqueListTest; FreezableListTest; MatcherTest; GroupingListTest; EventListTest; GuardTest; ObservableElementListTest; ThreadRecorderEventList; MultipleSourcesTest; IndexOrderTest; SequenceListTest; FunctionListTest; FunctionListTest.StringToInteger; FunctionListTest.IntegerToString; FunctionListTest.IntegerToCardinalityString; FunctionListTest.CardinalityStringToInteger; FunctionListTest.AdvancedIntegerToString; DelayList; LockPerformance; SeparatorListTest; FilterListTest; TransactionListTest; BasicEventListTest; SortedListTest; CollectionMatcherEditor; AbstractEventListTest; PluggableListTest; CollectionListTest; CollectionListTest.StringDecomposerModel; CollectionListTest.SimpleListModel; RuntimeExceptionTest; PopularityListTest; PopularityListTest.PopularityListValidator; ToStringTest; DebugListTest; UniqueListPerformance; TextFilterPerformance; TextFilterPerformance.CollectionTextFilterator; NestedEventsTest; CompositeListTest; ThreadedCompositeRunner; ThreadedCompositeRunner.ReaderThread; ThreadedCompositeRunner.WriterThread; RangeListTest; SerializationTestApp; SerializationTestApp.ListHolder; MultipleListenersTest; ListEventAssemblerPerformance; UndoRedoSupportTest; UndoRedoSupportTest.UndoSupportWatcher; SortedListPerformance; BasicEventListBenchmark; SeparatorListBenchmark; SeparatorListOld; FilterList; SeparatorListOld.SeparatorInjectorList; ThreadProxyBenchmark; DefaultExternalExpansionModel; TreeList; TreeListTest; TreeListTest.JavaStructureTreeFormat; TreeListTest.CharacterTreeFormat; TreeList.InitializationData; TreeList.ElementToTreeNodeFunction; TreeList.NoOpFunction; TreeList.NodesList; SequenceList; Sequencers; Sequencers.MonthSequencer; ObservableElementChangeHandler; PopularityList.PopularityComparator]; [SeparatorListBenchmark.Element]; [BenchmarkMain]; [SeparatorListOld.Separator]; [SeparatorListOld.GrouperClient]; [SeparatorListOld.GroupSeparator]; [ThreadProxyBenchmark.ClearAddAllThreadProxy]; [ThreadProxyBenchmark.IterateListEventThreadProxy]; [ThreadProxyBenchmark.SyncCopyThreadProxy]; [TreeList.NodeAttacher]; [TreeList.NodesToAttach]; [TreeList.NodeIndexComparator]; [TreeList.FinderInserter]; [TreeList.ElementLocationComparator]; [TreeList.PathAsListComparator]; [TreeList.ExpansionModel]; [TreeList.DefaultExpansionModel]; [TreeList.CloneStateNewNodeStateModel]; [TreeList.Format]; [TreeList.NodeComparator]; [TreeList.Node]; [TreeList.AllNodesList]; [TreeList.FakeElement]; [TreeListTest.LastCharComparator]; [TreeListTest.NullCompartor]; [FilterList.PrivateMatcherEditorListener]; [SequenceList.Sequencer]; [SortedList.ElementComparator]; [SortedList.ElementRawOrderComparator]; [SortedList.SortedListIterator]; [CollectionList.ChildElement]; [CollectionList.Model]; [CollectionList.SimpleChildElement]; [ThresholdList.Evaluator]; [ThresholdList.ThresholdComparator]; [TextFilterable]; [ListSelection.Listener]; [ListSelection.SelectionToggleList]; [ListSelection.DeselectionToggleList]; [DebugList.ListEventForwarder]; [DebugList.DebugReadWriteLock]; [DebugList.DebugLock]; [UndoRedoSupport.TXSourceListener]; [UndoRedoSupport.Listener]; [UndoRedoSupport.Edit]; [UndoRedoSupport.AbstractEdit]; [UndoRedoSupport.CompositeEdit]; [UndoRedoSupport.AddEdit]; [UndoRedoSupport.RemoveEdit]; [UndoRedoSupport.UpdateEdit]; [GroupingList.GrouperClient]; [GroupingList.GroupList]; [FunctionList.Function]; [FunctionList.AdvancedFunction]; [FunctionList.AdvancedFunctionAdapter]; [ObservableElementList.Connector]; [UniqueList.GrouperClient]; [SeparatorList.Separator]; [SeparatorList.GrouperClient]; [SeparatorList.GroupSeparator]; [ThresholdListTest.SimpleJavaBeanObject]; [ReadOnlyListTest.AbstractBase]; [ReadOnlyListTest.Derived]; [ReadOnlyListTest.Concrete]; [ListModificationTest.VowelMatcher]; [ListSelectionTest.OddNumbersUnselectableMatcher]; [ListSelectionTest.EvenNumbersUnselectableMatcher]; [ForwardEventTest.GetTypeListener]; [ForwardEventTest.GetBlockStartIndexListener]; [ForwardEventTest.GetBlockEndIndexListener]; [ForwardEventTest.GetIndexListener]; [ForwardEventTest.GetTypeTooFarListener]; [ForwardEventTest.GetBlockStartIndexTooFarListener]; [ForwardEventTest.GetBlockEndIndexTooFarListener]; [ForwardEventTest.GetIndexTooFarListener]; [ForwardEventTest.DoNotStartIteratingListEventListener]; [ForwardEventTest.IterateTooFarListEventListener]; [IntegerArrayMatcherEditor.IntegerArrayMatcher]; [MatcherTest.NumberMatcherEditor]; [MatcherTest.NumberMatcher]; [MatcherTest.CapitalizedStringMatcher]; [MatcherTest.OnMatcher]; [GroupingListTest.Element]; [GroupingListTest.State]; [ObservableElementListTest.LateBloomingMultiEventListJLabelConnector]; [ObservableElementListTest.MultiEventListJLabelConnector]; [ObservableElementListTest.BurstOfThreeJLabelConnector]; [ObservableElementListTest.ComponentConnector]; [ObservableElementListTest.PickyJLabelConnector]; [ObservableElementListTest.LazyThreadedConnector]; [ObservableElementListTest.LazyThreadedPropertyChangeHandler]; [ObservableElementListTest.DelayThenNotifyRunnable]; [MultipleSourcesTest.MultipleSourcesListener]; [GuiTestCase; GuiTestCase.ExecuteGuiTestsRunnable]; [LockPerformance.ReaderRunnable]; [LockPerformance.WriterRunnable]; [StringTableFormat]; [RandomDataFactory]; [SeparatorListTest.CaseComparator]; [SeparatorListTest.SubstringMatcher]; [SeparatorListTest.Element]; [FilterListTest.AllOrNothingMatcherEditor]; [SortedListTest.AlwaysEqualComparator]; [SortedListTest.HalfNullComparator]; [SortedListTest.Position]; [SortedListTest.ReverseStringComparator]; [SortedListTest.Song]; [CollectionMatcherEditor.CollectionMatcher]; [RuntimeExceptionTest.ExceptionThrower]; [IntegerTableFormat]; [DebugListTest.RecorderRunnable]; [UniqueListPerformance.MozillaEntry]; [ThreadedCompositeRunner.ClockedThread]; [ExecutorStatement]; [SortedListPerformance.MozillaEntry]. LCC (Lack of Component Cohesion) = 0.49
glazedlists_glazedlists,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.15. All the dependencies among components: from: ca.odell.glazedlists to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists to: ca.odell.glazedlists.impl.adt; from: ca.odell.glazedlists to: ca.odell.glazedlists.impl; from: ca.odell.glazedlists to: ca.odell.glazedlists.impl.adt.barcode2; from: ca.odell.glazedlists to: ca.odell.glazedlists.event; from: ca.odell.glazedlists to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists to: ca.odell.glazedlists.util.concurrent; from: ca.odell.glazedlists.adt to: ca.odell.glazedlists; from: ca.odell.glazedlists.adt to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.calculation; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.gui; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.impl.swt; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.impl.gui; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.impl.adt; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.swing; from: ca.odell.glazedlists.swt to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.impl.swt to: ca.odell.glazedlists.impl.beans; from: ca.odell.glazedlists.impl.swt to: ca.odell.glazedlists.swt; from: ca.odell.glazedlists.impl.swt to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.swt to: ca.odell.glazedlists.calculation; from: ca.odell.glazedlists.javafx to: ca.odell.glazedlists; from: ca.odell.glazedlists.javafx to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.matchers to: ca.odell.glazedlists; from: ca.odell.glazedlists.matchers to: ca.odell.glazedlists.impl.filter; from: ca.odell.glazedlists.matchers to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.matchers to: ca.odell.glazedlists.impl; from: ca.odell.glazedlists.matchers to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.impl.filter to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists.impl.filter to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.filter to: ca.odell.glazedlists.impl; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.gui; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.impl; from: ca.odell.glazedlists.swing to: com.publicobject.issuesbrowser; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.calculation; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.impl.swing; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.impl.filter; from: ca.odell.glazedlists.swing to: ca.odell.glazedlists.impl.gui; from: ca.odell.glazedlists.nachocalendar to: ca.odell.glazedlists; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.impl.pmap; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.impl.io; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.impl.rbp; from: ca.odell.glazedlists.io to: ca.odell.glazedlists; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.impl.adt.barcode2; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.impl.adt; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.util.concurrent; from: ca.odell.glazedlists.io to: ca.odell.glazedlists.swing; from: ca.odell.glazedlists.impl.io to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.impl.io to: ca.odell.glazedlists.io; from: ca.odell.glazedlists.impl.io to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.rbp to: ca.odell.glazedlists.impl.io; from: ca.odell.glazedlists.impl.rbp to: ca.odell.glazedlists.impl.ctp; from: ca.odell.glazedlists.impl.rbp to: ca.odell.glazedlists.util.concurrent; from: ca.odell.glazedlists.impl.pmap to: ca.odell.glazedlists.impl.io; from: ca.odell.glazedlists.impl.pmap to: ca.odell.glazedlists.impl.nio; from: ca.odell.glazedlists.impl.pmap to: ca.odell.glazedlists.io; from: ca.odell.glazedlists.impl.ctp to: ca.odell.glazedlists.impl.io; from: ca.odell.glazedlists.impl.ctp to: ca.odell.glazedlists.impl.nio; from: ca.odell.glazedlists.impl.ctp to: ca.odell.glazedlists; from: ca.odell.glazedlists.hibernate to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.hibernate to: ca.odell.glazedlists; from: ca.odell.glazedlists.hibernate to: ca.odell.glazedlists.util.concurrent; from: ca.odell.glazedlists.hibernate to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists.swt; from: ca.odell.glazedlists.impl to: com.publicobject.issuesbrowser; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists.impl.adt; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists.impl.text; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists.util.concurrent; from: ca.odell.glazedlists.impl to: ca.odell.glazedlists.impl.testing; from: com.publicobject.misc.swing to: ca.odell.glazedlists.impl; from: com.publicobject.misc.swing to: ca.odell.glazedlists; from: com.publicobject.misc.swing to: ca.odell.glazedlists.event; from: com.publicobject.misc.swing to: ca.odell.glazedlists.swing; from: com.publicobject.misc.xml to: ca.odell.glazedlists.impl.beans; from: com.publicobject.misc.xml to: ca.odell.glazedlists.matchers; from: com.publicobject.xmlbrowser to: ca.odell.glazedlists; from: com.publicobject.xmlbrowser to: com.publicobject.misc.xml; from: com.publicobject.amazonbrowser to: ca.odell.glazedlists; from: com.publicobject.amazonbrowser to: com.publicobject.misc; from: com.publicobject.amazonbrowser to: com.publicobject.misc.util.concurrent; from: com.publicobject.amazonbrowser to: ca.odell.glazedlists.event; from: com.publicobject.amazonbrowser.swing to: ca.odell.glazedlists; from: com.publicobject.amazonbrowser.swing to: ca.odell.glazedlists.impl.testing; from: com.publicobject.amazonbrowser.swing to: com.publicobject.misc; from: com.publicobject.amazonbrowser.swing to: com.publicobject.misc.swing; from: com.publicobject.amazonbrowser.swing to: ca.odell.glazedlists.event; from: com.publicobject.amazonbrowser.swing to: com.publicobject.amazonbrowser; from: com.publicobject.amazonbrowser.swing to: ca.odell.glazedlists.matchers; from: com.publicobject.issuesbrowser.swt to: com.publicobject.issuesbrowser; from: com.publicobject.issuesbrowser.swt to: ca.odell.glazedlists.swt; from: com.publicobject.issuesbrowser.swt to: ca.odell.glazedlists; from: com.publicobject.issuesbrowser.swt to: ca.odell.glazedlists.matchers; from: com.publicobject.issuesbrowser.javafx to: ca.odell.glazedlists; from: com.publicobject.issuesbrowser.javafx to: com.publicobject.issuesbrowser; from: com.publicobject.issuesbrowser.javafx to: ca.odell.glazedlists.javafx; from: com.publicobject.issuesbrowser.javafx to: ca.odell.glazedlists.swing; from: com.publicobject.issuesbrowser.javafx to: ca.odell.glazedlists.matchers; from: com.publicobject.issuesbrowser to: ca.odell.glazedlists; from: com.publicobject.issuesbrowser to: ca.odell.glazedlists.matchers; from: com.publicobject.issuesbrowser to: com.publicobject.misc; from: com.publicobject.issuesbrowser to: ca.odell.glazedlists.impl; from: com.publicobject.issuesbrowser to: ca.odell.glazedlists.jfreechart; from: com.publicobject.issuesbrowser to: ca.odell.glazedlists.swing; from: com.publicobject.issuesbrowser.swing to: com.publicobject.misc.swing; from: com.publicobject.issuesbrowser.swing to: com.publicobject.issuesbrowser; from: com.publicobject.issuesbrowser.swing to: ca.odell.glazedlists; from: com.publicobject.issuesbrowser.swing to: ca.odell.glazedlists.swing; from: com.publicobject.issuesbrowser.swing to: com.publicobject.misc; from: com.publicobject.issuesbrowser.swing to: ca.odell.glazedlists.matchers; from: com.publicobject.issuesbrowser.swing to: ca.odell.glazedlists.event; from: com.publicobject.filebrowser to: ca.odell.glazedlists.gui; from: com.publicobject.filebrowser to: ca.odell.glazedlists; from: com.publicobject.filebrowser to: ca.odell.glazedlists.swing; from: com.publicobject.filebrowser to: com.publicobject.misc.util.concurrent; from: ca.odell.glazedlists.util.concurrent to: com.publicobject.misc.util.concurrent; from: ca.odell.glazedlists.util.concurrent to: ca.odell.glazedlists; from: ca.odell.glazedlists.jfreechart to: ca.odell.glazedlists; from: ca.odell.glazedlists.jfreechart to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.jfreechart to: ca.odell.glazedlists.impl.adt.barcode2; from: ca.odell.glazedlists.jfreechart to: ca.odell.glazedlists.calculation; from: ca.odell.glazedlists.impl.gui to: ca.odell.glazedlists.calculation; from: ca.odell.glazedlists.impl.gui to: ca.odell.glazedlists.gui; from: ca.odell.glazedlists.impl.gui to: ca.odell.glazedlists.impl.sort; from: ca.odell.glazedlists.impl.gui to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.gui to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.impl.swing to: ca.odell.glazedlists.calculation; from: ca.odell.glazedlists.impl.swing to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.swing to: ca.odell.glazedlists.swing; from: ca.odell.glazedlists.impl.swing to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.calculation to: ca.odell.glazedlists; from: ca.odell.glazedlists.calculation to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.calculation to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists.event to: ca.odell.glazedlists; from: ca.odell.glazedlists.event to: ca.odell.glazedlists.impl.event; from: ca.odell.glazedlists.event to: ca.odell.glazedlists.impl; from: ca.odell.glazedlists.event to: ca.odell.glazedlists.impl.adt; from: ca.odell.glazedlists.event to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.gui to: ca.odell.glazedlists; from: ca.odell.glazedlists.gui to: ca.odell.glazedlists.impl.gui; from: ca.odell.glazedlists.gui to: ca.odell.glazedlists.swing; from: ca.odell.glazedlists.impl.sort to: ca.odell.glazedlists.gui; from: ca.odell.glazedlists.impl.sort to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.sort to: ca.odell.glazedlists.impl.beans; from: ca.odell.glazedlists.impl.event to: ca.odell.glazedlists.impl.adt.barcode2; from: ca.odell.glazedlists.impl.event to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.impl.event to: ca.odell.glazedlists.impl.adt; from: ca.odell.glazedlists.impl.testing to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.testing to: ca.odell.glazedlists.event; from: ca.odell.glazedlists.impl.adt to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.impl.adt to: ca.odell.glazedlists.impl; from: ca.odell.glazedlists.impl.adt.barcode2 to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.adt.barcode2 to: ca.odell.glazedlists.impl.testing; from: ca.odell.glazedlists.impl.matchers to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.matchers to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists.impl.matchers to: ca.odell.glazedlists.impl.beans; from: ca.odell.glazedlists.impl.beans to: ca.odell.glazedlists; from: ca.odell.glazedlists.impl.beans to: ca.odell.glazedlists.impl.reflect; from: ca.odell.glazedlists.impl.beans to: ca.odell.glazedlists.matchers; from: ca.odell.glazedlists.impl.beans to: ca.odell.glazedlists.gui.
glazedlists_glazedlists,ca.odell.glazedlists.adt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IndexedTree; IndexedTreeNode; IndexedTreeIterator; SortedListWithIndexedTree; SortedListWithIndexedTree.SortedListIterator]; [SortedListWithIndexedTree.IndexedTreeNodeComparator]; [SortedListWithIndexedTree.IndexedTreeNodeRawOrderComparator]. LCC (Lack of Component Cohesion) = 0.43
glazedlists_glazedlists,ca.odell.glazedlists.swt,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 65
glazedlists_glazedlists,ca.odell.glazedlists.swt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.odell.glazedlists.swt; ca.odell.glazedlists.impl.swt
glazedlists_glazedlists,ca.odell.glazedlists.swt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.odell.glazedlists.swt; ca.odell.glazedlists; ca.odell.glazedlists.impl
