Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
google_google-oauth-java-client,com.google.api.client.extensions.appengine.auth.oauth2,AppEngineCredentialStore,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.auth.oauth2.StoredCredential
google_google-oauth-java-client,com.google.api.client.extensions.appengine.auth.oauth2,AppEngineCredentialStore,Law of Demeter violation,The tool detected the smell in this method (migrateTo) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.api.client.auth.oauth2.StoredCredential.setAccessToken; com.google.api.client.auth.oauth2.StoredCredential.setRefreshToken; com.google.api.client.auth.oauth2.StoredCredential.setExpirationTimeMilliseconds
google_google-oauth-java-client,com.google.api.client.extensions.appengine.auth.oauth2,AppEngineCredentialStoreTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.extensions.appengine.auth.oauth2.AppEngineCredentialStore
google_google-oauth-java-client,com.google.api.services.samples.dailymotion.cmdline,OAuth2ClientCredentials,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: API_KEY; API_SECRET; PORT; DOMAIN
google_google-oauth-java-client,com.google.api.services.samples.dailymotion.cmdline,DailyMotionSample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.services.samples.dailymotion.cmdline.DailyMotionUrl
google_google-oauth-java-client,com.google.api.client.extensions.jetty.auth.oauth2,LocalServerReceiver.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
google_google-oauth-java-client,com.google.api.client.extensions.jetty.auth.oauth2,LocalServerReceiverTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.extensions.jetty.auth.oauth2.LocalServerReceiver
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,AuthorizationCodeInstalledApp,Law of Demeter violation,The tool detected the smell in this method (authorize) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.api.client.auth.oauth2.AuthorizationCodeFlow.newAuthorizationUrl; com.google.api.client.auth.oauth2.AuthorizationCodeRequestUrl.setRedirectUri
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,AuthorizationCodeInstalledApp,Law of Demeter violation,The tool detected the smell in this method (authorize) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.api.client.auth.oauth2.AuthorizationCodeFlow.newTokenRequest; com.google.api.client.auth.oauth2.AuthorizationCodeTokenRequest.setRedirectUri; com.google.api.client.auth.oauth2.TokenRequest.execute
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,AuthorizationCodeInstalledApp.Browser,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,AuthorizationCodeInstalledApp.DefaultBrowser,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,FilePersistedCredential,Law of Demeter violation,The tool detected the smell in this method (toStoredCredential) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.api.client.auth.oauth2.StoredCredential.setAccessToken; com.google.api.client.auth.oauth2.StoredCredential.setRefreshToken; com.google.api.client.auth.oauth2.StoredCredential.setExpirationTimeMilliseconds
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,FileCredentialStore,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.extensions.java6.auth.oauth2.FilePersistedCredentials
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,FilePersistedCredentials,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.extensions.java6.auth.oauth2.FilePersistedCredential
google_google-oauth-java-client,com.google.api.client.extensions.java6.auth.oauth2,FileCredentialStoreTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.auth.oauth2.Credential; com.google.api.client.extensions.java6.auth.oauth2.FileCredentialStore
google_google-oauth-java-client,com.google.api.client.auth.oauth,AbstractOAuthGetToken,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.api.client.auth.oauth.OAuthParameters
