Project Name,Package Name,Architecture Smell,Cause of the Smell
google_guava,com.google.common.escape,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 88
google_guava,com.google.common.escape,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.common.escape; com.google.common.escape.testing
google_guava,com.google.common.escape,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.common.escape.testing
google_guava,com.google.common.escape,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArrayBasedCharEscaper; ArrayBasedEscaperMap; CharEscaper; Escapers; CharEscaperBuilder.CharArrayDecorator; Escaper; Platform; ArrayBasedUnicodeEscaper; ArrayBasedCharEscaperTest; ArrayBasedUnicodeEscaperTest; UnicodeEscaperTest; EscapersTest; CharEscaperBuilderTest; ArrayBasedEscaperMapTest; ArrayBasedCharEscaperTest; ArrayBasedUnicodeEscaperTest; UnicodeEscaperTest; EscapersTest; ArrayBasedEscaperMapTest; ArrayBasedCharEscaperTest; ArrayBasedUnicodeEscaperTest; UnicodeEscaperTest; EscapersTest; CharEscaperBuilderTest; ArrayBasedEscaperMapTest; ArrayBasedCharEscaper; ArrayBasedEscaperMap; CharEscaper; UnicodeEscaper; Escapers; CharEscaperBuilder; CharEscaperBuilder.CharArrayDecorator; ArrayBasedUnicodeEscaper; ArrayBasedCharEscaper; ArrayBasedEscaperMap; CharEscaper; UnicodeEscaper; Escapers; CharEscaperBuilder; CharEscaperBuilder.CharArrayDecorator; ArrayBasedUnicodeEscaper; ArrayBasedCharEscaper; ArrayBasedEscaperMap; CharEscaper; UnicodeEscaper; Escapers; CharEscaperBuilder; CharEscaperBuilder.CharArrayDecorator; ArrayBasedUnicodeEscaper; ArrayBasedCharEscaperTest; ArrayBasedUnicodeEscaperTest; UnicodeEscaperTest; EscapersTest; ArrayBasedEscaperMapTest; ArrayBasedCharEscaper; ArrayBasedEscaperMap; CharEscaper; UnicodeEscaper; Escapers; CharEscaperBuilder; CharEscaperBuilder.CharArrayDecorator; ArrayBasedUnicodeEscaper; ArrayBasedCharEscaperTest; ArrayBasedUnicodeEscaperTest; UnicodeEscaperTest; EscapersTest; CharEscaperBuilderTest; ArrayBasedEscaperMapTest; UnicodeEscaper; CharEscaperBuilder]; [Escapers.Builder]; [PackageSanityTests]; [Platform]; [PackageSanityTests]; [Escapers.Builder]; [Escaper]; [Platform]; [Escapers.Builder]; [Escaper]; [Platform]; [Platform]; [Escapers.Builder]; [Escaper]; [Platform]; [Escapers.Builder]; [Escaper]; [Platform]; [PackageSanityTests]. LCC (Lack of Component Cohesion) = 0.22
google_guava,com.google.common.escape,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.common.collect; com.google.common.escape.testing.
google_guava,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.47. All the dependencies among components: from: com.google.common.escape to: com.google.common.base; from: com.google.common.escape to: com.google.common.collect; from: com.google.common.escape to: com.google.common.escape.testing; from: com.google.common.html to: com.google.common.escape; from: com.google.common.cache to: com.google.common.collect; from: com.google.common.cache to: com.google.common.base; from: com.google.common.cache to: com.google.common.util.concurrent; from: com.google.common.cache to: com.google.common.math; from: com.google.common.cache to: com.google.common.primitives; from: com.google.common.cache to: com.google.common.testing; from: com.google.common.cache to: com.google.common.collect.testing.features; from: com.google.common.math to: com.google.common.base; from: com.google.common.math to: com.google.common.primitives; from: com.google.common.math to: com.google.common.collect; from: com.google.common.math to: com.google.common.testing; from: com.google.common.base to: com.google.common.collect; from: com.google.common.base to: com.google.common.primitives; from: com.google.common.base to: com.google.common.testing; from: com.google.common.base to: com.google.common.base.internal; from: com.google.common.eventbus to: com.google.common.cache; from: com.google.common.eventbus to: com.google.common.collect; from: com.google.common.eventbus to: com.google.common.base; from: com.google.common.eventbus to: com.google.common.util.concurrent; from: com.google.common.io to: com.google.common.base; from: com.google.common.io to: com.google.common.primitives; from: com.google.common.io to: com.google.common.hash; from: com.google.common.io to: com.google.common.collect; from: com.google.common.io to: com.google.common.graph; from: com.google.common.io to: com.google.common.math; from: com.google.common.io to: com.google.common.testing; from: com.google.common.util.concurrent to: com.google.common.base; from: com.google.common.util.concurrent to: com.google.common.collect; from: com.google.common.util.concurrent to: com.google.common.math; from: com.google.common.util.concurrent to: com.google.common.primitives; from: com.google.common.util.concurrent to: com.google.common.util.concurrent.internal; from: com.google.common.util.concurrent to: com.google.common.testing; from: com.google.common.util.concurrent to: com.google.common.util.concurrent.testing; from: com.google.common.collect to: com.google.common.base; from: com.google.common.collect to: com.google.common.primitives; from: com.google.common.collect to: com.google.common.math; from: com.google.common.collect to: com.google.common.util.concurrent; from: com.google.common.collect to: com.google.common.collect.testing; from: com.google.common.collect to: com.google.common.collect.testing.features; from: com.google.common.collect to: com.google.common.collect.testing.testers; from: com.google.common.collect to: com.google.common.collect.testing.google; from: com.google.common.collect to: com.google.common.testing; from: com.google.common.collect to: com.google.common.io; from: com.google.common.collect to: com.google.common.reflect; from: com.google.common.primitives to: com.google.common.base; from: com.google.common.primitives to: com.google.common.testing; from: com.google.common.primitives to: com.google.common.collect.testing.features; from: com.google.common.primitives to: com.google.common.collect.testing; from: com.google.common.primitives to: com.google.common.collect; from: com.google.common.xml to: com.google.common.escape; from: com.google.common.xml to: com.google.common.escape.testing; from: com.google.common.hash to: com.google.common.base; from: com.google.common.hash to: com.google.common.math; from: com.google.common.hash to: com.google.common.primitives; from: com.google.common.hash to: com.google.common.testing; from: com.google.common.hash to: com.google.common.collect; from: com.google.common.hash to: com.google.common.util.concurrent; from: com.google.common.hash to: com.google.common.io; from: com.google.common.net to: com.google.common.base; from: com.google.common.net to: com.google.common.collect; from: com.google.common.net to: com.google.thirdparty.publicsuffix; from: com.google.common.net to: com.google.common.primitives; from: com.google.common.net to: com.google.common.io; from: com.google.common.net to: com.google.common.hash; from: com.google.common.net to: com.google.common.escape; from: com.google.common.net to: com.google.common.testing; from: com.google.common.net to: com.google.common.escape.testing; from: com.google.common.graph to: com.google.common.base; from: com.google.common.graph to: com.google.common.collect; from: com.google.common.graph to: com.google.common.math; from: com.google.common.graph to: com.google.common.primitives; from: com.google.common.reflect to: com.google.common.collect; from: com.google.common.reflect to: com.google.common.base; from: com.google.common.reflect to: com.google.common.primitives; from: com.google.common.reflect to: com.google.common.testing; from: com.google.common.reflect to: com.google.common.collect.testing; from: com.google.common.reflect to: com.google.common.collect.testing.features; from: com.google.common.reflect to: com.google.common.io; from: com.google.thirdparty.publicsuffix to: com.google.common.collect; from: com.google.thirdparty.publicsuffix to: com.google.common.base; from: com.google.common.eventbus.outside to: com.google.common.eventbus; from: com.google.common.escape.testing to: com.google.common.escape; from: com.google.common.testing to: com.google.common.base; from: com.google.common.testing to: com.google.common.collect; from: com.google.common.testing to: com.google.common.reflect; from: com.google.common.testing to: com.google.common.primitives; from: com.google.common.testing to: com.google.common.io; from: com.google.common.testing to: com.google.common.util.concurrent; from: com.google.common.util.concurrent.testing to: com.google.common.util.concurrent; from: com.google.common.util.concurrent.testing to: com.google.common.base; from: com.google.common.collect.testing to: com.google.common.collect.testing.features; from: com.google.common.collect.testing to: com.google.common.collect.testing.testers; from: com.google.common.collect.testing to: com.google.common.collect; from: com.google.common.collect.testing to: com.google.common.primitives; from: com.google.common.collect.testing.testers to: com.google.common.collect.testing.features; from: com.google.common.collect.testing.testers to: com.google.common.collect.testing; from: com.google.common.collect.testing.testers to: com.google.common.testing; from: com.google.common.collect.testing.google to: com.google.common.collect.testing.features; from: com.google.common.collect.testing.google to: com.google.common.collect; from: com.google.common.collect.testing.google to: com.google.common.collect.testing; from: com.google.common.collect.testing.google to: com.google.common.testing; from: com.google.common.collect.testing.google to: com.google.common.base; from: com.google.common.testing.anotherpackage to: com.google.common.testing; from: com.google.common.testing.anotherpackage to: com.google.common.base; from: com.google.common to: com.google.common.reflect; from: (default package) to: com.google.common.base.
google_guava,com.google.common.html,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HtmlEscapers; HtmlEscapersTest; HtmlEscapersTest; HtmlEscapersTest; HtmlEscapersTest; HtmlEscapersTest]; [HtmlEscapers]; [HtmlEscapers]; [HtmlEscapers]; [HtmlEscapers]. LCC (Lack of Component Cohesion) = 0.5
google_guava,com.google.common.cache,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 600
google_guava,com.google.common.cache,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 68734
google_guava,com.google.common.cache,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractLoadingCache; AbstractCache; LoadingCache; Cache; MapMakerComparisonBenchmark; LoadingCacheSingleThreadBenchmark; CacheReferencesTest; CacheEvictionTest; CacheBuilderGwtTest; CacheManualTest; CacheRefreshTest; ForwardingCacheTest; AbstractLoadingCacheTest; ForwardingLoadingCacheTest; LocalLoadingCacheTest; CacheTesting; CacheBuilderSpecTest; PopulatedCachesTest; CacheLoadingTest; EmptyCachesTest; CacheBuilderTest; NullCacheTest; CacheExpirationTest; AbstractCacheTest; CacheBuilderFactory; LocalCache.LocalManualCache; LocalCache.LocalLoadingCache; CacheBuilderGwtTest; CacheBuilderTest; CacheReferencesTest; CacheEvictionTest; CacheBuilderGwtTest; CacheManualTest; MapMakerComparisonBenchmark; CacheRefreshTest; ForwardingCacheTest; AbstractLoadingCacheTest; ForwardingLoadingCacheTest; LocalLoadingCacheTest; CacheTesting; LoadingCacheSingleThreadBenchmark; CacheBuilderSpecTest; PopulatedCachesTest; CacheLoadingTest; EmptyCachesTest; CacheBuilderTest; NullCacheTest; CacheExpirationTest; AbstractCacheTest; LocalCacheMapComputeTest; LocalCacheTest; CacheBuilderFactory; LocalCache; LocalCache.ManualSerializationProxy; LocalCache.LoadingSerializationProxy; LocalCache.LocalManualCache; LocalCache.LocalLoadingCache; CacheBuilder; AbstractCache; LoadingCache; AbstractLoadingCache; ForwardingLoadingCache; ForwardingLoadingCache.SimpleForwardingLoadingCache; LocalCache; LocalCache.ManualSerializationProxy; LocalCache.LoadingSerializationProxy; LocalCache.LocalManualCache; LocalCache.LocalLoadingCache; CacheBuilder; ForwardingCache; ForwardingCache.SimpleForwardingCache; AbstractCache; LoadingCache; LocalCache; LocalCache.ManualSerializationProxy; LocalCache.LoadingSerializationProxy; LocalCache.LocalManualCache; LocalCache.LocalLoadingCache; CacheBuilder; LocalCache.LocalManualCache; LocalCache.LocalLoadingCache; AbstractCache; LoadingCache; CacheBuilderGwtTest; CacheBuilderTest; AbstractLoadingCache; ForwardingLoadingCache; ForwardingLoadingCache.SimpleForwardingLoadingCache; LocalCache; LocalCache.ManualSerializationProxy; LocalCache.LoadingSerializationProxy; LocalCache.LocalManualCache; LocalCache.LocalLoadingCache; CacheBuilder; ForwardingCache; ForwardingCache.SimpleForwardingCache; AbstractCache; LoadingCache; MapMakerComparisonBenchmark; LoadingCacheSingleThreadBenchmark; CacheReferencesTest; CacheEvictionTest; CacheBuilderGwtTest; CacheManualTest; CacheRefreshTest; ForwardingCacheTest; AbstractLoadingCacheTest; ForwardingLoadingCacheTest; LocalLoadingCacheTest; CacheTesting; CacheBuilderSpecTest; PopulatedCachesTest; CacheLoadingTest; EmptyCachesTest; CacheBuilderTest; NullCacheTest; CacheExpirationTest; AbstractCacheTest; LocalCacheMapComputeTest; LocalCacheTest; CacheBuilderFactory; ForwardingLoadingCache; ForwardingLoadingCache.SimpleForwardingLoadingCache; ForwardingCache; ForwardingCache.SimpleForwardingCache; ForwardingCacheTest.OnlyGet; ForwardingLoadingCacheTest.OnlyGet; ForwardingCacheTest.OnlyGet; ForwardingLoadingCacheTest.OnlyGet; ForwardingCacheTest.OnlyGet; ForwardingLoadingCacheTest.OnlyGet; Weigher; LocalCache; LocalCache.Segment; LocalCache.ManualSerializationProxy; LocalCache.LocalManualCache; CacheBuilder; CacheBuilder.OneWeigher; RemovalNotification; CacheBuilderSpec; RemovalCause; RemovalListener; RemovalListeners; SegmentBenchmark; ChainBenchmark; TestingWeighers; TestingWeighers.ConstantWeigher; TestingWeighers.IntKeyWeigher; TestingWeighers.IntValueWeigher; TestingRemovalListeners; TestingRemovalListeners.QueuingRemovalListener; TestingRemovalListeners.CountingRemovalListener; TestingRemovalListeners.NullRemovalListener; PackageSanityTests; RemovalNotificationTest; LocalCacheTest; LocalCacheTest.TestStringCacheGenerator; LocalCacheTest.SerializableRemovalListener; LocalCacheTest.SerializableWeigher; LocalCache; LocalCache.CapacityEnforcingLinkedHashMap; TestingRemovalListeners; TestingRemovalListeners.QueuingRemovalListener; TestingRemovalListeners.CountingRemovalListener; TestingRemovalListeners.NullRemovalListener; TestingWeighers; TestingWeighers.ConstantWeigher; TestingWeighers.IntKeyWeigher; TestingWeighers.IntValueWeigher; TestingRemovalListeners; TestingRemovalListeners.QueuingRemovalListener; TestingRemovalListeners.CountingRemovalListener; TestingRemovalListeners.NullRemovalListener; PackageSanityTests; SegmentBenchmark; ChainBenchmark; RemovalNotificationTest; LocalCacheTest.TestStringCacheGenerator; LocalCacheTest.SerializableRemovalListener; LocalCacheTest.SerializableWeigher; LocalCache.Segment; CacheBuilder.NullListener; CacheBuilder.OneWeigher; RemovalNotification; RemovalListener; LocalCache.Segment; CacheBuilder.NullListener; CacheBuilder.OneWeigher; RemovalNotification; CacheBuilderSpec; RemovalListener; RemovalListeners; LocalCache.Segment; CacheBuilder.NullListener; CacheBuilder.OneWeigher; RemovalNotification; LocalCache; LocalCache.CapacityEnforcingLinkedHashMap; RemovalListener; TestingRemovalListeners; TestingRemovalListeners.QueuingRemovalListener; TestingRemovalListeners.CountingRemovalListener; TestingRemovalListeners.NullRemovalListener; LocalCache.Segment; CacheBuilder.NullListener; CacheBuilder.OneWeigher; RemovalNotification; CacheBuilderSpec; RemovalListener; RemovalListeners; SegmentBenchmark; ChainBenchmark; TestingWeighers; TestingWeighers.ConstantWeigher; TestingWeighers.IntKeyWeigher; TestingWeighers.IntValueWeigher; TestingRemovalListeners; TestingRemovalListeners.QueuingRemovalListener; TestingRemovalListeners.CountingRemovalListener; TestingRemovalListeners.NullRemovalListener; PackageSanityTests; RemovalNotificationTest; LocalCacheTest.TestStringCacheGenerator; LocalCacheTest.SerializableRemovalListener; LocalCacheTest.SerializableWeigher; ReferenceEntry; LocalCache.NullEntry; LocalCache.AbstractReferenceEntry; LocalCache.StrongEntry; LocalCache.StrongAccessEntry; LocalCache.StrongWriteEntry; LocalCache.StrongAccessWriteEntry; LocalCache.WeakEntry; LocalCache.WeakAccessEntry; LocalCache.WeakWriteEntry; LocalCache.WeakAccessWriteEntry; LocalCache.WeakValueReference; LocalCache.SoftValueReference; LocalCache.WriteQueue; LocalCache.AccessQueue; LocalCache.HashIterator; LocalCacheTest.DummyEntry; LocalCacheTest.DummyEntry; LocalCache.NullEntry; LocalCache.AbstractReferenceEntry; LocalCache.StrongEntry; LocalCache.StrongAccessEntry; LocalCache.StrongWriteEntry; LocalCache.StrongAccessWriteEntry; LocalCache.WeakEntry; LocalCache.WeakAccessEntry; LocalCache.WeakWriteEntry; LocalCache.WeakAccessWriteEntry; LocalCache.WeakValueReference; LocalCache.SoftValueReference; LocalCache.WriteQueue; LocalCache.AccessQueue; LocalCache.HashIterator; ReferenceEntry; LocalCache.NullEntry; LocalCache.AbstractReferenceEntry; LocalCache.StrongEntry; LocalCache.StrongAccessEntry; LocalCache.StrongWriteEntry; LocalCache.StrongAccessWriteEntry; LocalCache.WeakEntry; LocalCache.WeakAccessEntry; LocalCache.WeakWriteEntry; LocalCache.WeakAccessWriteEntry; LocalCache.WeakValueReference; LocalCache.SoftValueReference; LocalCache.WriteQueue; LocalCache.AccessQueue; LocalCache.HashIterator; LocalCache.NullEntry; LocalCache.AbstractReferenceEntry; LocalCache.StrongEntry; LocalCache.StrongAccessEntry; LocalCache.StrongWriteEntry; LocalCache.StrongAccessWriteEntry; LocalCache.WeakEntry; LocalCache.WeakAccessEntry; LocalCache.WeakWriteEntry; LocalCache.WeakAccessWriteEntry; LocalCache.WeakValueReference; LocalCache.SoftValueReference; LocalCache.WriteQueue; LocalCache.AccessQueue; LocalCache.HashIterator; ReferenceEntry; LocalCache.NullEntry; LocalCache.AbstractReferenceEntry; LocalCache.StrongEntry; LocalCache.StrongAccessEntry; LocalCache.StrongWriteEntry; LocalCache.StrongAccessWriteEntry; LocalCache.WeakEntry; LocalCache.WeakAccessEntry; LocalCache.WeakWriteEntry; LocalCache.WeakAccessWriteEntry; LocalCache.WeakValueReference; LocalCache.SoftValueReference; LocalCache.WriteQueue; LocalCache.AccessQueue; LocalCache.HashIterator; LocalCacheTest.DummyEntry; CacheLoader; CacheLoader.FunctionToCacheLoader; CacheLoader.SupplierToCacheLoader; TestingCacheLoaders; TestingCacheLoaders.CountingLoader; TestingCacheLoaders.ConstantLoader; TestingCacheLoaders.IncrementingLoader; TestingCacheLoaders.IdentityLoader; CacheLoaderTest; CacheBuilderTest.DelayingIdentityLoader; CacheExpirationTest.WatchedCreatorLoader; LocalCacheTest.SerializableCacheLoader; TestingCacheLoaders; TestingCacheLoaders.CountingLoader; TestingCacheLoaders.ConstantLoader; TestingCacheLoaders.IncrementingLoader; TestingCacheLoaders.IdentityLoader; CacheBuilderTest.DelayingIdentityLoader; TestingCacheLoaders; TestingCacheLoaders.CountingLoader; TestingCacheLoaders.ConstantLoader; TestingCacheLoaders.IncrementingLoader; TestingCacheLoaders.IdentityLoader; CacheLoaderTest; CacheBuilderTest.DelayingIdentityLoader; CacheExpirationTest.WatchedCreatorLoader; LocalCacheTest.SerializableCacheLoader; CacheLoader; CacheLoader.FunctionToCacheLoader; CacheLoader.SupplierToCacheLoader; CacheLoader; CacheLoader.FunctionToCacheLoader; CacheLoader.SupplierToCacheLoader; CacheLoader; CacheLoader.FunctionToCacheLoader; CacheLoader.SupplierToCacheLoader; TestingCacheLoaders; TestingCacheLoaders.CountingLoader; TestingCacheLoaders.ConstantLoader; TestingCacheLoaders.IncrementingLoader; TestingCacheLoaders.IdentityLoader; CacheBuilderTest.DelayingIdentityLoader; CacheLoader; CacheLoader.FunctionToCacheLoader; CacheLoader.SupplierToCacheLoader; TestingCacheLoaders; TestingCacheLoaders.CountingLoader; TestingCacheLoaders.ConstantLoader; TestingCacheLoaders.IncrementingLoader; TestingCacheLoaders.IdentityLoader; CacheLoaderTest; CacheBuilderTest.DelayingIdentityLoader; CacheExpirationTest.WatchedCreatorLoader; LocalCacheTest.SerializableCacheLoader; CacheStats; CacheStatsTest; CacheStatsTest; CacheStats; Cache; CacheStats; Cache; CacheStats; Cache; CacheStats; Cache; CacheStatsTest; LocalCache.LoadingSerializationProxy; LocalCache.LocalLoadingCache; CacheBuilder.NullListener; LongAddable; LongAddables; LongAddables.PureJavaLongAddable; LongAdder; AbstractCache.SimpleStatsCounter; LongAdderTest; LongAddables; LongAdder; LongAdderTest; LongAddables; LongAddables.PureJavaLongAddable; LongAdder; AbstractCache.SimpleStatsCounter; LongAddables; LongAddables.PureJavaLongAddable; LongAdder; AbstractCache.SimpleStatsCounter; LongAddables; LongAddables.PureJavaLongAddable; LongAddables; LongAdder; LongAdder; AbstractCache.SimpleStatsCounter; LongAddables; LongAddables.PureJavaLongAddable; LongAdder; AbstractCache.SimpleStatsCounter; LongAdderTest; Striped64]; [CacheLoader.UnsupportedLoadingOperationException]; [CacheLoader.InvalidCacheLoadException]; [LocalCache.Strength]; [LocalCache.EntryFactory]; [LocalCache.ValueReference]; [LocalCache.StrongValueReference]; [LocalCache.WeightedWeakValueReference]; [LocalCache.WeightedSoftValueReference]; [LocalCache.WeightedStrongValueReference]; [LocalCache.LoadingValueReference]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.EntryIterator]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [CacheBuilderSpec.ValueParser]; [CacheBuilderSpec.IntegerParser]; [CacheBuilderSpec.LongParser]; [CacheBuilderSpec.InitialCapacityParser]; [CacheBuilderSpec.MaximumSizeParser]; [CacheBuilderSpec.MaximumWeightParser]; [CacheBuilderSpec.ConcurrencyLevelParser]; [CacheBuilderSpec.KeyStrengthParser]; [CacheBuilderSpec.ValueStrengthParser]; [CacheBuilderSpec.RecordStatsParser]; [CacheBuilderSpec.DurationParser]; [CacheBuilderSpec.AccessDurationParser]; [CacheBuilderSpec.WriteDurationParser]; [CacheBuilderSpec.RefreshDurationParser]; [Striped64.Cell]; [AbstractCache.StatsCounter]; [CacheReferencesTest.Key]; [CacheTesting.Receiver]; [CacheLoaderTest.QueuingExecutor]; [LocalCacheTest.DummyValueReference]; [LocalCacheTest.SerializableTicker]; [CacheBuilderFactory.DurationSpec]; [LocalCache.Timestamped]; [LocalCache.Strength]; [LocalCache.EntryIterator]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [CacheReferencesTest.Key]; [CacheTesting.Receiver]; [CacheLoaderTest.QueuingExecutor]; [LocalCacheTest.DummyValueReference]; [LocalCacheTest.SerializableTicker]; [CacheBuilderFactory.DurationSpec]; [Weigher]; [CacheLoader.UnsupportedLoadingOperationException]; [CacheLoader.InvalidCacheLoadException]; [LocalCache.Strength]; [LocalCache.EntryFactory]; [LocalCache.ValueReference]; [LocalCache.StrongValueReference]; [LocalCache.WeightedWeakValueReference]; [LocalCache.WeightedSoftValueReference]; [LocalCache.WeightedStrongValueReference]; [LocalCache.LoadingValueReference]; [LocalCache.ComputingValueReference]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.EntryIterator]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [LongAddable]; [AbstractCache.StatsCounter]; [RemovalCause]; [Weigher]; [CacheLoader.UnsupportedLoadingOperationException]; [CacheLoader.InvalidCacheLoadException]; [LocalCache.Strength]; [LocalCache.EntryFactory]; [LocalCache.ValueReference]; [LocalCache.StrongValueReference]; [LocalCache.WeightedWeakValueReference]; [LocalCache.WeightedSoftValueReference]; [LocalCache.WeightedStrongValueReference]; [LocalCache.LoadingValueReference]; [LocalCache.ComputingValueReference]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.EntryIterator]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [LongAddable]; [CacheBuilderSpec.ValueParser]; [CacheBuilderSpec.IntegerParser]; [CacheBuilderSpec.LongParser]; [CacheBuilderSpec.InitialCapacityParser]; [CacheBuilderSpec.MaximumSizeParser]; [CacheBuilderSpec.MaximumWeightParser]; [CacheBuilderSpec.ConcurrencyLevelParser]; [CacheBuilderSpec.KeyStrengthParser]; [CacheBuilderSpec.ValueStrengthParser]; [CacheBuilderSpec.RecordStatsParser]; [CacheBuilderSpec.DurationParser]; [CacheBuilderSpec.AccessDurationParser]; [CacheBuilderSpec.WriteDurationParser]; [CacheBuilderSpec.RefreshDurationParser]; [Striped64]; [Striped64.Cell]; [AbstractCache.StatsCounter]; [RemovalCause]; [Weigher]; [CacheLoader.UnsupportedLoadingOperationException]; [CacheLoader.InvalidCacheLoadException]; [LocalCache.Strength]; [LocalCache.EntryFactory]; [LocalCache.ValueReference]; [LocalCache.StrongValueReference]; [LocalCache.WeightedWeakValueReference]; [LocalCache.WeightedSoftValueReference]; [LocalCache.WeightedStrongValueReference]; [LocalCache.LoadingValueReference]; [LocalCache.ComputingValueReference]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.EntryIterator]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [LongAddable]; [LocalCache.Timestamped]; [LocalCache.Strength]; [LocalCache.EntryIterator]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [AbstractCache.StatsCounter]; [RemovalCause]; [Weigher]; [CacheLoader.UnsupportedLoadingOperationException]; [CacheLoader.InvalidCacheLoadException]; [LocalCache.Strength]; [LocalCache.EntryFactory]; [LocalCache.ValueReference]; [LocalCache.StrongValueReference]; [LocalCache.WeightedWeakValueReference]; [LocalCache.WeightedSoftValueReference]; [LocalCache.WeightedStrongValueReference]; [LocalCache.LoadingValueReference]; [LocalCache.ComputingValueReference]; [LocalCache.KeyIterator]; [LocalCache.ValueIterator]; [LocalCache.WriteThroughEntry]; [LocalCache.EntryIterator]; [LocalCache.AbstractCacheSet]; [LocalCache.KeySet]; [LocalCache.Values]; [LocalCache.EntrySet]; [LongAddable]; [CacheBuilderSpec.ValueParser]; [CacheBuilderSpec.IntegerParser]; [CacheBuilderSpec.LongParser]; [CacheBuilderSpec.InitialCapacityParser]; [CacheBuilderSpec.MaximumSizeParser]; [CacheBuilderSpec.MaximumWeightParser]; [CacheBuilderSpec.ConcurrencyLevelParser]; [CacheBuilderSpec.KeyStrengthParser]; [CacheBuilderSpec.ValueStrengthParser]; [CacheBuilderSpec.RecordStatsParser]; [CacheBuilderSpec.DurationParser]; [CacheBuilderSpec.AccessDurationParser]; [CacheBuilderSpec.WriteDurationParser]; [CacheBuilderSpec.RefreshDurationParser]; [Striped64]; [Striped64.Cell]; [AbstractCache.StatsCounter]; [RemovalCause]; [CacheReferencesTest.Key]; [CacheTesting.Receiver]; [CacheLoaderTest.QueuingExecutor]; [LocalCacheTest.DummyValueReference]; [LocalCacheTest.SerializableTicker]; [CacheBuilderFactory.DurationSpec]. LCC (Lack of Component Cohesion) = 0.33
