Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,PairGenerator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: withReplacement; key
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,GCSOutputOptions.Methods,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,GCSOutputOptions.Methods,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,TruncatedOutputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,GenomicsOptions.Methods,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,GenomicsOptions.Methods,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,CallSetNamesOptions.Methods,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,CallSetNamesOptions.Methods,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,ShardOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,AnnotationUtils.VariantEffect,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
googlegenomics_dataflow-java,com.google.cloud.genomics.dataflow.utils,AnnotationUtils.VariantEffect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
