Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
gosu-lang_gosu-lang,gw.internal.gosu.properties,SystemPropertiesPropertySet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SOURCE
gosu-lang_gosu-lang,gw.internal.gosu.properties,PropertiesTypeLoader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
gosu-lang_gosu-lang,gw.internal.gosu.properties,PropertiesType,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
gosu-lang_gosu-lang,gw.internal.gosu.properties,PropertiesPropertySet.Source,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
gosu-lang_gosu-lang,gw.internal.gosu.parser,GosuClass,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 82
gosu-lang_gosu-lang,gw.internal.gosu.parser,GosuFragmentParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
gosu-lang_gosu-lang,gw.internal.gosu.parser,TypeRefFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
gosu-lang_gosu-lang,gw.internal.gosu.parser,GosuIndustrialParkImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 56
gosu-lang_gosu-lang,gw.internal.gosu.parser,AsmMethodJavaClassMethod,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
gosu-lang_gosu-lang,gw.internal.gosu.parser,CompoundTypeInfo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
gosu-lang_gosu-lang,gw.internal.gosu.parser,ModuleTypeLoader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
gosu-lang_gosu-lang,gw.internal.gosu.parser,ErrorTypeInfo,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
gosu-lang_gosu-lang,gw.internal.gosu.parser,GosuProgramParseInfo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gosu-lang_gosu-lang,gw.internal.gosu.parser,GosuConstructorInfo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
gosu-lang_gosu-lang,gw.internal.gosu.parser,GosuDocAnnotation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
gosu-lang_gosu-lang,gw.internal.gosu.parser,Statement,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VOID_RETURN_VALUE
gosu-lang_gosu-lang,gw.internal.gosu.parser,JavaType,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
gosu-lang_gosu-lang,gw.internal.gosu.parser,DelegateFunctionSymbol,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
gosu-lang_gosu-lang,gw.internal.gosu.parser,Symbol,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MEMBER_STACK_PROVIDER
gosu-lang_gosu-lang,gw.internal.gosu.parser,Symbol,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
gosu-lang_gosu-lang,gw.internal.gosu.parser,ICompilableTypeInternal,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
gosu-lang_gosu-lang,gw.internal.gosu.parser,IGosuClassInternal,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
