Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
graphaware_neo4j-timetree,com.graphaware.module.timetree,CustomRootTimeTree,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SingleTimeTree
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTree,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 106
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTree.ChildNotFoundPolicy,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTree.ChildNotFoundPolicy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTreeTest,Feature Envy,The tool detected a instance of this smell because nullShouldBeReturnedWhenNonExistingYearIsRequested is more interested in members of the type: TimeTree
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTreeTest,Feature Envy,The tool detected a instance of this smell because nullShouldBeReturnedWhenNonExistingDayIsRequested is more interested in members of the type: TimeTree
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTreeTest,Feature Envy,The tool detected a instance of this smell because nullShouldBeReturnedWhenNonExistingDayIsRequested2 is more interested in members of the type: TimeTree
graphaware_neo4j-timetree,com.graphaware.module.timetree,SingleTimeTreeTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
graphaware_neo4j-timetree,com.graphaware.module.timetree,TimeTreeBackedEventsTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
graphaware_neo4j-timetree,com.graphaware.module.timetree.module,TimeTreeModuleBootstrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
graphaware_neo4j-timetree,com.graphaware.module.timetree.module,TimeTreeModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
graphaware_neo4j-timetree,com.graphaware.module.timetree.module,TimeTreeModule,Feature Envy,The tool detected a instance of this smell because shouldReattach is more interested in members of the type: TimeTreeConfiguration
graphaware_neo4j-timetree,com.graphaware.module.timetree.module,TimeTreeModule,Feature Envy,The tool detected a instance of this smell because createTimeTreeRelationship is more interested in members of the type: TimeTreeConfiguration
graphaware_neo4j-timetree,com.graphaware.module.timetree.domain,ValidationUtils,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
graphaware_neo4j-timetree,com.graphaware.module.timetree.domain,Resolution,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOG; label; dateTimeFieldType
graphaware_neo4j-timetree,com.graphaware.module.timetree.domain,TimeTreeRelationshipTypes,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
