Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.Leaf,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; value
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.Leaf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.CollisionLeaf,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: keys; values
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.CollisionLeaf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.CompressedIndex,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: BITS; BITS_MASK; bitmap; values; size
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.CompressedIndex,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.CompressedIndex,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: BITS; BITS_MASK; bitmap; values; size
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; CONTEXT_DEPTH_WARN_THRESH; ROOT; storage; cancellableAncestor; keyValueEntries; generation; deadline; uncancellableSurrogate; listeners; parentListener; cancellationCause; pendingDeadline; cancelled; name; defaultValue; executor; listener; context
grpc_grpc-java,io.grpc,Context,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
grpc_grpc-java,io.grpc,Context.LazyStorage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: storage
grpc_grpc-java,io.grpc,Context.LazyStorage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.FixedContextExecutor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
grpc_grpc-java,io.grpc,Context.FixedContextExecutor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.CurrentContextExecutor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
grpc_grpc-java,io.grpc,Context.CurrentContextExecutor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.CancellableContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.CancellableContext,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: deadline; uncancellableSurrogate; listeners; parentListener; cancellationCause; pendingDeadline; cancelled
grpc_grpc-java,io.grpc,Context.CancelOnExpiration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
grpc_grpc-java,io.grpc,Context.CancelOnExpiration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.CancellationListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.Key,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; defaultValue
grpc_grpc-java,io.grpc,Context.Key,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.Storage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
grpc_grpc-java,io.grpc,Context.Storage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.ExecutableListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: executor; listener; context
grpc_grpc-java,io.grpc,Context.ExecutableListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Context.DirectExecutor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
grpc_grpc-java,io.grpc,Context.DirectExecutor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
grpc_grpc-java,io.grpc,Deadline.Ticker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
grpc_grpc-java,io.grpc,Deadline.Ticker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
