Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie,PersistentHashArrayMappedTrie,2,1,0,34,0,,
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie,get,6,2,2,36,0,,
grpc_grpc-java,io.grpc,PersistentHashArrayMappedTrie,put,6,2,3,46,0,,
grpc_grpc-java,io.grpc,Context,storage,3,1,0,105,0,,
grpc_grpc-java,io.grpc,Context,key,3,1,1,142,0,,
grpc_grpc-java,io.grpc,Context,keyWithDefault,3,1,2,153,0,,
grpc_grpc-java,io.grpc,Context,current,7,2,0,164,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,Context,6,1,2,184,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,Context,6,1,2,194,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,Context,6,1,0,205,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,withCancellation,3,1,0,215,0,,
grpc_grpc-java,io.grpc,Context,withDeadlineAfter,3,1,3,243,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,withDeadline,15,3,2,273,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,withValue,4,1,2,315,0,,
grpc_grpc-java,io.grpc,Context,withValues,5,1,4,348,0,,
grpc_grpc-java,io.grpc,Context,withValues,6,1,6,359,0,,
grpc_grpc-java,io.grpc,Context,withValues,7,1,8,371,0,,
grpc_grpc-java,io.grpc,Context,fork,3,1,0,399,0,,
grpc_grpc-java,io.grpc,Context,attach,7,2,0,407,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,detach,4,1,1,434,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,isCurrent,3,1,0,454,0,io.grpc.Context,io.grpc.Context
grpc_grpc-java,io.grpc,Context,isCancelled,8,2,0,458,0,,
grpc_grpc-java,io.grpc,Context,cancellationCause,8,2,0,469,0,,
grpc_grpc-java,io.grpc,Context,getDeadline,6,2,0,485,0,,
grpc_grpc-java,io.grpc,Context,addListener,8,2,2,496,0,,
grpc_grpc-java,io.grpc,Context,removeListener,6,2,1,510,0,,
grpc_grpc-java,io.grpc,Context,listenerCount,6,2,0,522,0,,
