Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.app,AccountActivityTest,testPreconditions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.app,AccountActivityTest,testSignIn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,XmppStreamHandlerTest,testNothing,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,XmppStreamHandlerTest,testSomething,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,XmppStreamHandlerTest,testResumeIncoming,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,XmppStreamHandlerTest,testResumeOutgoing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,ServerTrustManagerTest,testCheckMatchingDomain,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,XmppConnectionTest,testApproveSubscription,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
guardianproject_ChatSecureAndroid,info.guardianproject.otr.app.im.plugin.xmpp,XmppConnectionTest,testApproveSubscription_serverBuddies,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
guardianproject_ChatSecureAndroid,net.java.otr4j.crypto,SMTest,testSuccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
guardianproject_ChatSecureAndroid,net.java.otr4j.crypto,SMTest,testFail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
guardianproject_ChatSecureAndroid,net.java.otr4j.session,OtrSmTest,testSuccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
guardianproject_ChatSecureAndroid,net.java.otr4j.session,OtrSmTest,testSuccess_question,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
guardianproject_ChatSecureAndroid,net.java.otr4j.session,OtrSmTest,testFailure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
guardianproject_ChatSecureAndroid,net.java.otr4j.session,OtrSmTest,testFailure_question,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
