Project Name,Package Name,Architecture Smell,Cause of the Smell
guardianproject_storymaker,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.38. All the dependencies among components: from: org.storymaker.app to: org.storymaker.app.ui; from: org.storymaker.app to: org.storymaker.app.model; from: org.storymaker.app to: com.animoto.android.views; from: org.storymaker.app to: org.storymaker.app.publish; from: org.storymaker.app to: org.storymaker.app.media; from: org.storymaker.app to: org.storymaker.app.model.template; from: org.storymaker.app to: org.storymaker.app.server; from: org.storymaker.app.publish to: org.storymaker.app.model; from: org.storymaker.app.publish to: org.storymaker.app.publish.sites; from: org.storymaker.app.publish to: org.storymaker.app.server; from: org.storymaker.app.publish to: org.storymaker.app; from: org.storymaker.app.publish to: org.storymaker.app.media; from: org.storymaker.app.publish.sites to: org.storymaker.app.publish; from: org.storymaker.app.publish.sites to: org.storymaker.app.model; from: org.storymaker.app.publish.sites to: org.storymaker.app.server; from: org.storymaker.app.publish.sites to: org.storymaker.app; from: org.storymaker.app.publish.sites to: org.storymaker.app.media; from: org.storymaker.app.server to: org.storymaker.app.media; from: org.storymaker.app.server to: org.storymaker.app.model; from: org.storymaker.app.server to: org.storymaker.app; from: org.storymaker.app.model.json to: org.storymaker.app.model; from: org.storymaker.app.db to: org.storymaker.app.model; from: org.storymaker.app.db to: org.storymaker.app; from: org.storymaker.app.media to: org.storymaker.app.model; from: org.storymaker.app.media to: org.storymaker.app.media.exporter; from: org.storymaker.app.media to: org.storymaker.app; from: org.storymaker.app.media to: org.storymaker.app.ui; from: org.storymaker.app.media.exporter to: org.storymaker.app.media; from: org.storymaker.app.media.exporter to: org.storymaker.app; from: org.storymaker.app.ui to: org.storymaker.app.media; from: org.storymaker.app.model to: org.storymaker.app.db; from: org.storymaker.app.model to: org.storymaker.app; from: org.storymaker.app.model to: org.storymaker.app.media; from: org.storymaker.app.model to: org.storymaker.app.publish; from: org.storymaker.app.tests to: org.storymaker.app.
guardianproject_storymaker,org.storymaker.app,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 123
guardianproject_storymaker,org.storymaker.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.storymaker.app; org.storymaker.app.model
guardianproject_storymaker,org.storymaker.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.storymaker.app; org.storymaker.app.ui; org.storymaker.app.media
guardianproject_storymaker,org.storymaker.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.storymaker.app; org.storymaker.app.ui; org.storymaker.app.media; org.storymaker.app.model
guardianproject_storymaker,org.storymaker.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.storymaker.app; org.storymaker.app.ui; org.storymaker.app.media; org.storymaker.app.model; org.storymaker.app.db
guardianproject_storymaker,org.storymaker.app,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PublishFragment; Utils; PublishActivity; CatalogActivity; Constants; SimplePreferences; StorymakerDownloadManager; HomeActivity; FirstStartActivity; EditorBaseActivity; ReviewFragment; PreviewVideoView; ConnectAccountActivity; BaseHomeActivity; LockablePreferenceActivity; AppConstants; InstanceIndexItemAdapter; BaseActivity; CacheWordActivity; StoryInfoEditActivity; ProjectsActivity; ProjectInfoFragment; CachewordHelper; StoryListFragment; SceneEditorActivity; StoryMakerApp; SceneEditorActivity; StoryMakerApp; ExitActivity; SMPanicResponderActivity; Eula; StorymakerDownloadHelper; CrashReportingConfig; CatalogActivity.DemoCollectionPagerAdapter; StoryInfoActivity; HomeActivity.DemoCollectionPagerAdapter; AccountsActivity; ProjectTagFragment]; [Utils.Proc]; [Utils.Files]; [Eula.OnEulaAgreedTo]; [LaunchViaDialReceiver]; [ProjectCleaner]; [StorymakerDownloadManager.FilteredBroadcastReceiver]; [StoryInfoActivity.ProjectActivityAdapter]; [BaseHomeActivity.IndexTask]; [BaseHomeActivity.PauseListener]; [BaseHomeActivity.CancelListener]; [AppConstants.MimeTypes]; [AppConstants.MediaScanner]; [AppConstants.Preferences]; [AppConstants.Keys]; [AppConstants.ImageRegion]; [AppConstants.VideoRegion]; [AppConstants.VideoEditor]; [AppConstants.Breakpoints]; [AppConstants.ExifValues]; [AppConstants.Filters]; [AppConstants.Keys]; [AppConstants.Settings]; [AppConstants.Uploader]; [AppConstants.Entities]; [AppConstants.OpenPGP]; [AppConstants.Entities]; [AppConstants.Service]; [AppConstants.Informa]; [AppConstants.CaptureEvent]; [AppConstants.VideoRegion]; [AppConstants.Subject]; [AppConstants.Child]; [AppConstants.ImageRegion]; [AppConstants.Data]; [AppConstants.Subject]; [AppConstants.Data]; [AppConstants.Genealogy]; [AppConstants.Location]; [AppConstants.CaptureTimestamp]; [AppConstants.Intent]; [AppConstants.Destination]; [AppConstants.Events]; [AppConstants.TrustedDestinations]; [AppConstants.Media]; [AppConstants.Manager]; [AppConstants.Image]; [AppConstants.Video]; [AppConstants.Ass]; [AppConstants.Owner]; [AppConstants.Device]; [AppConstants.Tables]; [AppConstants.Suckers]; [AppConstants.Accelerometer]; [AppConstants.Geo]; [AppConstants.Phone]; [AppConstants.Exif]; [AppConstants.Media]; [AppConstants.ShareVector]; [AppConstants.Status]; [AppConstants.Uploader]; [AppConstants.RequestCodes]; [AppConstants.Results]; [AppConstants.MediaTypes]; [AppConstants.CaptureEvents]; [AppConstants.LocationTypes]; [AppConstants.CaptureTimestamps]; [AppConstants.SecurityLevels]; [AppConstants.LoginCache]; [AppConstants.OriginalImageHandling]; [AppConstants.Device]; [AppConstants.Owner]; [AppConstants.Consent]; [AppConstants.Selections]; [AppConstants.Suckers]; [AppConstants.LogRate]; [AppConstants.Genealogy]; [AppConstants.MediaOrigin]; [AppConstants.VideoRegions]; [AppConstants.Parent]; [InstanceIndexItemAdapter.BaseIndexItemSelectedListener]; [InstanceIndexItemAdapter.ViewHolder]; [InstanceIndexItemAdapter.DeleteListener]; [CacheWordActivity.TwoViewSlider]; [ProjectsActivity.ProjectArrayAdapter]; [CrashReportingConfig]. LCC (Lack of Component Cohesion) = 0.7
guardianproject_storymaker,org.storymaker.app.publish,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.storymaker.app.publish; org.storymaker.app.model
guardianproject_storymaker,org.storymaker.app.publish,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.storymaker.app.publish; org.storymaker.app.model; org.storymaker.app
guardianproject_storymaker,org.storymaker.app.publish,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.storymaker.app.publish.sites; org.storymaker.app; org.storymaker.app.media
