Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerConfig,getRegistry,3,1,0,42,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerConfig,setRegistry,3,1,1,49,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerConfig,builder,3,1,0,56,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerSupport,enable,3,1,1,42,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerSupport,disable,3,1,1,46,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerSupport,doEnlist,6,2,1,50,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerSupport,getConfigClass,3,1,0,58,0,,
headissue_cache2k,org.cache2k.extra.micrometer,MicrometerSupport,onCacheCreated,5,1,2,66,0,,
headissue_cache2k,org.cache2k.extra.micrometer,GlobalRegistrySupplier,supply,3,1,1,35,0,,
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,Cache2kCacheMetrics,4,1,2,49,0,org.cache2k.extra.micrometer.Cache2kCacheMetrics,org.cache2k.extra.micrometer.Cache2kCacheMetrics
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,monitor,3,1,3,60,0,,
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,monitor,4,1,3,74,0,,
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,size,3,1,0,88,0,,
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,hitCount,7,2,0,93,0,org.cache2k.extra.micrometer.Cache2kCacheMetrics,org.cache2k.extra.micrometer.Cache2kCacheMetrics
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,missCount,7,2,0,100,0,org.cache2k.extra.micrometer.Cache2kCacheMetrics,org.cache2k.extra.micrometer.Cache2kCacheMetrics
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,evictionCount,7,2,0,107,0,org.cache2k.extra.micrometer.Cache2kCacheMetrics,org.cache2k.extra.micrometer.Cache2kCacheMetrics
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,putCount,7,2,0,120,0,org.cache2k.extra.micrometer.Cache2kCacheMetrics,org.cache2k.extra.micrometer.Cache2kCacheMetrics
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,stats,3,1,0,127,0,,
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,bindImplementationSpecificMetrics,10,3,1,131,0,,
headissue_cache2k,org.cache2k.extra.micrometer,Cache2kCacheMetrics,extendedTags,4,1,1,170,0,,
headissue_cache2k,(default package),MicroMeterTest,programmaticBind,7,1,0,43,1,,
headissue_cache2k,(default package),MicroMeterTest,doubleBind,9,1,0,52,1,,
headissue_cache2k,(default package),MicroMeterTest,notBoundToGlobalRegistryWhenDisabled,9,1,0,67,1,,
headissue_cache2k,(default package),MicroMeterTest,bindToGlobalRegistryWhenEnabled,4,1,0,81,1,,
headissue_cache2k,(default package),MicroMeterTest,bindWhenStatisticsEnabled,4,1,0,93,1,,
headissue_cache2k,(default package),MicroMeterTest,bindToSpecificRegistry,11,1,0,105,1,,
headissue_cache2k,(default package),MicroMeterTest,checkBasicMetrics,19,1,0,120,1,,
headissue_cache2k,(default package),MicroMeterTest,checkLoaderMetrics,19,1,0,143,1,,
headissue_cache2k,(default package),MicroMeterTest,checkBasicMetricsWithDisabledStatistics,18,1,0,170,1,,
headissue_cache2k,(default package),ConstantsTest,test,3,1,0,32,1,,
headissue_cache2k,org.cache2k.core,ThreadShutdownTest,countThreads,11,3,0,43,0,,
headissue_cache2k,org.cache2k.core,ThreadShutdownTest,testWithExpiry,10,2,0,55,1,,
headissue_cache2k,org.cache2k.core,TestLogFactory,getLog,3,1,1,33,0,,
headissue_cache2k,org.cache2k.core,CacheManagerInitTest,setupOtherDefaultManagerName,2,1,0,46,0,,
headissue_cache2k,org.cache2k.core,CacheManagerInitTest,differentCacheManagerName,4,1,0,48,1,,
headissue_cache2k,org.cache2k.core,CacheManagerInitTest,closeAll,8,1,0,54,1,,
headissue_cache2k,org.cache2k.core,CacheManagerInitTest,suppressionCounterInUse,4,1,0,67,1,,
headissue_cache2k,org.cache2k.core,LogFactorySpiTest,checkActive,3,1,0,35,1,,
headissue_cache2k,org.cache2k.core,IntegrityState,check,17,5,3,37,0,,
headissue_cache2k,org.cache2k.core,IntegrityState,group,9,2,1,60,0,,
headissue_cache2k,org.cache2k.core,IntegrityState,check,4,1,2,69,0,org.cache2k.core.IntegrityState,org.cache2k.core.IntegrityState
headissue_cache2k,org.cache2k.core,IntegrityState,checkEquals,9,2,3,74,0,org.cache2k.core.IntegrityState,org.cache2k.core.IntegrityState
headissue_cache2k,org.cache2k.core,IntegrityState,checkEquals,9,2,3,83,0,org.cache2k.core.IntegrityState,org.cache2k.core.IntegrityState
