Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,ShellCommandTest,0,0,3,3,33,3,0,1,-1.0,0,4,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/ShellCommandTest.java,13
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,CommonInstrumentationTestCase,0,0,1,0,6,1,1,0,-1.0,0,1,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/CommonInstrumentationTestCase.java,5
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,CommonTestCase,0,0,1,1,6,1,3,0,-1.0,0,1,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/CommonTestCase.java,5
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,UtilTest,0,0,8,7,72,8,0,1,-1.0,0,5,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/UtilTest.java,17
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,CpuArchHelperTest,0,0,1,1,18,4,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/CpuArchHelperTest.java,9
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,LogTest,2,0,16,15,94,20,0,1,0.6875,0,2,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/LogTest.java,5
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,LogTest.PrintLogInterface,0,0,0,0,4,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/LogTest.java,110
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,CpuArchTest,0,0,2,1,22,2,0,1,-1.0,0,5,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/androidTest/java/com/github/hiteshsondhi88/libffmpeg/CpuArchTest.java,13
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,FFmpeg,6,0,11,10,87,20,0,1,0.18181818181818182,3,10,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/main/java/com/github/hiteshsondhi88/libffmpeg/FFmpeg.java,12
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,FFmpegExecuteResponseHandler,0,0,3,3,17,3,1,1,-1.0,3,0,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/main/java/com/github/hiteshsondhi88/libffmpeg/FFmpegExecuteResponseHandler.java,3
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,LoadBinaryResponseHandler,0,0,4,4,10,4,0,2,-1.0,0,0,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/main/java/com/github/hiteshsondhi88/libffmpeg/LoadBinaryResponseHandler.java,3
hiteshsondhi88_ffmpeg-android-java,com.github.hiteshsondhi88.libffmpeg,FFmpegExecuteAsyncTask,7,0,7,0,87,17,0,0,0.0,1,5,/data/research/workspace/testability/data/repos/hiteshsondhi88_ffmpeg-android-java/FFmpegAndroid/src/main/java/com/github/hiteshsondhi88/libffmpeg/FFmpegExecuteAsyncTask.java,10
