Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
icode_ameba,ameba.feature.datasource,WebStatFilter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARAM_NAME_PORFILE_ENABLE; PARAM_NAME_SESSION_STAT_MAX_COUNT; PARAM_NAME_EXCLUSIONS; PARAM_NAME_PRINCIPAL_COOKIE_NAME; PARAM_NAME_REAL_IP_HEADER; DEFAULT_MAX_STAT_SESSION_COUNT
icode_ameba,ameba.feature.datasource,StatViewFeature,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARAM_NAME_RESET_ENABLE; PARAM_NAME_USERNAME; PARAM_NAME_PASSWORD; SESSION_USER_KEY; PARAM_NAME_JMX_URL; PARAM_NAME_JMX_USERNAME; PARAM_NAME_JMX_PASSWORD
icode_ameba,ameba.feature.datasource,StatViewFeature.DsStatViewResource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.event,EventTest.AnnotationSub,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.event,EventTest.ChildSub,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.event,EventTest.TestEvent,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.event,EventTest.TestEvent1,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.websocket,WebSocketAddon,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WEB_SOCKET_ENABLED_CONF
icode_ameba,ameba.websocket.sockjs.frame,SockJsFrame,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CHARSET
icode_ameba,ameba.websocket.codec,JacksonEncoder.Text,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.websocket.codec,JacksonEncoder.TextStream,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
icode_ameba,ameba.websocket.codec,JacksonEncoder.Binary,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
