Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
iilab_PanicButton,org.iilab.pb.trigger,BootReceiver,onReceive,17,4,2,19,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,HardwareTriggerReceiver,3,1,0,18,0,org.iilab.pb.trigger.HardwareTriggerReceiver,org.iilab.pb.trigger.HardwareTriggerReceiver
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,onReceive,21,5,2,22,0,org.iilab.pb.trigger.HardwareTriggerReceiver,org.iilab.pb.trigger.HardwareTriggerReceiver
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,onActivation,4,1,1,48,0,org.iilab.pb.trigger.HardwareTriggerReceiver,org.iilab.pb.trigger.HardwareTriggerReceiver
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,activateAlert,3,1,1,53,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,resetEvent,3,1,0,58,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,getPanicAlert,3,1,1,62,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiver,isCallActive,4,1,1,66,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,reset,5,1,0,30,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,registerClick,40,7,1,36,0,org.iilab.pb.trigger.MultiClickEvent,org.iilab.pb.trigger.MultiClickEvent
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,resetClickCount,8,1,1,80,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,isPowerClickBecauseOfUser,26,3,0,91,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,notWithinLimit,3,1,1,116,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,isFirstClick,3,1,0,120,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,isActivated,3,1,0,124,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,canStartVibration,3,1,0,128,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,getEventLog,3,1,0,132,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,skipCurrentClick,3,1,0,136,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEvent,resetSkipCurrentClickFlag,3,1,0,140,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerService,onCreate,9,1,0,11,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerService,onDestroy,8,1,0,22,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerService,onBind,3,1,1,33,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerServiceTest,shouldRegisterHardwareTriggerListener,17,3,0,22,1,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiverTest,setUp,9,1,0,46,0,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiverTest,shouldActivateAlertWhenTheMultiClickEventIsActivatedAndResetTheEvent,7,1,0,57,1,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiverTest,shouldNotActivateAlertWhenTheMultiClickEventIsNotActivated,6,1,0,68,1,,
iilab_PanicButton,org.iilab.pb.trigger,HardwareTriggerReceiverTest,shouldNotProcessAnyThingForIntentsOtherThanScreenOnAndOff,5,1,0,77,1,,
iilab_PanicButton,org.iilab.pb.trigger,BootReceiverTest,setUp,5,1,0,29,0,,
iilab_PanicButton,org.iilab.pb.trigger,BootReceiverTest,shouldStartHardwareTriggerServiceOnBootWhenHomeReady,7,1,0,36,1,,
iilab_PanicButton,org.iilab.pb.trigger,BootReceiverTest,shouldNotProcessOtherIntents,4,1,0,46,1,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEventTest,setUp,3,1,0,13,0,,
iilab_PanicButton,org.iilab.pb.trigger,MultiClickEventTest,registerClick,5,2,2,38,0,,
iilab_PanicButton,org.iilab.pb,BaseFragmentActivity,onCreate,5,1,1,12,0,org.iilab.pb.BaseFragmentActivity,org.iilab.pb.BaseFragmentActivity
iilab_PanicButton,org.iilab.pb,BaseFragmentActivity,registerFinishActivityReceiver,5,1,0,20,0,,
iilab_PanicButton,org.iilab.pb,BaseFragmentActivity,callFinishActivityReceiver,5,1,0,26,0,,
iilab_PanicButton,org.iilab.pb,BaseFragmentActivity,onDestroy,9,1,0,32,0,,
iilab_PanicButton,org.iilab.pb,BaseFragmentActivity,onReceive,5,2,2,44,0,,
iilab_PanicButton,org.iilab.pb,HomeActivity,onCreate,43,8,1,37,0,org.iilab.pb.HomeActivity,org.iilab.pb.HomeActivity
iilab_PanicButton,org.iilab.pb,HomeActivity,onDestroy,3,1,0,104,0,,
iilab_PanicButton,org.iilab.pb,HomeActivity,deleteShortCut,12,1,0,112,0,,
iilab_PanicButton,org.iilab.pb,HomeActivity,startNextActivity,16,2,0,129,0,,
iilab_PanicButton,org.iilab.pb,HomeActivity,insertMobileDataToLocalDB,9,2,1,505,0,,
iilab_PanicButton,org.iilab.pb,HomeActivity,loadJSONFromAsset,16,1,1,517,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,onCreate,5,1,1,21,0,org.iilab.pb.PanicButtonActivity,org.iilab.pb.PanicButtonActivity
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,onPostCreate,5,1,1,28,0,org.iilab.pb.PanicButtonActivity,org.iilab.pb.PanicButtonActivity
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,alertStatusStripColor,3,1,0,35,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,getRootLayout,3,1,0,40,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,onResume,4,1,0,44,0,org.iilab.pb.PanicButtonActivity,org.iilab.pb.PanicButtonActivity
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,onDestroy,9,1,0,50,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,updateAlertStatusStrip,3,1,0,61,0,org.iilab.pb.PanicButtonActivity,org.iilab.pb.PanicButtonActivity
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,getPanicAlert,3,1,0,65,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,registerRestartInstallReceiver,5,1,0,70,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivity,onReceive,5,2,2,78,0,,
iilab_PanicButton,org.iilab.pb,MainActivity,onCreate,74,12,1,43,0,org.iilab.pb.MainActivity,org.iilab.pb.MainActivity
iilab_PanicButton,org.iilab.pb,MainActivity,changeAppIcontoPB,5,1,0,140,0,,
iilab_PanicButton,org.iilab.pb,MainActivity,onResume,23,4,0,151,0,,
iilab_PanicButton,org.iilab.pb,MainActivity,onPause,6,1,0,193,0,,
iilab_PanicButton,org.iilab.pb,MainActivity,onStop,4,1,0,201,0,,
iilab_PanicButton,org.iilab.pb,MainActivity,onStart,4,1,0,206,0,,
iilab_PanicButton,org.iilab.pb,MainActivity,onBackPressed,8,2,0,219,0,,
iilab_PanicButton,org.iilab.pb,LoginActivity,onCreate,51,6,1,20,0,,
iilab_PanicButton,org.iilab.pb,LoginActivity,onKey,20,4,3,27,0,,
iilab_PanicButton,org.iilab.pb,LoginActivity,onClick,17,3,1,56,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,onCreate,7,1,1,30,0,org.iilab.pb.CalculatorActivity,org.iilab.pb.CalculatorActivity
iilab_PanicButton,org.iilab.pb,CalculatorActivity,registerButtonEvents,7,2,0,42,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,onClick,76,23,1,52,0,org.iilab.pb.CalculatorActivity,org.iilab.pb.CalculatorActivity
iilab_PanicButton,org.iilab.pb,CalculatorActivity,onTouch,0,9,2,136,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,run,4,1,0,154,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,resetEvent,5,1,1,198,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,handleButtonPress,5,1,1,204,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,onDestroy,5,1,0,210,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivity,onBackPressed,4,1,0,217,0,,
iilab_PanicButton,org.iilab.pb,MainModalActivity,onCreate,87,10,1,41,0,,
iilab_PanicButton,org.iilab.pb,MainModalActivity,onClick,14,2,1,107,0,,
iilab_PanicButton,org.iilab.pb,MainModalActivity,onClick,13,2,1,139,0,,
iilab_PanicButton,org.iilab.pb,MainModalActivity,onBackPressed,4,1,0,186,0,,
iilab_PanicButton,org.iilab.pb,MainModalActivity,onPause,4,1,0,198,0,,
iilab_PanicButton,org.iilab.pb,MainModalActivity,onStop,4,1,0,204,0,,
iilab_PanicButton,org.iilab.pb,WizardModalActivity,onCreate,93,12,1,42,0,,
iilab_PanicButton,org.iilab.pb,WizardModalActivity,onClick,17,3,1,106,0,,
iilab_PanicButton,org.iilab.pb,WizardModalActivity,onClick,17,3,1,150,0,,
iilab_PanicButton,org.iilab.pb,WizardModalActivity,onBackPressed,6,2,0,198,0,,
iilab_PanicButton,org.iilab.pb,WizardModalActivity,onStop,5,1,0,207,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onCreate,104,22,1,39,0,org.iilab.pb.WizardActivity,org.iilab.pb.WizardActivity
iilab_PanicButton,org.iilab.pb,WizardActivity,changeAppIcontoCalculator,5,1,0,157,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onPause,8,2,0,169,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onStop,4,1,0,192,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onDestroy,5,1,0,199,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onStart,4,1,0,208,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onResume,35,8,0,214,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onUserInteraction,8,2,0,283,0,org.iilab.pb.WizardActivity,org.iilab.pb.WizardActivity
iilab_PanicButton,org.iilab.pb,WizardActivity,hideToastMessageInInteractiveFragment,3,1,0,301,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,confirmationToastMessage,4,1,0,306,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,onBackPressed,4,1,0,311,0,,
iilab_PanicButton,org.iilab.pb,WizardActivity,run,7,1,0,320,0,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,setUp,4,1,0,27,0,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,shouldInitializeData,2,1,0,34,1,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,shouldUpdateDataAndDisplayWizardWhenUserHasNotFinishedTheWizard,3,1,0,39,1,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,shouldUpdateDataAndStartCalculatorFacadeWhenUserCompletedWizard,4,1,0,47,1,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,shouldDisplayWizardWhenUserHasNotFinishedTheWizard,3,1,0,57,1,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,shouldStartCalculatorFacadeWhenUserCompletedWizard,4,1,0,65,1,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,shouldReturnAnInstance,3,1,0,74,1,,
iilab_PanicButton,org.iilab.pb,HomeActivityTest,setFirstRun,6,1,1,79,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivityTest,setUp,13,1,0,28,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivityTest,getPanicAlert,3,1,0,32,0,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivityTest,shouldShowRedAlertStripWhenAlertStatusIsActive,5,1,0,44,1,,
iilab_PanicButton,org.iilab.pb,PanicButtonActivityTest,shouldShowAmberAlertStripWhenAlertStatusIsStandby,5,1,0,52,1,,
iilab_PanicButton,org.iilab.pb,LoginActivityTest,setUp,7,1,0,28,0,,
iilab_PanicButton,org.iilab.pb,LoginActivityTest,testTest,3,1,0,39,1,,
iilab_PanicButton,org.iilab.pb,SoftKeyboardTest,shouldReturnSoftKeyboard,3,1,0,10,1,,
iilab_PanicButton,org.iilab.pb,ApplicationSettingsTest,setUp,4,1,0,27,0,,
iilab_PanicButton,org.iilab.pb,ApplicationSettingsTest,shouldReturnTrueWhenOnFirstRun,3,1,0,33,1,,
iilab_PanicButton,org.iilab.pb,ApplicationSettingsTest,shouldReturnNullIfThereIsNoLocationStored,3,1,0,38,1,,
iilab_PanicButton,org.iilab.pb,ApplicationSettingsTest,shouldUpdateFirstRunFlagOnCompletion,4,1,0,43,1,,
iilab_PanicButton,org.iilab.pb,ApplicationSettingsTest,shouldReturnFalseWhenFirstRunIsCompleted,6,1,0,49,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,setUp,13,1,0,39,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,getPanicAlert,3,1,0,43,0,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldNavigateToLoginScreenOnButtonLongPress,4,1,0,54,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldVibrateOnPressingButtonRepeatedlyFourTimes,6,2,0,62,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldActivateAlertOnPressingButtonFifthTime,14,2,0,70,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldVibrateOnPressingButtonRepeatedlyFourTimesAfterOtherButtons,7,2,0,87,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldNotVibrateOnPressingButtonRepeatedlyLessThanFiveTimes,6,2,0,96,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldNotVibrateOnPressingButtonRepeatedlyLessThanFiveTimesAfterOtherButtons,7,2,0,104,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldNotVibrateOnPressingButtonRepeatedlyMixedWithOtherButtons,7,2,0,113,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,testPressingCalculatorButtonsAffectsDisplay,9,2,0,122,1,,
iilab_PanicButton,org.iilab.pb,CalculatorActivityTest,shouldCreateNewPanicAlert,3,1,0,145,1,,
iilab_PanicButton,org.iilab.pb.data,PageItemDbManager,createTable,3,1,1,37,0,,
iilab_PanicButton,org.iilab.pb.data,PageItemDbManager,dropTable,3,1,1,41,0,,
iilab_PanicButton,org.iilab.pb.data,PageItemDbManager,insert,8,5,4,45,0,,
iilab_PanicButton,org.iilab.pb.data,PageItemDbManager,retrieve,16,3,3,71,0,,
iilab_PanicButton,org.iilab.pb.data,PageItemDbManager,update,6,1,4,90,0,,
