Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
iipc_webarchive-commons,org.archive,RecoverableRecordFormatException,1,0,4,4,17,4,4,0,1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/RecoverableRecordFormatException.java,5
iipc_webarchive-commons,org.archive.hadoop,ResourceRecordReader,11,0,6,6,80,11,0,0,0.0,1,15,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/ResourceRecordReader.java,29
iipc_webarchive-commons,org.archive.hadoop,ResourceInputFormat,0,0,2,1,8,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/ResourceInputFormat.java,13
iipc_webarchive-commons,org.archive.hadoop,PerMapOutputFormat,0,0,4,2,34,8,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/PerMapOutputFormat.java,34
iipc_webarchive-commons,org.archive.hadoop,ResourceContext,2,2,1,1,8,1,0,0,0.0,2,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/ResourceContext.java,3
iipc_webarchive-commons,org.archive.hadoop,ArchiveJSONViewLoader,5,0,3,2,66,12,0,1,0.0,0,1,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/ArchiveJSONViewLoader.java,17
iipc_webarchive-commons,org.archive.hadoop,ArchiveMetadataLoader,6,0,5,5,48,6,1,0,0.6,0,3,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/ArchiveMetadataLoader.java,17
iipc_webarchive-commons,org.archive.hadoop,FilenameInputFormat,1,0,9,8,49,11,0,0,0.8888888888888888,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/FilenameInputFormat.java,33
iipc_webarchive-commons,org.archive.hadoop.func,URLResolverFunc,3,0,6,3,74,16,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/func/URLResolverFunc.java,11
iipc_webarchive-commons,org.archive.hadoop.func,JSONViewEvalFunc,3,0,2,2,28,4,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/func/JSONViewEvalFunc.java,14
iipc_webarchive-commons,org.archive.hadoop.func,TupleFunc,2,0,3,2,26,6,0,0,0.6666666666666666,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/hadoop/func/TupleFunc.java,10
iipc_webarchive-commons,org.archive.format.http,HttpResponseParser,2,0,2,2,15,2,0,0,1.0,3,6,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpResponseParser.java,6
iipc_webarchive-commons,org.archive.format.http,HttpMessageParser,0,0,2,0,30,8,2,1,-1.0,0,1,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpMessageParser.java,4
iipc_webarchive-commons,org.archive.format.http,HttpHeaderObserver,0,0,3,3,5,3,3,1,-1.0,1,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderObserver.java,3
iipc_webarchive-commons,org.archive.format.http,HttpConstants,32,32,0,0,34,0,9,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpConstants.java,5
iipc_webarchive-commons,org.archive.format.http,HttpRequestMessageObserver,0,0,2,2,4,2,1,1,-1.0,1,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpRequestMessageObserver.java,3
iipc_webarchive-commons,org.archive.format.http,DumpingHTTPParseObserver,2,0,5,5,19,5,0,2,0.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/DumpingHTTPParseObserver.java,6
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser,24,1,19,9,340,37,0,1,0.15789473684210525,4,3,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,6
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.ParseState,0,0,0,0,3,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,179
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.EndParseState,0,0,0,0,5,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,184
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.StartParseState,0,0,0,0,21,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,191
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.LineStartParseState,0,0,0,0,27,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,215
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.LAXLineEatParseState,0,0,0,0,11,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,246
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.NameParseState,0,0,0,0,19,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,259
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.PostNameParseState,0,0,0,0,15,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,280
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.PostColonParseState,0,0,0,0,17,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,299
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.ValueParseState,0,0,0,0,17,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,319
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.ValuePostLWSPParseState,0,0,0,0,16,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,338
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.ValuePostCRParseState,0,0,0,0,15,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,357
iipc_webarchive-commons,org.archive.format.http,HttpHeaderParser.PostBlankCRParseState,0,0,0,0,14,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaderParser.java,374
iipc_webarchive-commons,org.archive.format.http,HttpHeaders,4,0,17,17,122,25,0,2,0.5294117647058824,16,3,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeaders.java,12
iipc_webarchive-commons,org.archive.format.http,HttpRequestMessage,2,0,4,4,35,11,0,2,0.0,4,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpRequestMessage.java,3
iipc_webarchive-commons,org.archive.format.http,HttpHeader,2,0,8,8,35,8,0,1,0.25,2,0,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpHeader.java,6
iipc_webarchive-commons,org.archive.format.http,HttpResponse,4,0,6,5,27,6,0,0,0.3333333333333333,6,2,/data/research/workspace/testability/data/repos/iipc_webarchive-commons/src/main/java/org/archive/format/http/HttpResponse.java,6
