Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
imglib_imglib2,net.imglib2,Point,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractLocalizable; Positionable
imglib_imglib2,net.imglib2,Point,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RealRandomAccess; RealLocalizable; RealPositionable; RealPoint; Localizable; Positionable; Point; Localizables; RandomAccessible; RandomAccess; Interval; RealRandomAccessible; RealInterval
imglib_imglib2,net.imglib2,Point,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
imglib_imglib2,net.imglib2,Dirty,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: DirtyShortArray; DirtyBooleanArray; DirtyByteArray; DirtyCharArray; DirtyIntArray; DirtyDoubleArray; DirtyFloatArray; DirtyLongArray; DirtyVolatileBooleanArray; DirtyVolatileShortArray; DirtyVolatileFloatArray; DirtyVolatileDoubleArray; DirtyVolatileIntArray; DirtyVolatileCharArray; DirtyVolatileLongArray; DirtyVolatileByteArray
imglib_imglib2,net.imglib2,AbstractLocalizableInt,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEuclideanSpace; Localizable
imglib_imglib2,net.imglib2,FinalInterval,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractInterval
imglib_imglib2,net.imglib2,FinalInterval,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Intervals; FinalInterval; Dimensions; InvalidDimensionsException; Util; ImgFactory; Img; FinalRealInterval
imglib_imglib2,net.imglib2,AbstractLocalizingCursorInt,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractLocalizableInt; Cursor
imglib_imglib2,net.imglib2,AbstractLocalizingCursorInt,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: copyCursor
imglib_imglib2,net.imglib2,KDTree,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: RealInterval
imglib_imglib2,net.imglib2,KDTree.ValueNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
imglib_imglib2,net.imglib2,KDTree.ValueNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
imglib_imglib2,net.imglib2,KDTree.SamplerNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sampler
imglib_imglib2,net.imglib2,KDTree.SamplerNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
imglib_imglib2,net.imglib2,KDTree.DimComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: d
imglib_imglib2,net.imglib2,KDTree.DimComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
imglib_imglib2,net.imglib2,KDTree.KDTreeCursor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: tree; nodes; currentNode
