Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
imglib_imglib2,net.imglib2,FinalInterval,createMinSize,Magic Number,The method contains a magic number: 2,137
imglib_imglib2,net.imglib2,FinalInterval,createMinMax,Magic Number,The method contains a magic number: 2,162
imglib_imglib2,net.imglib2,KDTree,KDTree,Complex Method,Cyclomatic complexity of the method is 10,177
imglib_imglib2,net.imglib2,KDTree,makeNode,Long Parameter List,The method has 6 parameters. ,298
imglib_imglib2,net.imglib2,KDTree,makeNode,Long Statement,The length of the statement "return new ValueNode<T>(values.get(permutation[k])`positions.get(k)`d`makeNode(positions`i`k - 1`dChild`values`permutation)`makeNode(positions`k + 1`j`dChild`values`permutation));" is 179.,298
imglib_imglib2,net.imglib2,KDTree,makeNode,Magic Number,The method contains a magic number: 2,298
imglib_imglib2,net.imglib2,KDTree,makeNode,Long Parameter List,The method has 5 parameters. ,341
imglib_imglib2,net.imglib2,KDTree,makeNode,Magic Number,The method contains a magic number: 2,341
imglib_imglib2,net.imglib2,KDTree,makeNode,Long Statement,The length of the statement "return new ValueNode<T>((T)elements.get(k)`elements.get(k)`d`makeNode(elements`i`k - 1`dChild)`makeNode(elements`k + 1`j`dChild));" is 130.,400
imglib_imglib2,net.imglib2,KDTree,makeNode,Magic Number,The method contains a magic number: 2,400
imglib_imglib2,net.imglib2,KDTree,makeNode,Magic Number,The method contains a magic number: 2,434
imglib_imglib2,net.imglib2,KDTree,makeSamplerNode,Long Statement,The length of the statement "return new SamplerNode<T>(elements.get(k)`elements.get(k)`d`makeSamplerNode(elements`i`k - 1`dChild)`makeSamplerNode(elements`k + 1`j`dChild));" is 143.,485
imglib_imglib2,net.imglib2,KDTree,makeSamplerNode,Magic Number,The method contains a magic number: 2,485
imglib_imglib2,net.imglib2,FinalRealInterval,createMinSize,Magic Number,The method contains a magic number: 2,96
imglib_imglib2,net.imglib2,FinalRealInterval,createMinMax,Magic Number,The method contains a magic number: 2,128
imglib_imglib2,net.imglib2,Dimensions,verifyAllPositive,Long Statement,The length of the statement "if (!Dimensions.allPositive(dimensions)) throw new InvalidDimensionsException(dimensions`"Expected only positive dimensions but got: " + Arrays.toString(dimensions));" is 166.,152
imglib_imglib2,net.imglib2,Dimensions,verifyAllPositive,Long Statement,The length of the statement "if (!Dimensions.allPositive(dimensions)) throw new InvalidDimensionsException(dimensions`"Expected only positive dimensions but got: " + Arrays.toString(dimensions));" is 166.,170
imglib_imglib2,net.imglib2,FlatIterationOrder,equals,Long Statement,The length of the statement "if (i.min(l1.get(d)) != interval.min(l2.get(d)) || i.dimension(l1.get(d)) != interval.dimension(l2.get(d))) return false;" is 121.,61
imglib_imglib2,net.imglib2,IntervalTest,min,Magic Number,The method contains a magic number: 3,53
imglib_imglib2,net.imglib2,IntervalTest,max,Magic Number,The method contains a magic number: 7,59
imglib_imglib2,net.imglib2,IntervalTest,testMinWithPositionable,Magic Number,The method contains a magic number: 3,83
imglib_imglib2,net.imglib2,IntervalTest,testMaxWithPositionable,Magic Number,The method contains a magic number: 7,105
imglib_imglib2,net.imglib2,IntervalTest,testRealMin,Magic Number,The method contains a magic number: 3.0,116
imglib_imglib2,net.imglib2,IntervalTest,testRealMax,Magic Number,The method contains a magic number: 7.0,125
imglib_imglib2,net.imglib2,IntervalTest,testDimension,Magic Number,The method contains a magic number: 5,134
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 2.5,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 3.0,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 4.0,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 2.5,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 3.0,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 4.0,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 2.5001,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 3.0,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testEquals,Magic Number,The method contains a magic number: 4.0,52
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testHashCode,Magic Number,The method contains a magic number: 2.5,62
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testHashCode,Magic Number,The method contains a magic number: 3.0,62
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testHashCode,Magic Number,The method contains a magic number: 4.0,62
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testHashCode,Magic Number,The method contains a magic number: 2.5,62
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testHashCode,Magic Number,The method contains a magic number: 3.0,62
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testHashCode,Magic Number,The method contains a magic number: 4.0,62
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testToString,Magic Number,The method contains a magic number: 2.0,70
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testToString,Magic Number,The method contains a magic number: 3.0,70
imglib_imglib2,net.imglib2,FinalRealIntervalTest,testToString,Magic Number,The method contains a magic number: 4.0,70
imglib_imglib2,net.imglib2,RandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 3,53
imglib_imglib2,net.imglib2,RandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 2,53
imglib_imglib2,net.imglib2,RandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 4,53
imglib_imglib2,net.imglib2,RandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 5,53
imglib_imglib2,net.imglib2,RandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 3,53
imglib_imglib2,net.imglib2,RandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 2,53
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Long Statement,The length of the statement "final RealRandomAccessible<DoubleType> image=new FunctionRealRandomAccessible<>(3`() -> this::sumCoordinates`DoubleType::new);" is 126.,52
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 3,52
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 14,52
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 10.0,52
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 8.0,52
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 4.0,52
imglib_imglib2,net.imglib2,RealRandomAccessibleTest,testGetAt,Magic Number,The method contains a magic number: 12,52
