Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jcabi_jcabi-http,com.jcabi.http,Wire,send,Long Parameter List,The method has 7 parameters. ,61
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,readsReturnStatusCode,Long Statement,The length of the statement "this.request(String.format("/%s"`method.toLowerCase(Locale.ENGLISH))).method(method).fetch().as(RestResponse.class).assertStatus(HttpURLConnection.HTTP_OK);" is 156.,104
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,sendsCookies,Long Statement,The length of the statement "MatcherAssert.assertThat("Must send cookies"`this.request("/cookies").header(HttpHeaders.COOKIE`"foo=bar").header(HttpHeaders.COOKIE`"baz=foz").through(CookieOptimizingWire.class).fetch().as(JsonResponse.class).json().readObject().getJsonObject("cookies")`Matchers.allOf(Matchers.hasEntry(Matchers.is("foo")`Matchers.is(Json.createValue("bar")))`Matchers.hasEntry(Matchers.is("baz")`Matchers.is(Json.createValue("foz")))));" is 423.,121
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,followsLocationHeader,Long Statement,The length of the statement "this.request("/absolute-redirect/5").through(AutoRedirectingWire.class`Tv.SIX).fetch().as(RestResponse.class).assertStatus(HttpURLConnection.HTTP_OK);" is 150.,147
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,followsLocationHeaderRelativeRedirect,Long Statement,The length of the statement "this.request("/relative-redirect/5").through(AutoRedirectingWire.class`Tv.SIX).fetch().as(RestResponse.class).assertStatus(HttpURLConnection.HTTP_OK);" is 150.,156
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,readsJsonResponse,Long Statement,The length of the statement "MatcherAssert.assertThat("Must parse Json response"`this.request("/json").fetch().as(JsonResponse.class).json().readObject()`Matchers.notNullValue(JsonObject.class));" is 166.,176
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,readsDeflatedJsonResponse,Long Statement,The length of the statement "MatcherAssert.assertThat("Must undeflate & parse Json response"`this.request("/deflate").fetch().as(JsonResponse.class).json().readObject()`Matchers.hasEntry(Matchers.is("deflated")`Matchers.is(JsonValue.TRUE)));" is 212.,189
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,readsGzippedJsonResponse,Long Statement,The length of the statement "MatcherAssert.assertThat("Must unzip & parse Json response"`this.request("/gzip").fetch().as(JsonResponse.class).json().readObject()`Matchers.hasEntry(Matchers.is("gzipped")`Matchers.is(JsonValue.TRUE)));" is 204.,206
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,handlesBasicAuth,Long Statement,The length of the statement "MatcherAssert.assertThat("Must authenticate with userInfo"`this.request("/basic-auth/jeff/secret").uri().userInfo("jeff:secret").back().through(BasicAuthWire.class).fetch().as(JsonResponse.class).status()`Matchers.is(HttpURLConnection.HTTP_OK));" is 245.,223
jcabi_jcabi-http,com.jcabi.http,RequestITCaseTemplate,readsXmlResponse,Long Statement,The length of the statement "MatcherAssert.assertThat("Must parse XML response"`this.request("/xml").fetch().as(XmlResponse.class).xml()`Matchers.notNullValue(XML.class));" is 142.,241
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeBody,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).body().back().fetch();" is 194.,75
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,call,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).body().back().fetch();" is 194.,89
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeFetch,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).fetch();" is 180.,106
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,call,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).fetch();" is 180.,120
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeHeader,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).header(RequestTimeoutLossTest.CONTENT_TYPE`"text/plain").fetch();" is 237.,135
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,call,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).header(RequestTimeoutLossTest.CONTENT_TYPE`"text/plain").fetch();" is 237.,149
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeMethod,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).method(Request.GET).fetch();" is 180.,168
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,call,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).method(Request.GET).fetch();" is 180.,182
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeMultipartBody,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).multipartBody().back().fetch();" is 203.,197
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,call,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).multipartBody().back().fetch();" is 203.,211
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeReset,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).reset(RequestTimeoutLossTest.CONTENT_TYPE).fetch();" is 223.,228
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,call,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).reset(RequestTimeoutLossTest.CONTENT_TYPE).fetch();" is 223.,242
jcabi_jcabi-http,com.jcabi.http,RequestTimeoutLossTest,testTimeoutOrderDoesntMatterBeforeUriBack,Long Statement,The length of the statement "return RequestTimeoutLossTest.request(type).through(MockWire.class).method(Request.GET).timeout(RequestTimeoutLossTest.CONNECT_TIMEOUT`RequestTimeoutLossTest.READ_TIMEOUT).uri().path("/api").back().fetch();" is 206.,258
