Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jlpoolen_libreveris,wixheatuser,Harvester,harvestFolder,Long Statement,The length of the statement "pl("<RegistryValue Root=\"HKCU\" Key=\"Software\\[Manufacturer]\\[ProductName]\" Name=\"" + did.getPath() + "\" Type=\"string\" Value=\"installed\" KeyPath=\"yes\" />");" is 169.,167
jlpoolen_libreveris,com.audiveris.musicxmldiff,CLI,parse,Complex Method,Cyclomatic complexity of the method is 15,225
jlpoolen_libreveris,com.audiveris.musicxmldiff,CLI,parse,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@61029d98,225
jlpoolen_libreveris,com.audiveris.musicxmldiff,CLI,stopUsage,Long Statement,The length of the statement "buf.append(String.format("%n %-36s %s"`String.format((command.occurrence == Occurrence.OPTIONAL) ? " [-%s%s]" : " -%s%s"`command.toString().toLowerCase(Locale.ENGLISH)`((command.params != null) ? (" " + command.params) : ""))`command.description));" is 248.,358
jlpoolen_libreveris,com.audiveris.musicxmldiff,MusicDifferenceListener,differenceFound,Complex Method,Cyclomatic complexity of the method is 12,59
jlpoolen_libreveris,com.audiveris.musicxmldiff,MusicDifferenceListener,differenceFound,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4ff34aa0,59
jlpoolen_libreveris,com.audiveris.musicxmldiff,PositionalXMLReader,handle,Long Parameter List,The method has 5 parameters. ,51
jlpoolen_libreveris,com.audiveris.musicxmldiff,PositionalXMLReader,readXML,Long Statement,The length of the statement "@Override public void startElement( final String uri` final String localName` final String qName` final Attributes attributes) throws SAXException {" is 148.,143
jlpoolen_libreveris,com.audiveris.musicxmldiff,Main,compare,Complex Conditional,The conditional expression !difference.isRecoverable() && ((filter == null) || !filter.canIgnore(difference)) is complex.,86
jlpoolen_libreveris,com.audiveris.musicxmldiff.info,ElemInfo,ElemInfo,Long Parameter List,The method has 5 parameters. ,34
jlpoolen_libreveris,com.audiveris.musicxmldiff.info,FilterInfoTest,testMarshall,Magic Number,The method contains a magic number: 0.02,95
jlpoolen_libreveris,com.audiveris.musicxmldiff.info,FilterInfoTest,testMarshall,Magic Number,The method contains a magic number: 0.02,95
jlpoolen_libreveris,com.audiveris.musicxmldiff.info,FilterInfoTest,testMarshall,Magic Number,The method contains a magic number: 5,95
jlpoolen_libreveris,com.audiveris.installer,DocCompanion,DocCompanion,Magic Number,The method contains a magic number: 60,67
jlpoolen_libreveris,com.audiveris.installer,DocCompanion,checkInstalled,Complex Conditional,The conditional expression getTargetFolder().exists() && descriptor.getConfigFolder().exists() && checkDirectories(descriptor.getDataFolder()`dataFolders)&& checkSpecificFiles() is complex.,83
jlpoolen_libreveris,com.audiveris.installer,DocCompanion,checkInstalled,Long Statement,The length of the statement "if (getTargetFolder().exists() && descriptor.getConfigFolder().exists() && checkDirectories(descriptor.getDataFolder()`dataFolders)&& checkSpecificFiles()) {" is 157.,83
jlpoolen_libreveris,com.audiveris.installer,DocCompanion,installSpecificFiles,Empty catch clause,The method has an empty catch block.,181
jlpoolen_libreveris,com.audiveris.installer,RegexUtil,getGroup,Empty catch clause,The method has an empty catch block.,29
jlpoolen_libreveris,com.audiveris.installer,ExamplesCompanion,ExamplesCompanion,Magic Number,The method contains a magic number: 105,43
jlpoolen_libreveris,com.audiveris.installer,Utilities,download,Magic Number,The method contains a magic number: 500,53
jlpoolen_libreveris,com.audiveris.installer,Utilities,downloadJarAndExpand,Long Parameter List,The method has 5 parameters. ,178
jlpoolen_libreveris,com.audiveris.installer,OcrCompanion,OcrCompanion,Magic Number,The method contains a magic number: 60,117
jlpoolen_libreveris,com.audiveris.installer,OcrCompanion,checkInstalled,Complex Method,Cyclomatic complexity of the method is 8,135
jlpoolen_libreveris,com.audiveris.installer,OcrCompanion,doInstall,Complex Conditional,The conditional expression local.exists() && local.isDirectory() && (local.listFiles().length > 0) is complex.,244
jlpoolen_libreveris,com.audiveris.installer,OcrCompanion,doInstall,Complex Method,Cyclomatic complexity of the method is 11,244
jlpoolen_libreveris,com.audiveris.installer,Bundle,installBundle,Complex Method,Cyclomatic complexity of the method is 11,162
jlpoolen_libreveris,com.audiveris.installer,Bundle,installBundle,Long Statement,The length of the statement "JOptionPane.showMessageDialog(Installer.getFrame()`"To complete installation` you will now be prompted for" + " administration privileges"`commands.size() + " Additional command(s) to be run"`JOptionPane.INFORMATION_MESSAGE);" is 225.,162
jlpoolen_libreveris,com.audiveris.installer,Bundle,installBundle,Magic Number,The method contains a magic number: 100,162
jlpoolen_libreveris,com.audiveris.installer,Bundle,installBundle,Magic Number,The method contains a magic number: 100,162
jlpoolen_libreveris,com.audiveris.installer,Bundle,installBundle,Magic Number,The method contains a magic number: 100,162
jlpoolen_libreveris,com.audiveris.installer,Bundle,installBundle,Magic Number,The method contains a magic number: 100,162
jlpoolen_libreveris,com.audiveris.installer,Bundle,deleteTempFolder,Long Statement,The length of the statement "int opt=JOptionPane.showConfirmDialog(Installer.getFrame()`"Cannot delete installation temporary folder " + "\nlocated at " + folder + "\n"+ "\nMake sure no window or process is using it"+ "` then press OK"`"Installation temporary folder"`JOptionPane.OK_CANCEL_OPTION`JOptionPane.WARNING_MESSAGE);" is 297.,297
jlpoolen_libreveris,com.audiveris.installer,LicenseCompanion,LicenseCompanion,Magic Number,The method contains a magic number: 70,52
jlpoolen_libreveris,com.audiveris.installer,LicenseCompanion,doInstall,Complex Conditional,The conditional expression dialog.isVisible() && (e.getSource() == optionPane) && (prop.equals(JOptionPane.VALUE_PROPERTY)) is complex.,77
jlpoolen_libreveris,com.audiveris.installer,LicenseCompanion,doInstall,Long Statement,The length of the statement "final JOptionPane optionPane=new JOptionPane("Do you agree to license " + LICENSE_NAME + "?"`JOptionPane.QUESTION_MESSAGE`JOptionPane.YES_NO_CANCEL_OPTION`null`new Object[]{yes`no`browse}`yes);" is 193.,77
jlpoolen_libreveris,com.audiveris.installer,LicenseCompanion,propertyChange,Complex Conditional,The conditional expression dialog.isVisible() && (e.getSource() == optionPane) && (prop.equals(JOptionPane.VALUE_PROPERTY)) is complex.,112
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 5,50
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 5,50
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 5,50
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 5,50
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 10,50
jlpoolen_libreveris,com.audiveris.installer,GhostscriptCompanion,GhostscriptCompanion,Magic Number,The method contains a magic number: 95,41
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildButtonPanel,Magic Number,The method contains a magic number: 500,145
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildButtonPanel,Magic Number,The method contains a magic number: 50,145
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildCompPanel,Magic Number,The method contains a magic number: 2,167
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,setSizeAndLocation,Magic Number,The method contains a magic number: 687,257
jlpoolen_libreveris,com.audiveris.installer,BundleView,setSizeAndLocation,Magic Number,The method contains a magic number: 400,257
jlpoolen_libreveris,com.audiveris.installer,BundleView,setSizeAndLocation,Magic Number,The method contains a magic number: 20,257
jlpoolen_libreveris,com.audiveris.installer,TrainingCompanion,TrainingCompanion,Magic Number,The method contains a magic number: 95,48
jlpoolen_libreveris,com.audiveris.installer,PluginsCompanion,PluginsCompanion,Magic Number,The method contains a magic number: 90,48
jlpoolen_libreveris,com.audiveris.installer,FolderSelector,checkFolder,Long Statement,The length of the statement "JOptionPane.showMessageDialog(Installer.getFrame()`"Invalid folder: " + ex`"Folder selection"`JOptionPane.WARNING_MESSAGE);" is 123.,115
jlpoolen_libreveris,com.audiveris.installer,FolderSelector,defineLayout,Magic Number,The method contains a magic number: 3,150
jlpoolen_libreveris,com.audiveris.installer,FolderSelector,defineLayout,Magic Number,The method contains a magic number: 5,150
jlpoolen_libreveris,com.audiveris.installer,Installer,install,Long Statement,The length of the statement "logger.info("\nEnvironment:\n" + "- OS: {}\n" + "- Architecture: {}\n"+ "- Java VM: {}\n"`System.getProperty("os.name") + " " + System.getProperty("os.version")`System.getProperty("os.arch")`System.getProperty("java.vm.name") + " (build " + System.getProperty("java.vm.version")+ "` "+ System.getProperty("java.vm.info")+ ")");" is 327.,136
