Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,simple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,stopwords,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,wordCount,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,widthAndHeight,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,randomWordStart,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,font,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,normalizer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,backgroundImage,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,colorRgb,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,colorRgbHex,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,colorHex,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,chinese,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,polar,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,KumoCliITest,layered,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.cli,ParenthesisSerializerTest,serialize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
kennycason_kumo,com.kennycason.kumo.cli,ParenthesisSerializerTest,deserialize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
kennycason_kumo,com.kennycason.kumo.nlp.tokenizers,ChineseWordTokenizerTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
kennycason_kumo,com.kennycason.kumo.nlp.tokenizers,EnglishWordTokenizerTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
kennycason_kumo,com.kennycason.kumo.nlp.tokenizers,WhiteSpaceWordTokenizerTest,singleAndMultipleSpace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
kennycason_kumo,com.kennycason.kumo,SpiralTest,maxRadius,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
kennycason_kumo,com.kennycason.kumo,WordCloudAutoFillTest,whaleImgWordTooFewTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudAutoFillTest,whaleImgNoWordAfterFilterWithCustomAutoFillTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudAutoFillTest,whaleImgNoWordAfterFilterWithDefaultAutoFillTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudAutoFillTest,whaleImgWithListOfStringTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudAutoFillTest,wordtoosmall,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudAutoFillTest,duplicatesmall,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudImageResizeTest,imageProcessorInstanceTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudImageResizeTest,whaleImgLargeToSmallTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudImageResizeTest,whaleImgSmallToLargeTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo,WordCloudTest,testWriteToStreamAsPNG,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
kennycason_kumo,com.kennycason.kumo,WordCloudTest,testWriteToStreamAsPNG,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.WordCloud.build; com.kennycason.kumo.WordCloud.setPadding; com.kennycason.kumo.WordCloud.setBackground; com.kennycason.kumo.WordCloud.writeToStreamAsPNG
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,normalizeThenFilter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,normalizeThenFilter,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.nlp.FrequencyAnalyzer.clearNormalizers; com.kennycason.kumo.nlp.FrequencyAnalyzer.clearFilters; com.kennycason.kumo.nlp.FrequencyAnalyzer.addNormalizer; com.kennycason.kumo.nlp.FrequencyAnalyzer.addFilter; com.kennycason.kumo.WordFrequency.getWord
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,defaultTokenizerTrim,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,defaultTokenizerTrim,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.nlp.FrequencyAnalyzer.load; com.kennycason.kumo.WordFrequency.getFrequency
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,noNormalizationNoFilter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,noNormalizationNoFilter,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.nlp.FrequencyAnalyzer.clearFilters; com.kennycason.kumo.nlp.FrequencyAnalyzer.clearNormalizers; com.kennycason.kumo.nlp.FrequencyAnalyzer.load; com.kennycason.kumo.WordFrequency.getFrequency
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,largeTextFileTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,largeTextFileTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.nlp.FrequencyAnalyzer.load; com.kennycason.kumo.WordFrequency.getFrequency
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,largeTextFileTestWithStopWords,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyAnalyzerTest,largeTextFileTestWithStopWords,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.nlp.FrequencyAnalyzer.setStopWords; com.kennycason.kumo.nlp.FrequencyAnalyzer.load; com.kennycason.kumo.WordFrequency.getFrequency
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyFileLoaderTest,basic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyFileLoaderTest,basic,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.nlp.FrequencyFileLoader.load; com.kennycason.kumo.WordFrequency.getFrequency; com.kennycason.kumo.WordFrequency.getWord
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyFileLoaderTest,validFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
kennycason_kumo,com.kennycason.kumo.nlp,FrequencyFileLoaderTest,validFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.WordFrequency.getFrequency; com.kennycason.kumo.WordFrequency.getWord
kennycason_kumo,com.kennycason.kumo.font.scale,SqrtFontScalarTest,testScale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
kennycason_kumo,com.kennycason.kumo.font.scale,LinearFontScalarTest,testScale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
kennycason_kumo,com.kennycason.kumo.font.scale,LogFontScalarTest,testScale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
kennycason_kumo,com.kennycason.kumo.palette,LinearGradientColorPaletteTest,singleGradient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
kennycason_kumo,com.kennycason.kumo.palette,LinearGradientColorPaletteTest,doubleGradient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,basicTests,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,basicTests,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.image.CollisionRaster.getDimension; com.kennycason.kumo.image.CollisionRaster.isTransparent
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,correctPixelIsTransparent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,correctPixelIsTransparent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.image.CollisionRaster.setPixelIsNotTransparent; com.kennycason.kumo.image.CollisionRaster.isTransparent
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,correctPixelIsTransparent,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,collisionsAreFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
kennycason_kumo,com.kennycason.kumo.image,CollisionRasterTest,collisionsAreFound,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.kennycason.kumo.image.CollisionRaster.setPixelIsNotTransparent; com.kennycason.kumo.collide.checkers.CollisionChecker.collide
kennycason_kumo,com.kennycason.kumo.examples,EmojiWordCloudITest,emojiCloud,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,DataRankWordCloudITest,datarank,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordPlacerPerfTest,linearPlacement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordPlacerPerfTest,rTreePlacement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,PolarWordCloudITest,whaleImgLargePolarTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,PolarWordCloudITest,newyorkPolarCircle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,PolarWordCloudITest,newyorkPolarRectangle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,PolarWordCloudITest,tidyCatLitter,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,SimplyMeasuredWordCloudITest,simplymeasured,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,LayeredWordCloudITest,layeredExample,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,LayeredWordCloudITest,layeredHaskellExample,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,LayeredWordCloudITest,layeredPhoBowl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudNormalizersITest,upperCaseNormalizer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudNormalizersITest,upsideDownNormalizer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudNormalizersITest,hexStringNormalizer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudNormalizersITest,noNormalizationOrFilters,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudNormalizersITest,bubbleText,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudITest,simpleCircleTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudITest,simpleRectangleTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudITest,loadWikipediaFromUrl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudITest,readCNN,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
kennycason_kumo,com.kennycason.kumo.examples,WordCloudITest,whaleImgLargeTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
