Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
kiselev-dv_gazetteer,me.osm.gazetter,Options,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
kiselev-dv_gazetteer,me.osm.gazetter,Options.SecondaryOptionsInitializationException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter,Gazetteer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
kiselev-dv_gazetteer,me.osm.gazetter,Gazetteer.CommandDescription,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter,Versions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: gazetteer; jts; osmdoc; groovy; buildTs
kiselev-dv_gazetteer,me.osm.gazetter,LOGMarkers,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: E_INTRPLTN_NO_ADDR_POINT; E_INTRPLTN_DIF_STREETS; E_WAY_ONLY_TWO_EQAL_POINTS; E_NO_POINTS_FOR_RELATION; E_INTRPLTN_UNSPRTED_TYPE; E_NO_POINTS_FOR_WAY; E_WRONG_NUM_OF_POINTS; E_POLYGON_BUID_ERR; E_NO_ASSOCIATED_STREET_FOUND; E_INVALID_NAN_POI_PNT
kiselev-dv_gazetteer,me.osm.gazetter.utils,MultipolygonBuilder.JoinedPolygon,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter.utils,MultipolygonBuilder.JoinedPolygonCreationException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter.utils,FileLinesOffsetsIndex.Accessor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter.utils,FileUtils.LineFilter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter.utils,FileUtils.LineHandler,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
kiselev-dv_gazetteer,me.osm.gazetter.utils.index,MMapBBIndex,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: USE_READ_FOR_READONLY_FILE_ACCESS; PAGE_SIZE; SEARCH_PAGE_SIZE_BYTES; CACHE_SIZE_PAGES
kiselev-dv_gazetteer,me.osm.gazetter.utils.index,BinaryIndex.IndexLineAccessMode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
