Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,NetworkedCacheableImageView,NetworkedCacheableImageView,4,1,2,291,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,NetworkedCacheableImageView,loadImage,34,6,3,296,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,NetworkedCacheableImageView,loadImage,34,6,4,356,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,NetworkedCacheableImageView,loadImage,40,7,5,409,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,EmojiKeyboard,3,1,2,63,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,onFinishInflate,32,1,0,67,0,com.klinker.android.twitter.views.EmojiKeyboard,com.klinker.android.twitter.views.EmojiKeyboard
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,onClick,3,1,1,97,0,com.klinker.android.twitter.views.EmojiKeyboard,com.klinker.android.twitter.views.EmojiKeyboard
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,setAttached,3,1,1,106,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,isShowing,3,1,0,110,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,setVisibility,15,1,1,114,0,com.klinker.android.twitter.views.EmojiKeyboard,com.klinker.android.twitter.views.EmojiKeyboard
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,onAnimationStart,2,1,1,118,0,,
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,onAnimationEnd,3,1,1,122,0,com.klinker.android.twitter.views.EmojiKeyboard,com.klinker.android.twitter.views.EmojiKeyboard
klinker24_Talon-for-Twitter,com.klinker.android.twitter.views,EmojiKeyboard,onAnimationRepeat,2,1,1,127,0,,
