Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
kristian-lange_MechArg,services.gui,JatosGuiExceptionThrower,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kristian-lange_MechArg,services.gui,ResultRemover,Feature Envy,The tool detected a instance of this smell because updateOrRemoveGroupResult is more interested in members of the type: GroupResultDao
kristian-lange_MechArg,services.gui,ComponentUploadUnmarshaller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kristian-lange_MechArg,services.gui,ComponentUploadUnmarshaller,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: concreteUnmarshaling
kristian-lange_MechArg,services.gui,UserService,Feature Envy,The tool detected a instance of this smell because setLastLogin is more interested in members of the type: UserDao
kristian-lange_MechArg,services.gui,UserService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; ADMIN_USERNAME; ADMIN_PASSWORD; ADMIN_NAME; studyService; authenticationService; userDao; studyDao; workerDao; jpa
kristian-lange_MechArg,services.gui,ImportExportService,Feature Envy,The tool detected a instance of this smell because moveStudyAssetsDir is more interested in members of the type: IOUtils
kristian-lange_MechArg,services.gui,ImportExportService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; SESSION_UNZIPPED_STUDY_DIR; app; checker; studyService; componentService; jsonUtils; ioUtils; studyDao; componentDao
kristian-lange_MechArg,services.gui,StudyLinkService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kristian-lange_MechArg,services.gui,AuthenticationService,Feature Envy,The tool detected a instance of this smell because isRepeatedLoginAttempt is more interested in members of the type: UserSessionCacheAccessor
kristian-lange_MechArg,services.gui,AuthenticationService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; SESSION_ID; SESSION_USERNAME; SESSION_LOGIN_TIME; SESSION_LAST_ACTIVITY_TIME; LOGGED_IN_USER; random; userDao; userSessionCacheAccessor; ldapAuthentication
kristian-lange_MechArg,services.gui,GroupService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kristian-lange_MechArg,services.gui,GroupService,Feature Envy,The tool detected a instance of this smell because updateGroupSession is more interested in members of the type: GroupResultDao
kristian-lange_MechArg,services.gui,BreadcrumbsService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HOME; RESULTS; STUDY_LINKS; ADMINISTRATION; USER_MANAGER; STUDIES
kristian-lange_MechArg,services.gui,BatchService,Feature Envy,The tool detected a instance of this smell because updateBatchSession is more interested in members of the type: BatchDao
kristian-lange_MechArg,services.gui,BatchService,Feature Envy,The tool detected a instance of this smell because removeOrUpdateJatosWorker is more interested in members of the type: WorkerDao
