Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
larsgrefer_android-library,io.freefair.android.appcompatPreference,AppCompatPreferenceActivity,1,0,36,30,221,41,0,0,0.2777777777777778,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/appcompat-preference/src/main/java/io/freefair/android/appcompatPreference/AppCompatPreferenceActivity.java,40
larsgrefer_android-library,io.freefair.android.fader,IntFaderTest,0,0,2,2,12,2,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/androidTest/java/io/freefair/android/fader/IntFaderTest.java,5
larsgrefer_android-library,io.freefair.android.fader,ColorFader,4,0,3,3,20,3,0,2,0.0,2,1,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/fader/ColorFader.java,5
larsgrefer_android-library,io.freefair.android.fader,Fader,0,0,6,6,11,6,1,0,-1.0,1,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/fader/Fader.java,3
larsgrefer_android-library,io.freefair.android.fader,IntFader,1,0,3,3,14,3,0,2,0.0,2,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/fader/IntFader.java,3
larsgrefer_android-library,io.freefair.android.fader,BaseFader,2,0,4,4,21,4,4,1,0.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/fader/BaseFader.java,3
larsgrefer_android-library,io.freefair.android.fader,FloatFader,1,0,3,3,17,3,0,2,0.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/fader/FloatFader.java,3
larsgrefer_android-library,io.freefair.android.fader,DoubleFader,1,0,3,3,17,3,0,2,0.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/fader/DoubleFader.java,3
larsgrefer_android-library,io.freefair.android,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/androidTest/java/io/freefair/android/ApplicationTest.java,6
larsgrefer_android-library,io.freefair.android,MultiListenerHost,0,0,5,5,10,5,1,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/MultiListenerHost.java,6
larsgrefer_android-library,io.freefair.android,MultiListenerHelper,3,0,7,7,47,9,0,1,0.0,1,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/MultiListenerHelper.java,10
larsgrefer_android-library,io.freefair.android,MultiListenerHelper.MultiListenerInvocationHandler,0,0,0,0,12,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/MultiListenerHelper.java,59
larsgrefer_android-library,io.freefair.android.helper,DateTimeHelper,0,0,2,2,14,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/helper/DateTimeHelper.java,9
larsgrefer_android-library,io.freefair.android.ui,Converter,1,0,6,6,24,6,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/Converter.java,7
larsgrefer_android-library,io.freefair.android.ui.animation,MultiListenerAnimation,1,0,7,7,27,7,1,0,0.0,0,1,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/animation/MultiListenerAnimation.java,11
larsgrefer_android-library,io.freefair.android.ui.animation,TextColorAnimation,2,0,6,5,40,6,0,2,0.3333333333333333,0,1,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/animation/TextColorAnimation.java,10
larsgrefer_android-library,io.freefair.android.ui.animation,TextColorAnimation.TextColorAnimationListener,0,0,0,0,10,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/animation/TextColorAnimation.java,49
larsgrefer_android-library,io.freefair.android.ui.animation,TextSizeAnimation,1,0,5,4,33,5,0,2,0.4,0,1,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/animation/TextSizeAnimation.java,11
larsgrefer_android-library,io.freefair.android.ui.animation,TextSizeAnimation.TextSizeAnimationListener,0,0,0,0,9,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/animation/TextSizeAnimation.java,43
larsgrefer_android-library,io.freefair.android.ui.animation,ViewAnimation,1,0,4,4,19,4,2,1,0.5,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/animation/ViewAnimation.java,5
larsgrefer_android-library,io.freefair.android.ui.helper,NotificationHelper,0,0,1,1,18,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/helper/NotificationHelper.java,13
larsgrefer_android-library,io.freefair.android.ui.datetime,DateEditText,0,0,7,6,32,7,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/datetime/DateEditText.java,15
larsgrefer_android-library,io.freefair.android.ui.datetime,TimeEditText,0,0,7,6,32,7,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/datetime/TimeEditText.java,15
larsgrefer_android-library,io.freefair.android.ui.navigationdrawer,StatusBarColorFadeDrawerListener,2,0,13,11,53,15,0,0,0.15384615384615385,0,1,/data/research/workspace/testability/data/repos/larsgrefer_android-library/playground/src/main/java/io/freefair/android/ui/navigationdrawer/StatusBarColorFadeDrawerListener.java,14
