Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
lemire_RoaringBitmap,(default package),IntervalCheck,main,Magic Number,The method contains a magic number: 2,6
lemire_RoaringBitmap,(default package),IntervalCheck,main,Magic Number,The method contains a magic number: 3,6
lemire_RoaringBitmap,(default package),IntervalCheck,main,Magic Number,The method contains a magic number: 1000,6
lemire_RoaringBitmap,(default package),IntervalCheck,main,Magic Number,The method contains a magic number: 10,6
lemire_RoaringBitmap,(default package),IntervalCheck,main,Magic Number,The method contains a magic number: 1000,6
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Long Statement,The length of the statement "if (totalcount != Bitmap1.serializedSizeInBytes() + Bitmap2.serializedSizeInBytes()) throw new RuntimeException("This will not happen.");" is 137.,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 2,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 55,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 64,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 30,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 2,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 55,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 654,10
lemire_RoaringBitmap,(default package),MemoryMappingExample,main,Magic Number,The method contains a magic number: 35,10
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 100000,15
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 1000,15
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 100000,15
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 200000,15
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 3,15
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 700000,15
lemire_RoaringBitmap,(default package),SerializeToDiskExample,main,Magic Number,The method contains a magic number: 800000,15
lemire_RoaringBitmap,(default package),Bitmap64,main,Magic Number,The method contains a magic number: 2,5
lemire_RoaringBitmap,(default package),Bitmap64,main,Magic Number,The method contains a magic number: 100,5
lemire_RoaringBitmap,(default package),Bitmap64,main,Magic Number,The method contains a magic number: 1000,5
lemire_RoaringBitmap,(default package),Bitmap64,main,Magic Number,The method contains a magic number: 1234,5
lemire_RoaringBitmap,(default package),Bitmap64,main,Magic Number,The method contains a magic number: 3,5
lemire_RoaringBitmap,(default package),SerializeToByteArrayExample,main,Magic Number,The method contains a magic number: 2,13
lemire_RoaringBitmap,(default package),SerializeToByteArrayExample,main,Magic Number,The method contains a magic number: 3,13
lemire_RoaringBitmap,(default package),SerializeToByteArrayExample,main,Magic Number,The method contains a magic number: 1000,13
lemire_RoaringBitmap,(default package),ImmutableRoaringBitmapExample,main,Magic Number,The method contains a magic number: 2,7
lemire_RoaringBitmap,(default package),ImmutableRoaringBitmapExample,main,Magic Number,The method contains a magic number: 3,7
lemire_RoaringBitmap,(default package),ImmutableRoaringBitmapExample,main,Magic Number,The method contains a magic number: 1000,7
lemire_RoaringBitmap,(default package),ImmutableRoaringBitmapExample,main,Magic Number,The method contains a magic number: 2,7
lemire_RoaringBitmap,(default package),ImmutableRoaringBitmapExample,main,Magic Number,The method contains a magic number: 3,7
lemire_RoaringBitmap,(default package),ImmutableRoaringBitmapExample,main,Magic Number,The method contains a magic number: 1010,7
lemire_RoaringBitmap,(default package),CompressionResults,testSuperSparse,Long Statement,The length of the statement "System.out.println("An uncompressed bitset might use " + F.format(universe_size * 1.0 / howmany) + " bits per value set");" is 122.,9
lemire_RoaringBitmap,(default package),CompressionResults,testSuperSparse,Magic Number,The method contains a magic number: 100,9
lemire_RoaringBitmap,(default package),CompressionResults,testSuperSparse,Magic Number,The method contains a magic number: 8.0,9
lemire_RoaringBitmap,(default package),CompressionResults,testSuperSparse,Magic Number,The method contains a magic number: 8.0,9
lemire_RoaringBitmap,(default package),CompressionResults,testSuperDense,Long Statement,The length of the statement "System.out.println("Bits used per value after run optimize = " + F.format(r.getSizeInBytes() * 8.0 / r.getCardinality()));" is 122.,27
lemire_RoaringBitmap,(default package),CompressionResults,testSuperDense,Long Statement,The length of the statement "System.out.println("An uncompressed bitset might use " + F.format(universe_size * 1.0 / r.getCardinality()) + " bits per value set");" is 133.,27
lemire_RoaringBitmap,(default package),CompressionResults,testSuperDense,Magic Number,The method contains a magic number: 100,27
lemire_RoaringBitmap,(default package),CompressionResults,testSuperDense,Magic Number,The method contains a magic number: 8.0,27
lemire_RoaringBitmap,(default package),CompressionResults,testSuperDense,Magic Number,The method contains a magic number: 8.0,27
lemire_RoaringBitmap,(default package),CompressionResults,testSuperDense,Magic Number,The method contains a magic number: 8.0,27
