Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example,U2020App,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MORTAR_SCOPE
lemonlabs_u2020-mortar,co.lemonlabs.mortar.tests.util,ScreenshotTaker.Spoon,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.data.api,ApiModule,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PRODUCTION_API_URL
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.data.api.model,MockImageLoader.ImageBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core,TransitionScreen.ScreenCreator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core,CorePresenter.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core.android,ActionBarPresenter.Config,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core.android,ActionBarPresenter.MenuAction,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core.android,DrawerPresenter.Config,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core.anim,Transitions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.core.anim,Transitions.Animators,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.views.data,ExamplePopupData,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,DrawerScreen.Module,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,DrawerScreen.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,ViewStateScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,ViewStateScreen.Module,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,ViewStateScreen.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,StubXScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,StubXScreen.Module,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,StubXScreen.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,GalleryScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,GalleryScreen.Module,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,GalleryScreen.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,NestedScreen.Module,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,NestedScreen.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,NestedScreen.ChildPresenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,StubYScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATOR
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,StubYScreen.Module,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.screens,StubYScreen.Presenter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.debug,DebugAppContainer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
lemonlabs_u2020-mortar,co.lemonlabs.mortar.example.ui.debug,ProxyAdapter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE; PROXY
