Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2ImageReaderTest,testGetDefaultReadParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,ChecksumTest,ChecksumTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2PageTest,composeDisplayTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2PageTest,composeDisplayTest,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2PageTest,composeTestWithDurationCalc,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2PageTest,composeTestWithDurationCalc,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2PageTest,composeTestWithDurationCalcAggregate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,JBIG2PageTest,composeTestWithDurationCalcAggregate,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,BitmapTest,getPixelAndSetPixelTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,BitmapTest,getPixelAndSetPixelTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.Bitmap.getPixel; org.apache.pdfbox.jbig2.Bitmap.setPixel
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,BitmapTest,getByteAndSetByteTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,BitmapTest,getByteAndSetByteTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.Bitmap.setByte; org.apache.pdfbox.jbig2.Bitmap.getByte
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,BitmapTest,getByteAsIntegerTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,BitmapTest,getByteAsIntegerTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.Bitmap.setByte; org.apache.pdfbox.jbig2.Bitmap.getByteAsInteger
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,ChecksumCalculator,computeChecksum,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2,ChecksumCalculator,computeChecksum,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.util,ServiceLookupTest,withDefaultClassLoader,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.util,ServiceLookupTest,withContextClassLoader,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.util,ServiceLookupTest,withClassLoaderFromClass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,TextRegionTest,textRegionWith,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,TextRegionTest,textRegionWith,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PageInformationTest,parseHeaderCompleteTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PageInformationTest,parseHeaderCompleteTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.io.DefaultInputStreamFactory.getInputStream; org.apache.pdfbox.jbig2.segments.PageInformation.init; org.apache.pdfbox.jbig2.segments.PageInformation.getBitmapWidth; org.apache.pdfbox.jbig2.segments.PageInformation.getBitmapHeight; org.apache.pdfbox.jbig2.segments.PageInformation.getResolutionX; org.apache.pdfbox.jbig2.segments.PageInformation.getResolutionY; org.apache.pdfbox.jbig2.segments.PageInformation.isLossless; org.apache.pdfbox.jbig2.segments.PageInformation.mightContainRefinements; org.apache.pdfbox.jbig2.segments.PageInformation.getDefaultPixelValue; org.apache.pdfbox.jbig2.segments.PageInformation.getCombinationOperator; org.apache.pdfbox.jbig2.segments.PageInformation.isAuxiliaryBufferRequired; org.apache.pdfbox.jbig2.segments.PageInformation.isCombinationOperatorOverrideAllowed; org.apache.pdfbox.jbig2.segments.PageInformation.isStriped; org.apache.pdfbox.jbig2.segments.PageInformation.getMaxStripeSize
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PageInformationTest,parseHeaderXOROperatorTest,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PageInformationTest,parseHeaderANDOperatorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PageInformationTest,parseHeaderANDOperatorTest,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PageInformationTest,parseHeaderANDOperatorTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.io.DefaultInputStreamFactory.getInputStream; org.apache.pdfbox.jbig2.segments.PageInformation.init; org.apache.pdfbox.jbig2.segments.PageInformation.isLossless; org.apache.pdfbox.jbig2.segments.PageInformation.getCombinationOperator
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,parseHeaderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,parseHeaderTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.io.DefaultInputStreamFactory.getInputStream; org.apache.pdfbox.jbig2.segments.GenericRegion.init; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getBitmapWidth; org.apache.pdfbox.jbig2.segments.GenericRegion.getRegionInfo; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getBitmapHeight; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getXLocation; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getYLocation; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getCombinationOperator; org.apache.pdfbox.jbig2.segments.GenericRegion.useExtTemplates; org.apache.pdfbox.jbig2.segments.GenericRegion.isMMREncoded; org.apache.pdfbox.jbig2.segments.GenericRegion.getGbTemplate; org.apache.pdfbox.jbig2.segments.GenericRegion.isTPGDon; org.apache.pdfbox.jbig2.segments.GenericRegion.getGbAtX; org.apache.pdfbox.jbig2.segments.GenericRegion.getGbAtY
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,decodeTemplate0Test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,decodeTemplate0Test,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,decodeWithArithmetichCoding,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,decodeWithArithmetichCoding,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,decodeWithMMR,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,GenericRegionTest,decodeWithMMR,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,RegionSegmentInformationTest,parseHeaderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,RegionSegmentInformationTest,parseHeaderTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.io.DefaultInputStreamFactory.getInputStream; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.parseHeader; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getBitmapWidth; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getBitmapHeight; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getXLocation; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getYLocation; org.apache.pdfbox.jbig2.segments.RegionSegmentInformation.getCombinationOperator
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PatternDictionaryTest,parseHeaderTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
levigo_jbig2-imageio,org.apache.pdfbox.jbig2.segments,PatternDictionaryTest,parseHeaderTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.pdfbox.jbig2.io.DefaultInputStreamFactory.getInputStream; org.apache.pdfbox.jbig2.segments.PatternDictionary.init; org.apache.pdfbox.jbig2.segments.PatternDictionary.isMMREncoded; org.apache.pdfbox.jbig2.segments.PatternDictionary.getHdTemplate; org.apache.pdfbox.jbig2.segments.PatternDictionary.getHdpWidth; org.apache.pdfbox.jbig2.segments.PatternDictionary.getHdpHeight; org.apache.pdfbox.jbig2.segments.PatternDictionary.getGrayMax
