Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
lightcouch_LightCouch,org.lightcouch.tests,ChangeNotificationsTest,changes_normalFeed,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
lightcouch_LightCouch,org.lightcouch.tests,ChangeNotificationsTest,changes_continuousFeed,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
lightcouch_LightCouch,org.lightcouch.tests,DesignDocumentsTest,designDocSync,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,AttachmentsTest,attachmentInline,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,AttachmentsTest,standaloneAttachment_newDocumentGivenId,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,AttachmentsTest,standaloneAttachment_existingDocument,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,AttachmentsTest,standaloneAttachment_docIdContainSpecialChar,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,ViewsTest,viewResultEntries,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
lightcouch_LightCouch,org.lightcouch.tests,ViewsTest,scalarValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
lightcouch_LightCouch,org.lightcouch.tests,ViewsTest,pagination,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
lightcouch_LightCouch,org.lightcouch.tests,ViewsTest,pagination_all_docs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,findByIdContainSlash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,contains,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,savePOJO,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,saveMap,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,saveJsonObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,batch,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,update,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,deleteObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DocumentsCRUDTest,deleteByIdAndRevValues,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,ReplicationTest,replication_filteredWithQueryParams,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DBServerTest,compactDb,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,DBServerTest,ensureFullCommit,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
lightcouch_LightCouch,org.lightcouch.tests,UpdateHandlerTest,updateHandler_queryParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
lightcouch_LightCouch,org.lightcouch.tests,CouchDbClientLoadTest,clientsLoadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
