Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
linkedin_Cubert,com.linkedin.cubert.examples,ForceSortedOrder,setInput,3,1,3,21,0,,
linkedin_Cubert,com.linkedin.cubert.examples,ForceSortedOrder,next,3,1,0,28,0,,
linkedin_Cubert,com.linkedin.cubert.examples,ForceSortedOrder,getPostCondition,7,2,2,35,0,,
linkedin_Cubert,com.linkedin.cubert.examples,ListFiles,setInput,21,5,3,43,0,com.linkedin.cubert.examples.ListFiles,com.linkedin.cubert.examples.ListFiles
linkedin_Cubert,com.linkedin.cubert.examples,ListFiles,listFiles,12,4,3,78,0,com.linkedin.cubert.examples.ListFiles,com.linkedin.cubert.examples.ListFiles
linkedin_Cubert,com.linkedin.cubert.examples,ListFiles,next,5,2,0,98,0,,
linkedin_Cubert,com.linkedin.cubert.examples,ListFiles,getPostCondition,7,2,2,109,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,Purge,3,1,1,72,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,setInput,24,3,3,77,0,com.linkedin.cubert.examples.Purge,com.linkedin.cubert.examples.Purge
linkedin_Cubert,com.linkedin.cubert.examples,Purge,setColumnName,3,1,1,121,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,createDataFileReader,13,2,2,126,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,createDataFileWriter,13,1,1,147,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,loadMembersToPurge,12,3,1,177,0,com.linkedin.cubert.examples.Purge,com.linkedin.cubert.examples.Purge
linkedin_Cubert,com.linkedin.cubert.examples,Purge,next,12,2,0,195,0,com.linkedin.cubert.examples.Purge,com.linkedin.cubert.examples.Purge
linkedin_Cubert,com.linkedin.cubert.examples,Purge,purge,22,4,2,223,0,com.linkedin.cubert.examples.Purge,com.linkedin.cubert.examples.Purge
linkedin_Cubert,com.linkedin.cubert.examples,Purge,swap,7,1,2,255,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,getCachedFiles,3,1,0,265,0,,
linkedin_Cubert,com.linkedin.cubert.examples,Purge,getPostCondition,6,2,2,271,0,,
