Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
loldevs_riotapi,net.boreeas.riotapi.rest,ThrottledApiHandler,getMatchHistory,Long Parameter List,The method has 5 parameters. ,1018
loldevs_riotapi,net.boreeas.riotapi.rest,ThrottledApiHandler,developmentDefault,Magic Number,The method contains a magic number: 10,1372
loldevs_riotapi,net.boreeas.riotapi.rest,ThrottledApiHandler,developmentDefault,Magic Number,The method contains a magic number: 10,1372
loldevs_riotapi,net.boreeas.riotapi.rest,ThrottledApiHandler,developmentDefault,Magic Number,The method contains a magic number: 500,1372
loldevs_riotapi,net.boreeas.riotapi.rest,ThrottledApiHandler,developmentDefault,Magic Number,The method contains a magic number: 10,1372
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getChampionListDto,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("champion").queryParam("locale"`locale).queryParam("version"`version).queryParam("dataById"`dataById).queryParam("champData"`champData.name);" is 177.,358
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getChampion,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("champion/" + id).queryParam("champData"`champData.name).queryParam("locale"`locale).queryParam("version"`version);" is 151.,452
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getItemList,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("item").queryParam("itemListData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 139.,502
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getItem,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("item/" + id).queryParam("itemData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 141.,553
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getMasteries,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("mastery").queryParam("masterListData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 144.,603
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getMastery,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("mastery/" + id).queryParam("masterListData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 150.,654
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getRuneList,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("rune").queryParam("runeListData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 139.,718
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getRune,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("rune/" + id).queryParam("runeData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 141.,769
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getSummonerSpellListDro,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("summoner-spell").queryParam("spellData"`data.name).queryParam("version"`version).queryParam("locale"`locale).queryParam("dataById"`dataById);" is 178.,820
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getSummonerSpell,Long Statement,The length of the statement "WebTarget tgt=staticDataTarget.path("summoner-spell/" + id).queryParam("spellData"`data.name).queryParam("version"`version).queryParam("locale"`locale);" is 152.,917
loldevs_riotapi,net.boreeas.riotapi.rest,ApiHandler,getMatchHistory,Long Statement,The length of the statement "WebTarget tgt=matchHistoryInfoTarget.path("" + playerId).queryParam("championIds"`concat(championIds)).queryParam("rankedQueues"`rankedQueues);" is 143.,1122
