Project Name,Package Name,Architecture Smell,Cause of the Smell
lordi_tickmate,de.smasi.tickmate.views,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.views; de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.views,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.views; de.smasi.tickmate.models; de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.views,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.views; de.smasi.tickmate.database; de.smasi.tickmate.models; de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.views,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EditGroupsActivity; GroupListAdapter; ChooseGroupActivityTest; ChooseGroupActivity]; [IconListAdapter]; [AboutActivity]; [GroupPreferenceActivity]; [EditTracksActivity; TrackListAdapter; ChooseTrackActivity]; [TrackPreferenceActivity]; [TickHeader]; [TickHeader.TickHeaderListener]; [TickHeader.HeaderGestureListener]; [TickColorListAdapter]; [SettingsActivity]; [ShowTrackActivity]. LCC (Lack of Component Cohesion) = 0.71
lordi_tickmate,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.25. All the dependencies among components: from: de.smasi.tickmate.views to: de.smasi.tickmate.models; from: de.smasi.tickmate.views to: de.smasi.tickmate.database; from: de.smasi.tickmate.views to: de.smasi.tickmate.prefs; from: de.smasi.tickmate.views to: de.smasi.tickmate.widgets; from: de.smasi.tickmate.views to: de.smasi.tickmate; from: de.smasi.tickmate.views to: de.smasi.tickmate.notifications; from: de.smasi.tickmate to: de.smasi.tickmate.views; from: de.smasi.tickmate to: lab.prada.android.ui.infinitescroll; from: de.smasi.tickmate to: de.smasi.tickmate.database; from: de.smasi.tickmate to: de.smasi.tickmate.models; from: de.smasi.tickmate to: de.smasi.tickmate.widgets; from: de.smasi.tickmate to: de.smasi.tickmate.prefs; from: de.smasi.tickmate.prefs to: de.smasi.tickmate.models; from: de.smasi.tickmate.prefs to: de.smasi.tickmate.database; from: de.smasi.tickmate.prefs to: de.smasi.tickmate; from: de.smasi.tickmate.models to: de.smasi.tickmate; from: de.smasi.tickmate.widgets to: de.smasi.tickmate.models; from: de.smasi.tickmate.widgets to: de.smasi.tickmate.database; from: de.smasi.tickmate.widgets to: de.smasi.tickmate; from: de.smasi.tickmate.database to: de.smasi.tickmate.models; from: de.smasi.tickmate.database to: de.smasi.tickmate.
lordi_tickmate,de.smasi.tickmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate; de.smasi.tickmate.views
lordi_tickmate,de.smasi.tickmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate; de.smasi.tickmate.views; de.smasi.tickmate.models
lordi_tickmate,de.smasi.tickmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate; de.smasi.tickmate.views; de.smasi.tickmate.database; de.smasi.tickmate.models
lordi_tickmate,de.smasi.tickmate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate; de.smasi.tickmate.views; de.smasi.tickmate.prefs; de.smasi.tickmate.database; de.smasi.tickmate.models
lordi_tickmate,de.smasi.tickmate,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.smasi.tickmate.views
lordi_tickmate,de.smasi.tickmate,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Globals]; [Tickmate; TickmateConstants; DatabaseTest; ActivitiesTest]; [Tickmate.DatePickerFragment]; [TickColor]; [TickAdapter]. LCC (Lack of Component Cohesion) = 0.63
lordi_tickmate,de.smasi.tickmate.prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.prefs; de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.prefs; de.smasi.tickmate.models; de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.prefs; de.smasi.tickmate.models; de.smasi.tickmate; de.smasi.tickmate.views
lordi_tickmate,de.smasi.tickmate.prefs,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.prefs,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GroupPreferenceFragment]; [TickColorPreference; TrackPreferenceFragment; IconPreference; GroupListPreference]; [TimePickerPreference]; [IconChooserDialog]. LCC (Lack of Component Cohesion) = 0.57
lordi_tickmate,de.smasi.tickmate.models,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.models; de.smasi.tickmate
lordi_tickmate,de.smasi.tickmate.models,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.models; de.smasi.tickmate; de.smasi.tickmate.views
lordi_tickmate,de.smasi.tickmate.models,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: de.smasi.tickmate.models; de.smasi.tickmate; de.smasi.tickmate.views; de.smasi.tickmate.database
lordi_tickmate,de.smasi.tickmate.models,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): de.smasi.tickmate
