Project Name,Package Name,Architecture Smell,Cause of the Smell
metricminer-msr_metricminer2,org.repodriller,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RepoVisitor; RepositoryMining]; [RepoVisitor.CVPM]; [RepoVisitor.SCMRepositoryClone]; [RepoDriller; Study]; [RepoDrillerException]. LCC (Lack of Component Cohesion) = 0.71
metricminer-msr_metricminer2,org.repodriller,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.repodriller.domain; org.repodriller.scm.
metricminer-msr_metricminer2,org.repodriller.filter.range,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.repodriller.scm
metricminer-msr_metricminer2,org.repodriller.filter.range,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.repodriller.scm; org.repodriller.domain.
metricminer-msr_metricminer2,org.repodriller.filter.diff,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OnlyDiffsWithFileTypes; DiffFilter; OnlyDiffsWithoutFileTypes; NoDiffFilter]; [OnlyDiffsWithoutFileTypesTest]; [OnlyDiffsWithFileTypesTest]. LCC (Lack of Component Cohesion) = 0.5
metricminer-msr_metricminer2,org.repodriller.filter.commit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OnlyModificationsWithFileTypes; CommitFilter; NoFilter; OnlyInMainBranch; OnlyInBranches; OnlyNoMerge]; [OnlyNoMergeTest]; [OnlyModificationsWithFileTypesTest]; [OnlyInBranchesTest]; [OnlyInMainBranchTest]. LCC (Lack of Component Cohesion) = 0.5
metricminer-msr_metricminer2,org.repodriller.scm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.repodriller.scm; org.repodriller.domain
metricminer-msr_metricminer2,org.repodriller.scm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.repodriller.filter.diff
metricminer-msr_metricminer2,org.repodriller.scm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommitVisitor; SCMRepository; GitRemoteRepository; MultipleGitRemoteRepositoryBuilder; GitRemoteRepositoryBuilder; SCM; SingleGitRemoteRepositoryBuilder; GitRepository; SubversionRepository; CollectConfiguration]; [RepositoryFile]; [FirstParentFilter]; [BlamedLine]. LCC (Lack of Component Cohesion) = 0.31
metricminer-msr_metricminer2,org.repodriller.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.repodriller.domain; org.repodriller.scm
metricminer-msr_metricminer2,org.repodriller.domain,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.repodriller.scm
metricminer-msr_metricminer2,org.repodriller.domain,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Developer; Commit; CommitTest; ModificationType; Modification; ModificationTest]; [DiffLineType; DiffLine; DiffBlock; DiffParserTest; DiffParser]; [ChangeSet]. LCC (Lack of Component Cohesion) = 0.25
metricminer-msr_metricminer2,org.repodriller.scm.git,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.repodriller.scm; org.repodriller.domain.
metricminer-msr_metricminer2,org.repodriller.scm.subversion,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.repodriller.scm; org.repodriller.domain.
metricminer-msr_metricminer2,org.repodriller.integration,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestVisitor; BetweenDatesTest; FirstParentOnlyTest; DatesAndTimezonesTest; CommitFilterIntegrationTest; OnlyModificationsWithFileTypeTest; ReverseOrderTest; BetweenTagsTest]; [ConcurrencyTest; TSTestVisitor; TSCheckoutTestVisitor]; [ThrowingTestVisitor; ThrowingTest]. LCC (Lack of Component Cohesion) = 0.23
metricminer-msr_metricminer2,org.repodriller.integration,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.repodriller; org.repodriller.scm; org.repodriller.filter.range.
