Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,QueryUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ASTERISK
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,SearchPhraseSuggesterComponent,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ENABLED_PARAM; TOKEN_PARAM; SLOP_PARAM; INORDER_PARAM; NUMBERSUGGEST_PARAM
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,SearchServlet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: URL
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,LocalDirectoryWatcher,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_WAIT_FOR_ACTION
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,BringToFrontServlet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: URL
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,ThumbnailServlet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: URL
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,LuceneIndexHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,SolrEmbedded.Config,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,Content.KeyValuePair,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,SuggestionServlet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: URL
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,Configuration.CrawlLocation,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,Backend,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,Backend.FileEvent,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mirkosertic_FXDesktopSearch,de.mirkosertic.desktopsearch,Backend.LuceneCommand,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
