Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,IncSpout,IncSpout,Long Parameter List,The method has 5 parameters. ,126
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,IncSpout,nextTuple,Magic Number,The method contains a magic number: 2,179
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderChecker,execute,Complex Conditional,The conditional expression currentTimestamp < this.lastTimestamp || !this.duplicates && currentTimestamp == this.lastTimestamp is complex.,108
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderChecker,execute,Long Statement,The length of the statement "logger.error("Out-of-order tuples detected; previous ts {}; current ts {}"`new Long(this.lastTimestamp)`new Long(currentTimestamp));" is 132.,108
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 2,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 3,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 4,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 4,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 4,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 2,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 2,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 2,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 2,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 3,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 3,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 3,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TestDeclarerTest,testDeclare,Magic Number,The method contains a magic number: 3,40
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "when(this.contextMock.getComponentOutputFields(this.contextMock.getComponentId(0)`null)).thenReturn(new Fields("ts"`"dummy"));" is 126.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "when(this.contextMock.getComponentOutputFields(this.contextMock.getComponentId(0)`null)).thenReturn(new Fields("ts"`"dummy"));" is 126.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "this.checker.execute(new TupleImpl(this.contextMock`new Values(new Long(0)`new Character((char)(32 + this.r.nextInt(95))))`0`null));" is 132.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "this.checker.execute(new TupleImpl(this.contextMock`new Values(new Long(1)`new Character((char)(32 + this.r.nextInt(95))))`0`null));" is 132.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "this.checker.execute(new TupleImpl(this.contextMock`new Values(new Long(2)`new Character((char)(32 + this.r.nextInt(95))))`0`null));" is 132.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "this.checker.execute(new TupleImpl(this.contextMock`new Values(new Long(2)`new Character((char)(32 + this.r.nextInt(95))))`0`null));" is 132.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Long Statement,The length of the statement "this.checker.execute(new TupleImpl(this.contextMock`new Values(new Long(1)`new Character((char)(32 + this.r.nextInt(95))))`0`null));" is 132.,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 32,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 95,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 32,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 95,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 2,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 32,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 95,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 2,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 32,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 95,112
mjsax_aeolus,de.hub.cs.dbis.aeolus.testUtils,TimestampOrderCheckerTest,testExecuteDetectOutOfOrderStrict,Magic Number,The method contains a magic number: 2,112
