Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
mongobee_mongobee,com.github.mongobee.utils,ChangeServiceTest,shouldFindIsRunAlwaysMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
mongobee_mongobee,com.github.mongobee.utils,ChangeServiceTest,shouldFindIsRunAlwaysMethod,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.mongobee.utils.ChangeService.fetchChangeSets; com.github.mongobee.utils.ChangeService.isRunAlwaysChangeSet
mongobee_mongobee,com.github.mongobee.utils,ChangeServiceTest,shouldFindIsRunAlwaysMethod,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
mongobee_mongobee,com.github.mongobee.utils,ChangeServiceTest,shouldCreateEntry,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
mongobee_mongobee,com.github.mongobee.utils,ChangeServiceTest,shouldCreateEntry,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.mongobee.utils.ChangeService.fetchChangeSets; com.github.mongobee.utils.ChangeService.createChangeEntry; com.github.mongobee.changeset.ChangeEntry.getAuthor; com.github.mongobee.changeset.ChangeEntry.getChangeLogClass; com.github.mongobee.changeset.ChangeEntry.getTimestamp; com.github.mongobee.changeset.ChangeEntry.getChangeId; com.github.mongobee.changeset.ChangeEntry.getChangeSetMethodName
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryDaoTest,shouldCreateChangeIdAuthorIndexIfNotFound,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryDaoTest,shouldNotCreateChangeIdAuthorIndexIfFound,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryDaoTest,shouldRecreateChangeIdAuthorIndexIfFoundNotUnique,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryDaoTest,shouldInitiateLock,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryDaoTest,shouldReleaseLockFromLockDao,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryIndexDaoTest,shouldCreateRequiredUniqueIndex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryIndexDaoTest,shouldCreateRequiredUniqueIndex,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.mongobee.dao.ChangeEntryIndexDao.createRequiredUniqueIndex; com.github.mongobee.dao.ChangeEntryIndexDao.isUnique
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryIndexDaoTest,shouldDropWrongIndex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryIndexDaoTest,shouldDropWrongIndex,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
mongobee_mongobee,com.github.mongobee.dao,ChangeEntryIndexDaoTest,shouldDropWrongIndex,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.mongobee.dao.ChangeEntryIndexDao.isUnique; com.github.mongobee.dao.ChangeEntryIndexDao.dropIndex
mongobee_mongobee,com.github.mongobee,MongobeeTest,shouldExecuteAllChangeSets,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
mongobee_mongobee,com.github.mongobee,MongobeeTest,shouldExecuteAllChangeSets,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.mongobee.dao.ChangeEntryDao.acquireProcessLock; com.github.mongobee.dao.ChangeEntryDao.isNewChange; com.github.mongobee.Mongobee.execute
mongobee_mongobee,com.github.mongobee,MongobeeTest,shouldPassOverChangeSets,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
mongobee_mongobee,com.github.mongobee,MongobeeTest,shouldUsePreConfiguredMongoTemplate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
