Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeDesktopAdapter,init,Long Statement,The length of the statement "CommandManager.registerDefaultCommand(new Command(CommandManager.FILE_OPENER_ALIAS`execCommand`CommandType.SYSTEM_COMMAND`null));" is 129.,44
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeDesktopAdapter,init,Long Statement,The length of the statement "CommandManager.registerDefaultCommand(new Command(CommandManager.URL_OPENER_ALIAS`execCommand`CommandType.SYSTEM_COMMAND`null));" is 128.,44
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeDesktopAdapter,init,Long Statement,The length of the statement "CommandManager.registerDefaultCommand(new Command(CommandManager.FILE_MANAGER_ALIAS`execCommand`CommandType.SYSTEM_COMMAND`getFileManagerName()));" is 146.,44
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeDesktopAdapter,init,Long Statement,The length of the statement "CommandManager.registerDefaultCommand(new Command(CommandManager.CMD_OPENER_ALIAS`CMD_OPENER_COMMAND`CommandType.SYSTEM_COMMAND`null));" is 135.,44
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeConfig,getValue,Empty catch clause,The method has an empty catch block.,38
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeTrash,isTrashFile,Long Statement,The length of the statement "return (file.getTopAncestor() instanceof LocalFile) && (file.getAbsolutePath(true).indexOf("/.local/share/Trash/") != -1);" is 122.,124
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeTrash,moveToTrash,Magic Number,The method contains a magic number: 3,156
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeTrash,moveToTrash,Magic Number,The method contains a magic number: 2,156
mucommander_mucommander,com.mucommander.desktop.linux.kde,KdeTrash,moveToTrash,Magic Number,The method contains a magic number: 2,156
mucommander_mucommander,com.mucommander.desktop.linux,Activator,start,Long Statement,The length of the statement "return Arrays.asList(new GuessedXfceDesktopAdapter()`new GuessedKde3DesktopAdapter()`new GuessedKde4DesktopAdapter()`new GuessedKde5DesktopAdapter()`new GuessedGnomeDesktopAdapter()`new ConfiguredXfceDesktopAdapter()`new ConfiguredKde3DesktopAdapter()`new ConfiguredKde4DesktopAdapter()`new ConfiguredKde5DesktopAdapter()`new ConfiguredGnomeDesktopAdapter());" is 359.,44
mucommander_mucommander,com.mucommander.desktop.linux,Activator,getDesktopAdapters,Long Statement,The length of the statement "return Arrays.asList(new GuessedXfceDesktopAdapter()`new GuessedKde3DesktopAdapter()`new GuessedKde4DesktopAdapter()`new GuessedKde5DesktopAdapter()`new GuessedGnomeDesktopAdapter()`new ConfiguredXfceDesktopAdapter()`new ConfiguredKde3DesktopAdapter()`new ConfiguredKde4DesktopAdapter()`new ConfiguredKde5DesktopAdapter()`new ConfiguredGnomeDesktopAdapter());" is 359.,47
mucommander_mucommander,com.mucommander.desktop.linux.xfce,XfceDesktopAdapter,init,Long Statement,The length of the statement "CommandManager.registerDefaultCommand(new Command(CommandManager.FILE_OPENER_ALIAS`FILE_OPENER`CommandType.SYSTEM_COMMAND`null));" is 129.,36
mucommander_mucommander,com.mucommander.desktop.linux.xfce,XfceDesktopAdapter,init,Long Statement,The length of the statement "CommandManager.registerDefaultCommand(new Command(CommandManager.URL_OPENER_ALIAS`FILE_OPENER`CommandType.SYSTEM_COMMAND`null));" is 128.,36
