Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,FieldReferenceOffsetManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SEQ; MSG_END; RLE_LONG_NOTHING; RLE_INT_NOTHING; RW_FIELD_OFF_BITS; RW_STACK_OFF_MASK; RW_STACK_OFF_SHIFT; RW_FIELD_OFF_MASK
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,SeriesDecimalSchema,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: instance
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeReader,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: POS_CONST_MASK; OFF_MASK; STACK_OFF_MASK; STACK_OFF_SHIFT; OFF_BITS; log; powdi; powfi
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OFF_MASK; STACK_OFF_MASK; STACK_OFF_SHIFT; OFF_BITS; powd
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,TestDataSchema,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FROM; instance; MSG_CHUNKEDSTREAM_10; MSG_CHUNKEDSTREAM_10_FIELD_BYTEARRAY_12; MSG_INTANDCHUNKEDSTREAM_20; MSG_INTANDCHUNKEDSTREAM_20_FIELD_INTVALUE_21; MSG_INTANDCHUNKEDSTREAM_20_FIELD_BYTEARRAY_22; MSG_LONGANDCHUNKEDSTREAM_30; MSG_LONGANDCHUNKEDSTREAM_30_FIELD_LONGVALUE_31; MSG_LONGANDCHUNKEDSTREAM_30_FIELD_BYTEARRAY_32; MSG_INT_40; MSG_INT_40_FIELD_INTVALUE_41; MSG_LONG_50; MSG_LONG_50_FIELD_LONGVALUE_51; MSG_CHUNKEDSTREAMANDINT_60; MSG_CHUNKEDSTREAMANDINT_60_FIELD_BYTEARRAY_62; MSG_CHUNKEDSTREAMANDINT_60_FIELD_INTVALUE_61; MSG_CHUNKEDSTREAMANDLONG_70; MSG_CHUNKEDSTREAMANDLONG_70_FIELD_BYTEARRAY_72; MSG_CHUNKEDSTREAMANDLONG_70_FIELD_LONGVALUE_71
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,ChannelReader,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PACKED_INT_SIZE; PACKED_LONG_SIZE; BOOLEAN_SIZE
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,DataOutputBlobWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,DataInputBlobReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeConfig,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: showConfigsCreatedLargerThan
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,RawDataSchema,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FROM; instance; MSG_CHUNKEDSTREAM_1; MSG_CHUNKEDSTREAM_1_FIELD_BYTEARRAY_2
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,StructuredReader,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PAYLOAD_INDEX_LOCATION
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,StructuredReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,Pipe,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: showPipesCreatedLargerThan; RELATIVE_POS_MASK; STRUCTURED_POS_MASK; BYTES_WRAP_MASK; EOF_SIZE
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,Pipe,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,Pipe.PaddedLong,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,Pipe.PaddedInt,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeSingleTemplateFloatTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FLOAT_SCRIPT
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe,PipeSingleTemplateDecimalTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FROM
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.schema.loader,SAXEvent.TemplateHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_CLIENT_SIDE_ABSENT_VALUE_LONG; DEFAULT_CLIENT_SIDE_ABSENT_VALUE_INT
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.schema.generator,CatalogGenerator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HEADER; FOOTER
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.stream,StreamingConsumerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.util,LocalHeap,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INIT_VALUE_MASK
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.util.build,FROMValidation,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: logger; forceCodeGen
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.util.hash,IntHashTable,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.token,OperatorMask,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Field_None; Field_Copy; Field_Constant; Field_Default; Field_Delta; Field_Increment; Field_Tail; Dictionary_Reset; Dictionary_Read_From; Group_Bit_Close; Group_Bit_Templ; Group_Bit_Seq; Group_Bit_PMap; Group_Bit_Msg; xmlOperatorName; methodOperatorName
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.token,TokenBuilder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAX_FIELD_ID_BITS; MAX_FIELD_ID_VALUE; MAX_INSTANCE; MAX_FIELD_MASK; SHIFT_OPER; BITS_OPER; SHIFT_TYPE; BITS_TYPE; MASK_ABSENT_DEFAULT; MASK_TYPE; MASK_OPER
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.token,TypeMask,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IntegerUnsigned; IntegerUnsignedOptional; IntegerSigned; IntegerSignedOptional; LongUnsigned; LongUnsignedOptional; LongSigned; LongSignedOptional; TextASCII; TextASCIIOptional; TextUTF8; TextUTF8Optional; Decimal; DecimalOptional; ByteVector; ByteVectorOptional; Group; GroupLength; Dictionary; Rational; RationalOptional; ringBufferFieldSize; ringBufferFieldVarLen; scriptTokenSize; xmlTypeName; methodTypeName; methodTypeInstanceName; methodTypeSuffix; primitiveTypes
nathantippy_jFASTStages,com.ociweb.pronghorn.util,CPUMonitor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UNIT_SCALING_RATIO
nathantippy_jFASTStages,com.ociweb.pronghorn.util,TrieParserReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
nathantippy_jFASTStages,com.ociweb.pronghorn.util,TrieParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_RUN; TYPE_BRANCH_VALUE; TYPE_ALT_BRANCH; TYPE_SWITCH_BRANCH; TYPE_VALUE_NUMERIC; TYPE_VALUE_BYTES; TYPE_SAFE_END; TYPE_END; ESCAPE_CMD_OPTIONAL_SIGNED_INT; ESCAPE_CMD_SIGNED_INT; ESCAPE_CMD_UNSIGNED_INT; ESCAPE_CMD_SIGNED_HEX; ESCAPE_CMD_UNSIGNED_HEX; ESCAPE_CMD_DECIMAL; ESCAPE_CMD_RATIONAL; ESCAPE_CMD_BYTES
nathantippy_jFASTStages,com.ociweb.pronghorn.util,JSONParserTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
nathantippy_jFASTStages,com.ociweb.pronghorn.util,TrieParserTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
nathantippy_jFASTStages,com.ociweb.pronghorn.util,CharSequenceHashBuilder.LengthComparitor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
nathantippy_jFASTStages,com.ociweb.pronghorn.util,IPv4Tools,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: addressParser
nathantippy_jFASTStages,com.ociweb.pronghorn.util.search,BoyerMoore,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALPHABET_SIZE
nathantippy_jFASTStages,com.ociweb.pronghorn.util.field,MessageConsumer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
nathantippy_jFASTStages,com.ociweb.pronghorn.util.math,Decimal,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: longPow; powdi; powfi
nathantippy_jFASTStages,com.ociweb.pronghorn.util.parse,JSONFieldSchema,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
nathantippy_jFASTStages,com.ociweb.pronghorn.util.parse,JSONFieldMapping,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
nathantippy_jFASTStages,com.ociweb.pronghorn.util.parse,JSONStreamVisitorToChannel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
nathantippy_jFASTStages,com.ociweb.pronghorn.struct,StructRegistry,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STRUCT_OFFSET; IS_STRUCT_BIT; FIELD_MASK
nathantippy_jFASTStages,com.ociweb.pronghorn.struct,StructRegistry,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
nathantippy_jFASTStages,com.ociweb.json,JSONExtractorImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
nathantippy_jFASTStages,com.ociweb.json.encode,JSONArray.ArrayCompletion,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
nathantippy_jFASTStages,com.ociweb.json.encode,JSONKeywords,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: instance
nathantippy_jFASTStages,com.ociweb.json.encode,JSONBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.build,BlankSchemaExample2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FROM; instance
nathantippy_jFASTStages,com.ociweb.pronghorn.pipe.template,GenerativeTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
nathantippy_jFASTStages,com.ociweb.json.parse,JSONParseTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
nathantippy_jFASTStages,com.ociweb,ProxyRequestToBackEndStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
nathantippy_jFASTStages,com.ociweb,ExampleRestStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
nathantippy_jFASTStages,com.ociweb,ConnectionData,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FROM; instance; MSG_CONNECTIONDATA_1; MSG_CONNECTIONDATA_1_FIELD_CONNECTIONID_11; MSG_CONNECTIONDATA_1_FIELD_SEQUENCENO_12; MSG_CONNECTIONDATA_1_FIELD_CONTEXT_13
nathantippy_jFASTStages,com.ociweb,WebCookbook,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
nathantippy_jFASTStages,com.ociweb,ProxyResponseFromBackEndStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
nathantippy_jFASTStages,com.ociweb,DBCaller,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
nathantippy_jFASTStages,com.ociweb,WebCookbookTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
nathantippy_jFASTStages,com.ociweb.pronghorn.network,TLSService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOG_CYPHERS
nathantippy_jFASTStages,com.ociweb.pronghorn.network,OAuth1RequestTokenStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketWriterStage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: showWrites; hardLimtNS
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketWriterStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerCoordinator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BEGIN_RESPONSE_SHIFT; INCOMPLETE_RESPONSE_SHIFT; END_RESPONSE_SHIFT; CLOSE_CONNECTION_SHIFT; UPGRADE_CONNECTION_SHIFT; UPGRADE_TARGET_PIPE_MASK; BEGIN_RESPONSE_MASK; INCOMPLETE_RESPONSE_MASK; END_RESPONSE_MASK; CLOSE_CONNECTION_MASK; UPGRADE_MASK
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerCoordinator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerCoordinator.SocketValidator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
nathantippy_jFASTStages,com.ociweb.pronghorn.network,BaseConnection,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IS_NOT_VALID; IS_DISCONNECTING; IS_WRITE_REGISTERED
nathantippy_jFASTStages,com.ociweb.pronghorn.network,HTTPUtilResponse,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketBulkReaderStage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: showRequests
nathantippy_jFASTStages,com.ociweb.pronghorn.network,LogFileConfig,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_SIZE; DEFAULT_COUNT
nathantippy_jFASTStages,com.ociweb.pronghorn.network,UpgradeToWebSocketStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
nathantippy_jFASTStages,com.ociweb.pronghorn.network,NetTLSBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
nathantippy_jFASTStages,com.ociweb.pronghorn.network,SSLUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MinTLSBlock; HANDSHAKE_TIMEOUT; HANDSHAKE_POS
nathantippy_jFASTStages,com.ociweb.pronghorn.network,SSLUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketReaderStage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: logger; showRequests
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketReaderStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketBulkRouterStage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: logger; showRequests
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerSocketBulkRouterStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ServerNewConnectionStage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: limitHandshakeConcurrency
nathantippy_jFASTStages,com.ociweb.pronghorn.network,SSLEngineUnWrapStage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: showRolling
nathantippy_jFASTStages,com.ociweb.pronghorn.network,ClientAbandonConnectionScanner,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: stdDevsToAbandon; absoluteNSToAbandon; absoluteNSToKeep; showScan
