Project Name,Package Name,Architecture Smell,Cause of the Smell
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SDN6AnnotationProcessor; TypeElementVisitor; SDN6AnnotationProcessorTest]; [SDN6AnnotationProcessor.FieldType]; [SDN6AnnotationProcessor.GroupPropertiesAndRelationships]; [SDN6AnnotationProcessor.TypeElementNameFunction]; [SDN6AnnotationProcessorTest.SomeConverter]; [SDN6AnnotationProcessorTest.StringArrayConverter]. LCC (Lack of Component Cohesion) = 0.75
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.enums_and_inner_classes,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectorTransport_; ConnectorTransport_]; [SpringBasedConverter; ConnectorTransport; OtherEnum]; [ConnectorTransport.ConnectorTransportType]; [ConnectorTransport.InnerClass]; [ConnectorTransport.InnerInnerClass]; [InnerInnerClassConverter]. LCC (Lack of Component Cohesion) = 0.67
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.labels.nodeswithdifferentlabelannotations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MultipleLabels2_]; [LabelOnNode2_]; [MultipleLabels3_]; [LabelOnNode1_]; [MultipleLabels1_]; [LabelOnNode3_]. LCC (Lack of Component Cohesion) = 1.0
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.ids,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExternalGeneratedId_]; [InternalGeneratedId_]; [InternalGeneratedPrimitiveLongId_]; [InternalGeneratedIdWithSpringId_]; [ExternalGeneratedIdImplicit_]; [ExternalGeneratedId]; [InternalGeneratedId]; [ExternalGeneratedIdImplicit]; [InternalGeneratedIdWithSpringId]; [InternalGeneratedPrimitiveLongId]. LCC (Lack of Component Cohesion) = 1.0
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.same_properties_for_rel_type,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActedIn_; Person_; Play_; Movie_]; [Person]; [Play; TheaterAppearance]; [MovieAppearance; Movie]. LCC (Lack of Component Cohesion) = 0.44
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.abstract_rels,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Movie_; Person_; Directed_]; [Person]; [Actor]; [Movie]. LCC (Lack of Component Cohesion) = 0.67
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.different_properties_for_rel_type,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActedInPlay_; Play_; Person_; ActedInMovie_; Movie_]; [Person]; [Play; TheaterAppearance]; [MovieAppearance; Movie]. LCC (Lack of Component Cohesion) = 0.4
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.same_rel_different_target,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Book_; Person_; Wrote_; Movie_]; [Person]; [Movie]; [Book]. LCC (Lack of Component Cohesion) = 0.57
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.same_rel_mixed,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Book_; Wrote_; Person_; Movie_]; [Person; Book]; [Movie]. LCC (Lack of Component Cohesion) = 0.43
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.simple,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActedIn_; Movie_; Produced_; Person_; Follows_; Directed_]; [Person; Actor]; [Movie]. LCC (Lack of Component Cohesion) = 0.33
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.same_rel_different_source,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Book_; Wrote_; Movie_; Person_]; [Person; Movie; Book]. LCC (Lack of Component Cohesion) = 0.29
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.same_rel_mixed_different_directions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Book_; Wrote_; Movie_; Person_]; [Person; Movie; Book]. LCC (Lack of Component Cohesion) = 0.29
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.sdn6.models.labels,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NodesWithDifferentLabelAnnotations]; [NodesWithDifferentLabelAnnotations.LabelOnNode1]; [NodesWithDifferentLabelAnnotations.LabelOnNode2]; [NodesWithDifferentLabelAnnotations.LabelOnNode3]; [NodesWithDifferentLabelAnnotations.MultipleLabels1]; [NodesWithDifferentLabelAnnotations.MultipleLabels2]; [NodesWithDifferentLabelAnnotations.MultipleLabels3]. LCC (Lack of Component Cohesion) = 1.0
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.codegen.core,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FieldNameGenerator; FieldNameGenerator.Default; Configuration; Configuration.Builder; NodeModelBuilder; NodeImplBuilder; AbstractModelBuilder; NodeImplBuilderTest; ConstantFieldNamingStrategyTest; RelationshipModelBuilder; RelationshipPropertyDefinition; RelationshipImplBuilder; ModelBuilder; NodeNameGenerator; ClassNameGenerator; AbstractClassNameGenerator; NodeNameGeneratorTest; RelationshipNameGenerator; RelationshipNameGeneratorTest; PropertyDefinition]; [Configuration.IndentStyle]; [Configuration.JavaVersion]; [ConfigurationTest]; [ConfigurationTest.TypeNameDecoratorTest]. LCC (Lack of Component Cohesion) = 0.21
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.parser,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Options; CypherParser; CypherDslASTExceptionFactory; CypherDslASTFactory; TckTest; CypherParserTest; OptionsTest; CypherDslASTFactoryTest; RewriteTest; UnsupportedCypherException; UnsupportedCypherExceptionTest; PatternElementCreatedEventType; PatternElementFunctions; ExpressionCreatedEventType; InputPosition; PathLength; PathDetails; PathLengthTest; TypeParsedEventType; LabelParsedEventType]; [Options.Builder]; [CypherParser.ThrowingParser]; [PatternElementAsExpressionWrapper]; [ReturnDefinition]; [CyperDslParseException]; [ExpressionAsPatternElementWrapper]; [TckTest.TestDataExtractor]; [TckTest.TestData]; [CypherParserTest.RelationshipPatterns]; [CypherParserTest.Literals]; [CypherParserTest.Parameters]; [CypherParserTest.Predicates]; [CypherDslASTFactoryTest.HandleNewMethods]. LCC (Lack of Component Cohesion) = 0.42
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.examples.sdn6.movies,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.neo4j.cypherdsl.parser
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.examples.sdn6.movies,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Genre]; [PeopleRepository; PeopleService; MoviesController; Person; Actor; NewPersonCmd; PersonDetails; PeopleController; MovieService; MovieRepository]; [GenreRepository]; [Movie]. LCC (Lack of Component Cohesion) = 0.31
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.examples.parser,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CypherDSLParserExamplesTest]; [CypherDSLParserExamplesTest.LabelCollector]; [CypherDSLParserExamplesTest.LabelCollector]; [CypherDSLParserExamplesTest.LabelCollector]; [CypherDSLParserExamplesTest.LabelsInsideExpressions]; [CypherDSLParserExamplesTest.LabelsInsidePatterns]; [CypherDSLParserExamplesTest.PropertyRecord]. LCC (Lack of Component Cohesion) = 1.0
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.core,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 337
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.neo4j.cypherdsl.core; org.neo4j.cypherdsl.core.internal
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.neo4j.cypherdsl.core; org.neo4j.cypherdsl.core.renderer; org.neo4j.cypherdsl.core.internal
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.neo4j.cypherdsl.core; org.neo4j.cypherdsl.core.querydsl; org.neo4j.cypherdsl.core.renderer; org.neo4j.cypherdsl.core.internal
neo4j-contrib_cypher-dsl,org.neo4j.cypherdsl.core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.neo4j.cypherdsl.core.internal; org.neo4j.cypherdsl.core.renderer; org.neo4j.cypherdsl.core.querydsl
