Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,loadDynamicLibrary,Complex Method,Cyclomatic complexity of the method is 8,60
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,loadDynamicLibrary,Long Statement,The length of the statement "Process p=Runtime.getRuntime().exec(new String[]{"/bin/sh"`"-c"`"chcon -u system_u -r object_r -t textrel_shlib_t " + sofile.getAbsolutePath()});" is 145.,60
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,loadDynamicLibrary,Magic Number,The method contains a magic number: 4096,60
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,notifyFromNative,Empty catch clause,The method has an empty catch block.,142
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,start,Complex Method,Cyclomatic complexity of the method is 14,173
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,start,Magic Number,The method contains a magic number: 2,173
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,start,Magic Number,The method contains a magic number: 2,173
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,start,Magic Number,The method contains a magic number: 2,173
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,start,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7398b8c9,173
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,start,Long Statement,The length of the statement "cmdsb.append("java\n").append("-p\n").append(workDir).append("\n").append("-c\n").append(cfg).append("\n").append("-g\n").append("working_directory ").append(workDir).append(";");" is 179.,306
nginx-clojure_nginx-clojure,nginx.clojure.embed,NginxEmbedServer,run,Long Statement,The length of the statement "cmdsb.append("java\n").append("-p\n").append(workDir).append("\n").append("-c\n").append(cfg).append("\n").append("-g\n").append("working_directory ").append(workDir).append(";");" is 179.,315
nginx-clojure_nginx-clojure,nginx.clojure.embed,JavaHandlersTest,testStartAndStop,Long Statement,The length of the statement "Map<String`String> opts=ArrayMap.create("port"`"8081"`"http-user-defined"`"shared_map mycounters hashmap?space=32k&entries=400;");" is 130.,214
nginx-clojure_nginx-clojure,nginx.clojure.embed,JavaHandlersTest,main,Long Statement,The length of the statement "Map<String`String> opts=ArrayMap.create("port"`"8084"`"http-user-defined"`"shared_map mycounters hashmap?space=32k&entries=400;" + " map $http_upgrade $connection_upgrade { \n" + " default upgrade;\n"+ " '' close;\n"+ "}");" is 223.,227
nginx-clojure_nginx-clojure,nginx.clojure.tomcat8,NginxTomcatBridge,initWithoutStartServer,Complex Method,Cyclomatic complexity of the method is 9,48
nginx-clojure_nginx-clojure,nginx.clojure.tomcat8,NginxTomcatBridge,initWithoutStartServer,Empty catch clause,The method has an empty catch block.,48
nginx-clojure_nginx-clojure,nginx.clojure.tomcat8,NginxTomcatBridge,boot,Complex Method,Cyclomatic complexity of the method is 10,145
nginx-clojure_nginx-clojure,nginx.clojure.tomcat8,NginxTomcatBridge,boot,Magic Number,The method contains a magic number: 1000000,145
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxTomcatHttp11Processor,NginxTomcatHttp11Processor,Long Parameter List,The method has 6 parameters. ,39
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxTomcatHttp11Processor,actionInternal,Complex Method,Cyclomatic complexity of the method is 34,65
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxTomcatHttp11Processor,actionInternal,Long Method,The method has 153 lines of code.,65
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxTomcatHttp11Processor,prepareSendfile,Long Statement,The length of the statement "sendfileData.length=((Long)request.getAttribute(org.apache.coyote.Constants.SENDFILE_FILE_END_ATTR)).longValue() - sendfileData.pos;" is 132.,253
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxTomcatHttp11Processor,event,Complex Method,Cyclomatic complexity of the method is 10,293
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxTomcatHttp11Processor,event,Magic Number,The method contains a magic number: 500,293
nginx-clojure_nginx-clojure,org.apache.coyote.http11,InternalNginxInputBuffer,init,Long Statement,The length of the statement "lastValid=(int)NginxClojureRT.ngx_http_clojure_mem_copy_header_buf(jreq.nativeRequest()`buf`MiniConstants.BYTE_ARRAY_OFFSET`headerBufferSize);" is 142.,78
nginx-clojure_nginx-clojure,org.apache.coyote.http11,InternalNginxInputBuffer,init,Magic Number,The method contains a magic number: 2,78
nginx-clojure_nginx-clojure,org.apache.coyote.http11,InternalNginxOutputBuffer,commit,Complex Conditional,The conditional expression pos > 0 && (!socket.isSendFile() || socket.getIOChannel().isIgnoreFilter()) is complex.,94
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,processSocket,Complex Conditional,The conditional expression channel.isOpen() && dispatch && socketStatus == SocketStatus.OPEN_READ is complex.,202
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,checkParachute,Magic Number,The method contains a magic number: 10000,382
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,reclaimParachute,Complex Conditional,The conditional expression oomParachute > 0 && (force || (Runtime.getRuntime().freeMemory() > (oomParachute * 2))) is complex.,395
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,reclaimParachute,Long Statement,The length of the statement "if (oomParachute > 0 && (force || (Runtime.getRuntime().freeMemory() > (oomParachute * 2)))) oomParachuteData=new byte[oomParachute];" is 133.,395
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,reclaimParachute,Magic Number,The method contains a magic number: 2,395
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,cancelledKey,Complex Conditional,The conditional expression ka != null && ka.isComet() && status != null is complex.,420
nginx-clojure_nginx-clojure,org.apache.coyote.http11,NginxEndpoint,cancelledKey,Complex Method,Cyclomatic complexity of the method is 11,420
