Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
nicolasjafelle_AndroidDemo,com.android.test.otto,VenueResultEvent,VenueResultEvent,5,1,3,21,0,,
nicolasjafelle_AndroidDemo,com.android.test.otto,VenueSearchEvent,VenueSearchEvent,3,1,1,11,0,,
nicolasjafelle_AndroidDemo,com.android.test.otto,OttoBus,post,13,2,1,22,0,,
nicolasjafelle_AndroidDemo,com.android.test.otto,OttoBus,run,3,1,0,28,0,,
nicolasjafelle_AndroidDemo,com.android.test,AndroidDemoApplication,onCreate,5,1,0,20,0,,
nicolasjafelle_AndroidDemo,com.android.test,AndroidDemoApplication,getAppContext,3,1,0,28,0,,
nicolasjafelle_AndroidDemo,com.android.test,AndroidDemoApplication,injectMembers,3,1,1,32,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,FoursquareApiErrorDto,getMeta,3,1,0,10,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,FoursquareApiErrorDto,setMeta,3,1,1,14,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,Response,getVenues,3,1,0,14,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,Response,setVenues,3,1,1,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,Meta,getCode,3,1,0,11,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,Meta,setCode,3,1,1,15,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,Meta,getErrorType,3,1,0,19,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,Meta,setErrorType,3,1,1,23,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,FoursquareDto,getMeta,3,1,0,15,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,FoursquareDto,setMeta,3,1,1,19,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,FoursquareDto,getResponse,3,1,0,23,0,,
nicolasjafelle_AndroidDemo,com.android.test.dto,FoursquareDto,setResponse,3,1,1,27,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,ResultListActivity,onCreate,7,1,1,27,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,ResultListActivity,setInitialFragment,12,2,0,38,0,com.android.test.activity.ResultListActivity,com.android.test.activity.ResultListActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,ResultListActivity,onOptionsItemSelected,7,2,1,55,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,ResultListActivity,onItemClick,3,1,3,67,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,ResultListActivity,onToolbarHide,3,1,0,72,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,ResultListActivity,onToolbarShow,3,1,0,79,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,onCreate,4,1,1,17,0,com.android.test.activity.AbstractActionBarActivity,com.android.test.activity.AbstractActionBarActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,setInitialFragment,0,1,0,25,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,setInitialFragment,5,1,3,33,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,setInitialFragment,4,1,2,47,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,setInitialFragment,7,2,2,59,0,com.android.test.activity.AbstractActionBarActivity,com.android.test.activity.AbstractActionBarActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,replaceFragment,3,1,1,73,0,com.android.test.activity.AbstractActionBarActivity,com.android.test.activity.AbstractActionBarActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,replaceFragment,9,2,2,83,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,AbstractActionBarActivity,getCurrentFragment,3,1,0,100,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onCreate,10,1,1,40,0,com.android.test.activity.SideBarActivity,com.android.test.activity.SideBarActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,setInitialFragment,3,1,0,54,0,com.android.test.activity.SideBarActivity,com.android.test.activity.SideBarActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,setupSideBar,32,3,0,65,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onClick,8,2,1,69,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onDrawerClosed,3,1,1,82,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onDrawerOpened,3,1,1,87,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onBackPressed,8,2,0,97,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onOptionsItemSelected,6,2,1,106,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onPostCreate,4,1,1,116,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onConfigurationChanged,4,1,1,123,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onResult,11,2,3,130,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,loadSavedPlaces,7,1,2,150,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,SideBarActivity,onItemClick,5,1,4,159,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,onCreate,17,3,1,28,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,invalidateDrawable,3,1,1,53,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,scheduleDrawable,2,1,3,58,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,unscheduleDrawable,2,1,2,62,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,onSetupFadingActionBar,11,1,2,67,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,onScrollChanged,6,1,4,70,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,getParentActivityIntent,3,1,0,82,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,setInitialFragment,12,2,0,88,0,com.android.test.activity.DetailActivity,com.android.test.activity.DetailActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,onOptionsItemSelected,8,2,1,105,0,com.android.test.activity.DetailActivity,com.android.test.activity.DetailActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,onBackPressed,4,1,0,117,0,com.android.test.activity.DetailActivity,com.android.test.activity.DetailActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,startActivity,9,1,3,123,0,com.android.test.activity.DetailActivity,com.android.test.activity.DetailActivity
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,animate,5,2,1,138,0,,
nicolasjafelle_AndroidDemo,com.android.test.activity,DetailActivity,animate,5,2,0,145,0,,
nicolasjafelle_AndroidDemo,com.android.test.utils,DataHelper,DataHelper,3,1,1,15,0,,
nicolasjafelle_AndroidDemo,com.android.test.utils,DataHelper,getList,3,1,0,19,0,,
nicolasjafelle_AndroidDemo,com.android.test.module,AndroidDemoModule,configure,8,1,0,14,0,,
nicolasjafelle_AndroidDemo,com.android.test.module,AndroidDemoModule,get,3,1,0,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.task.event,OnApiErrorEvent,OnApiErrorEvent,3,1,1,12,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,VenueBackgroundTask,VenueBackgroundTask,5,1,2,33,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,VenueBackgroundTask,onPreExecute,4,1,0,39,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,VenueBackgroundTask,call,4,1,0,45,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,VenueBackgroundTask,onSuccess,7,2,1,51,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,VenueBackgroundTask,onApiError,3,1,1,61,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,VenueBackgroundTask,onFinally,5,1,0,66,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,FoursquareAsyncTask,FoursquareAsyncTask,4,1,0,30,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,FoursquareAsyncTask,onException,39,9,1,35,0,com.android.test.task.FoursquareAsyncTask,com.android.test.task.FoursquareAsyncTask
nicolasjafelle_AndroidDemo,com.android.test.task,FoursquareAsyncTask,clear,3,1,0,69,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,FoursquareAsyncTask,onInterrupted,3,1,1,73,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,FoursquareAsyncTask,onApiError,0,1,1,78,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,SafeAsyncTask,3,1,0,44,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,SafeAsyncTask,4,1,1,52,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,SafeAsyncTask,3,1,1,60,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,SafeAsyncTask,4,1,2,67,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,future,4,1,0,73,0,com.android.test.task.SafeAsyncTask,com.android.test.task.SafeAsyncTask
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,executor,4,1,1,78,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,executor,3,1,0,83,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,handler,4,1,1,87,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,handler,3,1,0,92,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,execute,3,1,0,96,0,com.android.test.task.SafeAsyncTask,com.android.test.task.SafeAsyncTask
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,execute,4,1,1,100,0,com.android.test.task.SafeAsyncTask,com.android.test.task.SafeAsyncTask
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,cancel,4,2,1,105,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,onPreExecute,2,1,0,112,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,onSuccess,2,1,1,118,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,onInterrupted,3,1,1,126,0,com.android.test.task.SafeAsyncTask,com.android.test.task.SafeAsyncTask
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,onException,3,1,1,140,0,com.android.test.task.SafeAsyncTask,com.android.test.task.SafeAsyncTask
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,onThrowable,3,1,1,151,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,onFinally,2,1,0,155,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,isCancelled,3,1,0,161,0,,
nicolasjafelle_AndroidDemo,com.android.test.task,SafeAsyncTask,newTask,3,1,0,166,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,DialogFragmentHelper,show,16,3,3,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,DialogFragmentHelper,dismissDialog,7,2,1,39,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,DialogFragmentHelper,dismissDialog,7,2,1,51,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,newInstance,3,1,0,24,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,setProgressDialogFragmentListener,3,1,1,31,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,onCreate,4,1,1,35,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,onViewCreated,3,1,2,41,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,onCreateDialog,8,1,1,47,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,isShowing,7,2,0,58,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,onDestroyView,6,2,0,66,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,setMessage,3,1,1,78,0,,
nicolasjafelle_AndroidDemo,com.android.test.dialog,ProgressDialogFragment,onCancel,6,2,1,82,0,,
nicolasjafelle_AndroidDemo,com.android.test.adapter,VenueRecyclerAdapter,VenueRecyclerAdapter,5,1,3,32,0,,
nicolasjafelle_AndroidDemo,com.android.test.adapter,VenueRecyclerAdapter,onCreateViewHolder,7,2,2,38,0,,
nicolasjafelle_AndroidDemo,com.android.test.adapter,VenueRecyclerAdapter,onBindViewHolder,4,1,2,51,0,,
nicolasjafelle_AndroidDemo,com.android.test.adapter,VenueRecyclerAdapter,getItemCount,3,1,0,57,0,,
nicolasjafelle_AndroidDemo,com.android.test.adapter,VenueRecyclerAdapter,getItemViewType,8,2,1,62,0,,
nicolasjafelle_AndroidDemo,com.android.test.adapter,VenueRecyclerAdapter,getItemAtPosition,3,1,1,72,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onCreate,3,1,1,80,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,newInstance,3,1,0,85,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onCreateView,6,1,3,89,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onViewCreated,5,1,2,99,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onResume,4,1,0,108,0,com.android.test.fragment.MainFragment,com.android.test.fragment.MainFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,createProgressDialog,7,1,1,114,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onClick,14,3,1,123,0,com.android.test.fragment.MainFragment,com.android.test.fragment.MainFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onSideBarItemClick,8,2,1,141,0,com.android.test.fragment.MainFragment,com.android.test.fragment.MainFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,postVenueSearchEvent,3,1,1,150,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,loadSavedPlaces,6,2,0,154,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onStart,4,1,0,162,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onStop,4,1,0,168,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onDestroy,4,1,0,174,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onCancel,3,1,0,181,0,com.android.test.fragment.MainFragment,com.android.test.fragment.MainFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,cancelTask,5,2,0,186,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,closeKeyboard,4,1,0,192,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,searchForVenues,10,2,1,205,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,resultVenues,9,2,1,218,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onPreExecute,3,1,1,228,0,com.android.test.fragment.MainFragment,com.android.test.fragment.MainFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onApiError,9,2,1,233,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,MainFragment,onFinally,4,1,1,244,0,com.android.test.fragment.MainFragment,com.android.test.fragment.MainFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,DetailFragment,newInstance,9,1,3,42,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,DetailFragment,onCreateView,8,1,3,53,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,DetailFragment,onViewCreated,15,2,2,65,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,newInstance,9,1,3,57,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,onCreateView,6,1,3,69,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,onViewCreated,10,2,2,79,0,com.android.test.fragment.ResultListFragment,com.android.test.fragment.ResultListFragment
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,setupFab,9,1,0,93,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,onClick,4,1,1,95,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,setupRecyclerView,44,6,0,105,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,onScrollStateChanged,3,1,2,124,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,onScrolled,27,6,3,129,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,ResultListFragment,onItemClickListener,5,1,2,163,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,AbstractFragment,onCreate,5,1,1,15,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,AbstractFragment,onAttach,9,1,1,23,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,AbstractFragment,onDetach,4,1,0,34,0,,
nicolasjafelle_AndroidDemo,com.android.test.fragment,AbstractFragment,getActionBarActivity,3,1,0,41,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,getId,3,1,0,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,setId,3,1,1,22,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,getName,3,1,0,26,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,setName,3,1,1,30,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,getLocation,3,1,0,34,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,setLocation,3,1,1,38,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,getContact,3,1,0,42,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Venue,setContact,3,1,1,46,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getAddress,3,1,0,21,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setAddress,3,1,1,25,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getLat,3,1,0,29,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setLat,3,1,1,33,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getLng,3,1,0,37,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setLng,3,1,1,41,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getPostalCode,3,1,0,45,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setPostalCode,3,1,1,49,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getCc,3,1,0,53,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setCc,3,1,1,57,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getCity,3,1,0,61,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setCity,3,1,1,65,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getState,3,1,0,69,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setState,3,1,1,73,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,getCountry,3,1,0,77,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Location,setCountry,3,1,1,81,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Contact,getFormattedPhone,3,1,0,14,0,,
nicolasjafelle_AndroidDemo,com.android.test.domain,Contact,setFormattedPhone,3,1,1,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,ObservableScrollView,ObservableScrollView,3,1,1,19,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,ObservableScrollView,ObservableScrollView,3,1,2,23,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,ObservableScrollView,ObservableScrollView,3,1,3,27,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,ObservableScrollView,ObservableScrollView,3,1,4,31,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,ObservableScrollView,setObservableScrollViewListener,3,1,1,35,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,ObservableScrollView,onScrollChanged,6,2,4,39,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,SideBarCallback,onSideBarItemClick,0,1,1,8,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,VenueItemView,4,1,1,33,0,com.android.test.view.VenueItemView,com.android.test.view.VenueItemView
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,VenueItemView,4,1,2,38,0,com.android.test.view.VenueItemView,com.android.test.view.VenueItemView
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,VenueItemView,4,1,3,43,0,com.android.test.view.VenueItemView,com.android.test.view.VenueItemView
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,init,9,1,0,48,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,fillData,12,2,2,63,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,getDistanceText,3,1,0,85,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,getNameText,3,1,0,89,0,,
nicolasjafelle_AndroidDemo,com.android.test.view,VenueItemView,setFirst,12,2,0,93,0,,
nicolasjafelle_AndroidDemo,com.android.test.client,FoursquareClient,FoursquareClient,7,2,0,25,0,,
nicolasjafelle_AndroidDemo,com.android.test.client,FoursquareClient,searchForVenues,5,1,1,41,0,,
nicolasjafelle_AndroidDemo,com.android.test.client,IFoursquareClient,searchForVenues,0,1,3,13,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,GPSTracker,4,1,1,49,0,com.android.test.location.GPSTracker,com.android.test.location.GPSTracker
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,getLocation,40,9,0,55,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,stopUsingGPS,5,2,0,113,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,getLatitude,6,2,0,123,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,getLongitude,6,2,0,135,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,canGetLocation,3,1,0,147,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,showSettingsAlert,19,1,0,155,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onClick,4,1,2,170,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onClick,3,1,2,178,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onLocationChanged,2,1,1,187,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onProviderDisabled,2,1,1,191,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onProviderEnabled,2,1,1,195,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onStatusChanged,2,1,3,199,0,,
nicolasjafelle_AndroidDemo,com.android.test.location,GPSTracker,onBind,3,1,1,203,0,,
nicolasjafelle_AndroidDemo,com.android.test.qachee,QacheeData,QacheeData,4,1,2,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.qachee,QacheeData,getKey,3,1,0,23,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,SessionManager,3,1,1,18,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,savePlace,5,1,1,24,0,com.android.test.session.SessionManager,com.android.test.session.SessionManager
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,getSavedPlaces,3,1,0,30,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,clear,5,1,0,34,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,saveValue,5,1,2,42,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,saveValues,5,1,2,48,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,saveValue,5,1,2,56,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,saveValue,5,1,2,62,0,,
nicolasjafelle_AndroidDemo,com.android.test.session,SessionManager,saveValue,5,1,2,68,0,,
