Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
nordicway_moji,example,QuickStart,0,0,1,1,19,3,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/nordicway_moji/example/MojiEclipseQuickStart/src/example/QuickStart.java,11
nordicway_moji,it.zielke.moji,MossException,2,0,4,4,17,4,0,0,0.5,1,0,/data/research/workspace/testability/data/repos/nordicway_moji/src/main/java/it/zielke/moji/MossException.java,3
nordicway_moji,it.zielke.moji,Stage,0,0,0,0,5,0,0,0,-1.0,2,0,/data/research/workspace/testability/data/repos/nordicway_moji/src/main/java/it/zielke/moji/Stage.java,3
nordicway_moji,it.zielke.moji,SocketClient,19,0,41,39,372,54,0,0,0.04878048780487805,2,2,/data/research/workspace/testability/data/repos/nordicway_moji/src/main/java/it/zielke/moji/SocketClient.java,22
nordicway_moji,it.zielke.moji,MockServer,17,0,40,39,248,54,0,0,0.175,1,0,/data/research/workspace/testability/data/repos/nordicway_moji/src/test/java/it/zielke/moji/MockServer.java,12
nordicway_moji,it.zielke.moji,ExpectedValues,3,0,6,6,29,6,0,0,0.5,0,0,/data/research/workspace/testability/data/repos/nordicway_moji/src/test/java/it/zielke/moji/ExpectedValues.java,5
nordicway_moji,it.zielke.moji,SocketClientTestBase,4,1,5,4,67,6,2,0,0.0,0,2,/data/research/workspace/testability/data/repos/nordicway_moji/src/test/java/it/zielke/moji/SocketClientTestBase.java,12
nordicway_moji,it.zielke.moji,SocketClientCommandsTest,0,0,14,14,120,15,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/nordicway_moji/src/test/java/it/zielke/moji/SocketClientCommandsTest.java,14
nordicway_moji,it.zielke.moji,EncodingTest,0,0,4,3,39,8,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/nordicway_moji/src/test/java/it/zielke/moji/EncodingTest.java,12
nordicway_moji,it.zielke.moji,SocketClientUploadTest,0,0,5,3,36,7,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/nordicway_moji/src/test/java/it/zielke/moji/SocketClientUploadTest.java,15
