Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
novoda_simple-easy-xml-parser,com.novoda.demoandroid,MenuActivity,onCreate,19,1,1,27,0,com.novoda.demoandroid.MenuActivity,com.novoda.demoandroid.MenuActivity
novoda_simple-easy-xml-parser,com.novoda.demoandroid,MenuActivity,onItemClick,5,1,4,42,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid,MenuActivity,populateNavigationMenu,9,1,0,52,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid,ParsingTask,ParsingTask,4,1,2,12,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid,ParsingTask,doInBackground,4,1,1,23,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid,SecondLevelBaseActivity,onCreate,5,1,1,8,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.returnvalue,ReturnValueActivity,onCreate,11,1,1,29,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.onetag,OneTagActivity,onCreate,11,1,1,28,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.onetag,OneTagActivity,onFinish,10,1,0,45,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.onetag,OneTagActivity,run,5,1,0,49,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleActivity,onCreate,11,1,1,28,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleActivity,onFinish,21,1,0,45,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleActivity,run,5,1,0,63,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleHelper,getChannelDetailsString,6,1,1,65,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleHelper,getChannelImageString,6,1,1,73,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleHelper,getAllPodcastItemsString,12,2,1,80,0,com.novoda.demoandroid.podcast.PodcastExampleHelper,com.novoda.demoandroid.podcast.PodcastExampleHelper
novoda_simple-easy-xml-parser,com.novoda.demoandroid.podcast,PodcastExampleHelper,getSpace,3,1,0,93,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.team,TeamExampleActivity,onCreate,11,1,1,37,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.team,TeamExampleActivity,onFinish,10,1,0,54,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.team,TeamExampleActivity,run,5,1,0,58,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.simple,SimpleExampleActivity,onCreate,11,1,1,30,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.simple,SimpleExampleActivity,onFinish,10,1,0,51,0,,
novoda_simple-easy-xml-parser,com.novoda.demoandroid.simple,SimpleExampleActivity,run,5,1,0,55,0,,
novoda_simple-easy-xml-parser,com.novoda.jackson.small,JacksonSmallXmlBenchmark,parse,5,1,1,7,0,,
novoda_simple-easy-xml-parser,com.novoda.jackson.medium,JacksonMediumXmlBenchmark,parse,5,1,1,12,0,,
novoda_simple-easy-xml-parser,com.novoda,XmlParsingBenchmark,main,3,1,1,19,0,,
novoda_simple-easy-xml-parser,com.novoda.simple.small,SimpleFrameworkSmallXmlBenchmark,parse,5,1,1,10,0,,
novoda_simple-easy-xml-parser,com.novoda.simple.medium,SimpleFrameworkMediumXmlBenchmark,parse,5,1,1,15,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.small,SexpSmallXmlBenchmark,parse,9,1,1,12,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.small,SexpSmallXmlBenchmark,onFinish,3,1,1,20,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,FeedParser,FeedParser,10,1,1,37,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,FeedParser,onParsed,3,1,1,49,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,FeedParser,parse,11,1,1,55,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,FeedParser,getResult,10,1,0,67,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,AuthorParser,AuthorParser,3,1,1,20,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,AuthorParser,parse,5,1,2,24,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,AuthorParser,start,2,1,1,34,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,AuthorParser,end,4,1,0,39,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,EntryParser,EntryParser,7,1,1,36,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,EntryParser,onParsed,3,1,1,45,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,EntryParser,parse,9,1,2,52,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,EntryParser,start,3,1,1,67,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,EntryParser,end,9,1,0,72,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,LinkAttributeMarshaller,marshal,8,1,1,6,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,SexpMediumXmlBenchmark,SexpMediumXmlBenchmark,4,1,0,15,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,SexpMediumXmlBenchmark,parse,9,1,1,20,0,,
novoda_simple-easy-xml-parser,com.novoda.sexp.medium,SexpMediumXmlBenchmark,onFinish,3,1,1,24,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneTagExample,execute,6,1,0,16,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneTagExample,onFinish,3,1,0,25,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneElementInstigator,OneElementInstigator,5,1,3,20,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneElementInstigator,getRootTag,3,1,0,26,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneElementInstigator,create,9,1,1,31,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneElementInstigator,end,4,1,1,35,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.onetag,OneElementInstigator,end,2,1,0,44,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.advanced.podcast.pojo,Author,Author,3,1,1,7,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.advanced.podcast.pojo,Author,toString,3,1,0,11,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.advanced.podcast.pojo,PodcastItem,PodcastItem,7,1,5,13,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.advanced.podcast.pojo,ChannelImage,ChannelImage,7,1,5,11,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.advanced.podcast.pojo,Link,Link,3,1,1,7,0,,
novoda_simple-easy-xml-parser,com.novoda.demo.advanced.podcast.pojo,Link,toString,3,1,0,11,0,,
