Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addProjectUser,Long Statement,The length of the statement "return factory.createUser(post(buildEndpoint("projects/" + projectIdOrKey + "/users")`params`new ArrayList<NameValuePair>()));" is 126.,130
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,removeProjectUser,Long Statement,The length of the statement "return factory.createUser(delete(buildEndpoint("projects/" + projectIdOrKey + "/users")`new NameValuePair("userId"`String.valueOf(userId))));" is 141.,137
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addProjectAdministrator,Long Statement,The length of the statement "return factory.createUser(post(buildEndpoint("projects/" + projectIdOrKey + "/administrators")`params`new ArrayList<NameValuePair>()));" is 135.,143
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,removeProjectAdministrator,Long Statement,The length of the statement "return factory.createUser(delete(buildEndpoint("projects/" + projectIdOrKey + "/administrators")`new NameValuePair("userId"`String.valueOf(userId))));" is 150.,155
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addIssueType,Long Statement,The length of the statement "return factory.createIssueType(post(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/issueTypes")`params));" is 123.,166
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,updateIssueType,Long Statement,The length of the statement "return factory.createIssueType(patch(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/issueTypes/"+ params.getIssueTypeId())`params));" is 150.,172
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,removeIssueType,Long Statement,The length of the statement "return factory.createIssueType(delete(buildEndpoint("projects/" + projectIdOrKey + "/issueTypes/"+ issueTypeId)`new NameValuePair("substituteIssueTypeId"`String.valueOf(substituteIssueTypeId))));" is 195.,179
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addCategory,Long Statement,The length of the statement "return factory.createCategory(post(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/categories")`params));" is 122.,195
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,updateCategory,Long Statement,The length of the statement "return factory.createCategory(patch(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/categories/"+ params.getCategoryId())`params));" is 148.,201
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,updateVersion,Long Statement,The length of the statement "return factory.createVersion(patch(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/versions/"+ params.getVersionId())`params));" is 144.,223
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,getMilestones,Long Statement,The length of the statement "for ( Milestone milestone : factory.createMilestoneList(get(buildEndpoint("projects/" + projectIdOrKey + "/versions")))) {" is 122.,235
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addMilestone,Long Statement,The length of the statement "return factory.createMilestone(post(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/versions")`params));" is 121.,246
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,updateMilestone,Long Statement,The length of the statement "return factory.createMilestone(patch(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/versions/"+ params.getVersionId())`params));" is 146.,251
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addCustomField,Long Statement,The length of the statement "return factory.createCustomField(post(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/customFields")`params));" is 127.,348
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,updateCustomField,Long Statement,The length of the statement "return factory.createCustomField(patch(buildEndpoint("projects/" + params.getProjectIdOrKeyString() + "/customFields/"+ params.getCustomFiledId())`params));" is 156.,352
nulab_backlog4j,com.nulabinc.backlog4j,BacklogClientImpl,addListCustomFieldItem,Long Statement,The length of the statement "return factory.createCustomField(post(buildEndpoint("projects/" + projectIdOrKey + "/customFields/"+ customFieldId+ "/items")`params`new ArrayList<NameValuePair>()));" is 166.,362
