Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
octo-online_reactive-audit,com.octo.reactive.audit,NetworkTools,NetworkTools,2,1,0,26,0,,
octo-online_reactive-audit,com.octo.reactive.audit,NetworkTools,isURLConnected,8,1,1,44,0,,
octo-online_reactive-audit,com.octo.reactive.audit,WithLatencyAudit,with,4,1,1,29,0,,
octo-online_reactive-audit,com.octo.reactive.audit,AbstractCPUAudit,newException,3,1,2,26,0,,
octo-online_reactive-audit,com.octo.reactive.audit,DetectionUtils,DetectionUtils,2,1,0,21,0,,
octo-online_reactive-audit,com.octo.reactive.audit,DetectionUtils,getFullJavaVersion,7,2,0,25,0,,
octo-online_reactive-audit,com.octo.reactive.audit,DetectionUtils,getJavaRuntimeVersion,4,1,0,35,0,com.octo.reactive.audit.DetectionUtils,com.octo.reactive.audit.DetectionUtils
octo-online_reactive-audit,com.octo.reactive.audit,DetectionUtils,getJavaRuntimeVersion,8,2,1,41,0,,
octo-online_reactive-audit,com.octo.reactive.audit,AbstractNetworkAudit,newException,3,1,2,25,0,,
octo-online_reactive-audit,com.octo.reactive.audit,URLTools,URLTools,2,1,0,29,0,,
octo-online_reactive-audit,com.octo.reactive.audit,URLTools,latencyURL,17,2,3,33,0,,
octo-online_reactive-audit,com.octo.reactive.audit,URLTools,lazyException,3,1,0,47,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,initialValue,3,1,0,81,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getPropertiesURL,6,2,0,112,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,startup,32,5,0,120,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,cpuAnalyze,58,11,0,165,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,shutdown,17,3,0,245,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,reset,14,1,0,276,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,isDebug,3,1,0,294,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,setDebug,12,1,1,299,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,incSuppress,3,1,0,316,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,decSuppress,3,1,0,324,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getSuppress,3,1,0,332,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,isThreadNameMatch,20,8,1,342,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,isSuppressAudit,3,1,0,376,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,isStarted,16,6,0,386,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,setStarted,6,2,1,406,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getBootStrapMode,3,1,0,415,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,setBootStrapMode,5,1,1,420,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getBootstrapDelay,3,1,0,428,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getFileLatency,3,1,0,433,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getNetworkLatency,3,1,0,438,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getCPULatency,3,1,0,443,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,isThrow,3,1,0,448,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,getThreadPattern,3,1,0,459,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,current,3,1,0,469,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,push,3,1,0,480,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,pop,3,1,0,488,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,begin,3,1,0,496,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,logIfNew,0,9,2,507,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,debug,3,1,1,544,0,,
octo-online_reactive-audit,com.octo.reactive.audit,ReactiveAudit,dumpTarget,8,2,1,549,0,com.octo.reactive.audit.ReactiveAudit,com.octo.reactive.audit.ReactiveAudit
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,LoadParams,31,3,2,67,0,,
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,resetAllEnv,3,1,0,111,0,,
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,getAllEnv,14,4,0,116,0,,
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,getValue,5,2,3,137,0,,
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,commit,26,3,0,145,0,com.octo.reactive.audit.LoadParams,com.octo.reactive.audit.LoadParams
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,applyProperties,16,2,1,180,0,com.octo.reactive.audit.LoadParams,com.octo.reactive.audit.LoadParams
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,convLevelLatency,12,4,1,201,0,,
octo-online_reactive-audit,com.octo.reactive.audit,LoadParams,convLevelString,12,4,1,217,0,,
octo-online_reactive-audit,com.octo.reactive.audit,HistoryStackElement,purge,3,1,0,29,0,,
octo-online_reactive-audit,com.octo.reactive.audit,HistoryStackElement,isAlreadyLogged,6,1,1,35,0,,
