Project Name,Package Name,Architecture Smell,Cause of the Smell
open-eid_digidoc4j,org.digidoc4j,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 74
open-eid_digidoc4j,org.digidoc4j,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.digidoc4j; org.digidoc4j.impl
open-eid_digidoc4j,org.digidoc4j,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.digidoc4j; org.digidoc4j.impl; org.digidoc4j.utils
open-eid_digidoc4j,org.digidoc4j,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.digidoc4j; org.digidoc4j.impl; org.digidoc4j.utils; org.digidoc4j.impl.asic
open-eid_digidoc4j,org.digidoc4j,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.digidoc4j; org.digidoc4j.impl; org.digidoc4j.utils; org.digidoc4j.impl.asic; org.digidoc4j.impl.asic.xades
open-eid_digidoc4j,org.digidoc4j,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.digidoc4j.impl; org.digidoc4j.impl.asic.xades.validation; org.digidoc4j.utils; org.digidoc4j.impl.asic; org.digidoc4j.impl.asic.ocsp; org.digidoc4j.impl.asic.tsl; org.digidoc4j.test; org.digidoc4j.test.util; org.digidoc4j.signers; org.digidoc4j.impl.asic.xades; org.digidoc4j.impl.asic.asice.bdoc; org.digidoc4j.impl.asic.asice; org.digidoc4j.impl.ddoc; org.digidoc4j.impl.asic.manifest
open-eid_digidoc4j,org.digidoc4j,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Container; ContainerBuilder; DetachedXadesSignatureBuilder; SignatureContainerMatcherValidator; SignatureBuilder; Constant; SignatureToken; SignatureFinalizerBuilder; DataToSign; OCSPSourceBuilder; SignatureParameters; SignatureProfile; SignedInfo; DigestAlgorithm; Signature; SignatureProductionPlace; ContainerValidationResult; Configuration; DSSFileLoaderFactory; DataFile; LargeDataFile; DigestDataFile; SignatureValidationResult; ContainerOpener; DataLoaderFactory; FileWritingOperationsTest; AbstractTest; DataFileTest; ContainerBuilderTest; SignatureBuilderTest; SignatureFinalizerBuilderTest; FileNameTest; ContainerTest; AiaOcspTest; LibraryInteroperabilityTest; PerformanceTest; DetachedXadesSignatureBuilderTest; ContainerOpenerTest; CertificateValidatorBuilderTest; DigestAlgorithmTest; ConfigurationTest; ContainerZipTest; SignatureProductionPlaceTest; SignatureTest; ExternalConnectionType; EncryptionAlgorithm; ConfigurationRegistry; ShutdownHook; TSLCertificateSource; ContainerBuilder.ContainerDataFile; TSLRefreshCallback; X509Cert; X509CertTest; CertificateValidatorBuilder; CertificateValidator; ExtendedCertificateSource; Constant.Default; ValidationResult; ConfigurationParameter]; [Container.DocumentType]; [CertificateStatus]; [X509Cert.KeyUsage]; [X509Cert.Issuer]; [X509Cert.SubjectName]; [Constant.System]; [Constant.Test]; [Constant.Production]; [Constant.DDoc4J]; [Version]; [ServiceType]; [Configuration.Mode]; [TestSuite]; [AbstractTest.PotentiallyThrowing]; [ApacheWireDecoderTest]. LCC (Lack of Component Cohesion) = 0.22
open-eid_digidoc4j,org.digidoc4j,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.digidoc4j.impl.asic; org.digidoc4j.impl.asic.xades.
open-eid_digidoc4j,org.digidoc4j,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.digidoc4j.impl.ddoc; org.digidoc4j.exceptions.
open-eid_digidoc4j,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.92. All the dependencies among components: from: org.digidoc4j to: org.digidoc4j.impl; from: org.digidoc4j to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j to: org.digidoc4j.exceptions; from: org.digidoc4j to: org.digidoc4j.utils; from: org.digidoc4j to: org.digidoc4j.impl.asic; from: org.digidoc4j to: org.digidoc4j.impl.asic.ocsp; from: org.digidoc4j to: org.digidoc4j.impl.asic.tsl; from: org.digidoc4j to: org.digidoc4j.test; from: org.digidoc4j to: org.digidoc4j.test.util; from: org.digidoc4j to: org.digidoc4j.signers; from: org.digidoc4j to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j to: org.digidoc4j.impl.asic.asice.bdoc; from: org.digidoc4j to: org.digidoc4j.impl.asic.asice; from: org.digidoc4j to: org.digidoc4j.impl.ddoc; from: org.digidoc4j to: org.digidoc4j.impl.asic.manifest; from: org.digidoc4j to: org.digidoc4j.ddoc; from: org.digidoc4j.signers to: org.digidoc4j; from: org.digidoc4j.signers to: org.digidoc4j.impl; from: org.digidoc4j.signers to: org.digidoc4j.test; from: org.digidoc4j.signers to: org.digidoc4j.test.util; from: org.digidoc4j.signers to: org.digidoc4j.exceptions; from: org.digidoc4j.utils to: org.digidoc4j; from: org.digidoc4j.utils to: org.digidoc4j.impl.asic; from: org.digidoc4j.utils to: org.digidoc4j.ddoc.factory; from: org.digidoc4j.utils to: org.digidoc4j.test; from: org.digidoc4j.utils to: org.digidoc4j.test.util; from: org.digidoc4j.utils to: org.digidoc4j.signers; from: org.digidoc4j.main to: org.digidoc4j; from: org.digidoc4j.main to: org.digidoc4j.exceptions; from: org.digidoc4j.main to: org.digidoc4j.main.xades; from: org.digidoc4j.main to: org.digidoc4j.ddoc; from: org.digidoc4j.main to: org.digidoc4j.impl.asic.asics; from: org.digidoc4j.main to: org.digidoc4j.signers; from: org.digidoc4j.main to: org.digidoc4j.impl.asic; from: org.digidoc4j.main to: org.digidoc4j.ddoc.factory; from: org.digidoc4j.main to: org.digidoc4j.impl.asic.tsl; from: org.digidoc4j.main to: org.digidoc4j.impl.ddoc; from: org.digidoc4j.main to: org.digidoc4j.test.util; from: org.digidoc4j.main to: org.digidoc4j.test; from: org.digidoc4j.main.xades to: org.digidoc4j; from: org.digidoc4j.main.xades to: org.digidoc4j.main; from: org.digidoc4j.impl to: org.digidoc4j; from: org.digidoc4j.impl to: org.digidoc4j.utils; from: org.digidoc4j.impl to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl to: org.digidoc4j.exceptions; from: org.digidoc4j.impl to: org.digidoc4j.test.util; from: org.digidoc4j.impl to: org.digidoc4j.impl.asic.tsl; from: org.digidoc4j.impl to: org.digidoc4j.test; from: org.digidoc4j.impl.pades to: org.digidoc4j; from: org.digidoc4j.impl.pades to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.pades to: org.digidoc4j.main; from: org.digidoc4j.impl.pades to: org.digidoc4j.test; from: org.digidoc4j.impl.asic to: org.digidoc4j; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.asic to: org.digidoc4j.utils; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.manifest; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.report; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.asice; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.asice.bdoc; from: org.digidoc4j.impl.asic to: org.digidoc4j.impl.asic.asics; from: org.digidoc4j.impl.asic to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.asic.manifest to: org.digidoc4j; from: org.digidoc4j.impl.asic.manifest to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.asic.manifest to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.asic.tsl to: org.digidoc4j; from: org.digidoc4j.impl.asic.tsl to: org.digidoc4j.utils; from: org.digidoc4j.impl.asic.tsl to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.asic.tsl to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.asic.tsl to: org.digidoc4j.impl; from: org.digidoc4j.impl.asic.tsl to: org.digidoc4j.test; from: org.digidoc4j.impl.asic.xades to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.asic.xades to: org.digidoc4j; from: org.digidoc4j.impl.asic.xades to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.asic.xades to: org.digidoc4j.impl; from: org.digidoc4j.impl.asic.xades to: org.digidoc4j.utils; from: org.digidoc4j.impl.asic.xades.validation to: org.digidoc4j; from: org.digidoc4j.impl.asic.xades.validation to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.asic.xades.validation to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.asic.xades.validation to: org.digidoc4j.utils; from: org.digidoc4j.impl.asic.xades.validation to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.asic.xades.validation to: org.digidoc4j.impl; from: org.digidoc4j.impl.asic.asics to: org.digidoc4j; from: org.digidoc4j.impl.asic.asics to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.asic.asics to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.asic.asics to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.asic.asics to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.asic.report to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.asic.report to: org.digidoc4j; from: org.digidoc4j.impl.asic.asice to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.asic.asice to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.asic.asice to: org.digidoc4j; from: org.digidoc4j.impl.asic.asice to: org.digidoc4j.impl.asic.manifest; from: org.digidoc4j.impl.asic.asice to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.asic.asice to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.asic.asice.bdoc to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.asic.asice.bdoc to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.asic.asice.bdoc to: org.digidoc4j; from: org.digidoc4j.impl.asic.asice.bdoc to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.asic.asice.bdoc to: org.digidoc4j.utils; from: org.digidoc4j.impl.asic.ocsp to: org.digidoc4j; from: org.digidoc4j.impl.ddoc to: org.digidoc4j; from: org.digidoc4j.impl.ddoc to: org.digidoc4j.ddoc; from: org.digidoc4j.impl.ddoc to: org.digidoc4j.ddoc.utils; from: org.digidoc4j.impl.ddoc to: org.digidoc4j.ddoc.factory; from: org.digidoc4j.impl.ddoc to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.ddoc to: org.digidoc4j.test; from: org.digidoc4j.exceptions to: org.digidoc4j; from: org.digidoc4j.jvm to: org.digidoc4j.impl.asic; from: org.digidoc4j.jvm to: org.digidoc4j; from: org.digidoc4j.impl.bdoc to: org.digidoc4j; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.test; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.impl.asic.tsl; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.test.util; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.impl.asic.asice.bdoc; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.impl.asic.asice; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.signers; from: org.digidoc4j.impl.bdoc to: org.digidoc4j.impl; from: org.digidoc4j.impl.bdoc.manifest to: org.digidoc4j.impl.asic.manifest; from: org.digidoc4j.impl.bdoc.manifest to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.manifest to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.bdoc.manifest to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.bdoc.manifest to: org.digidoc4j.impl.asic.asice.bdoc; from: org.digidoc4j.impl.bdoc.tsl to: org.digidoc4j.impl.asic.tsl; from: org.digidoc4j.impl.bdoc.tsl to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.tsl to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.bdoc.tsl to: org.digidoc4j.test.util; from: org.digidoc4j.impl.bdoc.xades to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.impl.bdoc.xades to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.xades to: org.digidoc4j.signers; from: org.digidoc4j.impl.bdoc.xades to: org.digidoc4j.test; from: org.digidoc4j.impl.bdoc.xades.validation to: org.digidoc4j.impl.asic.xades.validation; from: org.digidoc4j.impl.bdoc.xades.validation to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.report to: org.digidoc4j.impl.asic.report; from: org.digidoc4j.impl.bdoc.report to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.report to: org.digidoc4j.test; from: org.digidoc4j.impl.bdoc.report to: org.digidoc4j.test.util; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j.impl; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j.impl.asic; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j.impl.asic.manifest; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j.test.util; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j.test; from: org.digidoc4j.impl.bdoc.asic to: org.digidoc4j.exceptions; from: org.digidoc4j.impl.bdoc.ocsp to: org.digidoc4j.impl; from: org.digidoc4j.impl.bdoc.ocsp to: org.digidoc4j; from: org.digidoc4j.impl.bdoc.ocsp to: org.digidoc4j.test; from: org.digidoc4j.impl.bdoc.ocsp to: org.digidoc4j.impl.asic.ocsp; from: org.digidoc4j.impl.edoc to: org.digidoc4j; from: org.digidoc4j.impl.edoc to: org.digidoc4j.test; from: org.digidoc4j.test to: org.digidoc4j; from: org.digidoc4j.test to: org.digidoc4j.impl; from: org.digidoc4j.test to: org.digidoc4j.impl.asic.xades; from: org.digidoc4j.test to: org.digidoc4j.exceptions; from: org.digidoc4j.test.util to: org.digidoc4j.signers; from: org.digidoc4j.test.util to: org.digidoc4j; from: org.digidoc4j.test.util to: org.digidoc4j.impl.asic.tsl; from: org.digidoc4j.test.util to: org.digidoc4j.main; from: org.digidoc4j.ddoc to: org.digidoc4j.ddoc.utils; from: org.digidoc4j.ddoc to: org.digidoc4j.ddoc.factory; from: org.digidoc4j.ddoc.factory to: org.digidoc4j.ddoc; from: org.digidoc4j.ddoc.factory to: org.digidoc4j.ddoc.utils; from: org.digidoc4j.ddoc.utils to: org.digidoc4j.ddoc; from: org.digidoc4j.ddoc.utils to: org.digidoc4j.ddoc.tsl; from: org.digidoc4j.ddoc.utils to: org.digidoc4j.ddoc.factory; from: org.digidoc4j.ddoc.tsl to: org.digidoc4j.ddoc.utils; from: org.digidoc4j.ddoc.tsl to: org.digidoc4j.ddoc; from: org.digidoc4j.ddoc.tsl to: org.digidoc4j.ddoc.factory; from: org.digidoc4j.ddoc.c14n to: org.digidoc4j.ddoc.c14n.common; from: org.digidoc4j.ddoc.c14n to: org.digidoc4j.ddoc.
