Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyData,create,27,8,2,54,0,com.optimaize.langdetect.profiles.LanguageProfile,com.optimaize.langdetect.profiles.LanguageProfile
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyData,NgramFrequencyData,4,1,2,93,0,,
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyData,getLanguageList,3,1,0,101,0,,
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyData,getLanguage,3,1,1,105,0,,
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyData,getProbabilities,3,1,1,110,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetector,detect,0,1,1,39,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetector,getProbabilities,0,1,1,50,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,compare,3,1,2,78,0,com.optimaize.langdetect.DetectedLanguage,com.optimaize.langdetect.DetectedLanguage
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,LanguageDetectorImpl,18,7,10,104,0,com.optimaize.langdetect.cybozu.util.Util,com.optimaize.langdetect.cybozu.util.Util; com.optimaize.langdetect.NgramFrequencyData
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,detect,15,3,1,134,0,com.optimaize.langdetect.LanguageDetectorImpl,com.optimaize.langdetect.LanguageDetectorImpl; com.optimaize.langdetect.DetectedLanguage
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,getProbabilities,9,2,1,149,0,com.optimaize.langdetect.LanguageDetectorImpl,com.optimaize.langdetect.LanguageDetectorImpl
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,detectBlock,12,4,1,160,0,com.optimaize.langdetect.ngram.NgramExtractor,com.optimaize.langdetect.ngram.NgramExtractor; com.optimaize.langdetect.LanguageDetectorImpl
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,detectBlockShortText,11,4,1,176,0,com.optimaize.langdetect.LanguageDetectorImpl,com.optimaize.langdetect.LanguageDetectorImpl; com.optimaize.langdetect.cybozu.util.Util
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,detectBlockLongText,20,8,1,190,0,com.optimaize.langdetect.NgramFrequencyData,com.optimaize.langdetect.NgramFrequencyData; com.optimaize.langdetect.LanguageDetectorImpl; com.optimaize.langdetect.cybozu.util.Util
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,initProbability,11,4,0,216,0,com.optimaize.langdetect.NgramFrequencyData,com.optimaize.langdetect.NgramFrequencyData
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,updateLangProb,22,8,4,234,0,com.optimaize.langdetect.NgramFrequencyData,com.optimaize.langdetect.NgramFrequencyData; com.optimaize.langdetect.cybozu.util.Util
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,sortProbability,13,4,1,262,0,com.optimaize.langdetect.NgramFrequencyData,com.optimaize.langdetect.NgramFrequencyData
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,create,3,1,1,62,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,LanguageDetectorBuilder,3,1,1,66,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,alpha,5,2,1,71,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,seed,3,1,1,77,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,seed,4,1,1,80,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,shortTextAlgorithm,4,1,1,86,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,affixFactor,5,1,1,94,0,com.optimaize.langdetect.LanguageDetectorBuilder,com.optimaize.langdetect.LanguageDetectorBuilder
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,prefixFactor,4,1,1,103,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,suffixFactor,4,1,1,117,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,probabilityThreshold,4,1,1,127,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,minimalConfidence,4,1,1,137,0,,
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,languagePriorities,4,1,1,147,0,,
