Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyData,2,0,5,4,62,12,0,0,0.4,3,1,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/NgramFrequencyData.java,26
optimaize_language-detector,com.optimaize.langdetect,LanguageDetector,0,0,2,0,18,2,1,0,-1.0,6,0,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/LanguageDetector.java,24
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImpl,18,0,10,3,205,45,0,1,0.2,0,4,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/LanguageDetectorImpl.java,30
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorBuilder,12,0,15,14,122,21,0,0,0.0,5,4,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/LanguageDetectorBuilder.java,31
optimaize_language-detector,com.optimaize.langdetect,DetectedLanguage,2,0,5,5,39,8,0,0,0.0,4,1,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/DetectedLanguage.java,22
optimaize_language-detector,com.optimaize.langdetect,LanguageDetectorImplTest,0,0,3,1,26,4,0,0,-1.0,0,9,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/test/java/com/optimaize/langdetect/LanguageDetectorImplTest.java,34
optimaize_language-detector,com.optimaize.langdetect,TechnicalLanguageDetectorImplTest,3,0,6,4,42,7,0,0,0.0,0,4,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/test/java/com/optimaize/langdetect/TechnicalLanguageDetectorImplTest.java,26
optimaize_language-detector,com.optimaize.langdetect,NgramFrequencyDataTest,1,0,6,5,32,7,0,0,0.0,0,2,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/test/java/com/optimaize/langdetect/NgramFrequencyDataTest.java,32
optimaize_language-detector,com.optimaize.langdetect,DataLanguageDetectorImplTest,2,0,9,4,50,10,0,0,0.3333333333333333,0,5,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/test/java/com/optimaize/langdetect/DataLanguageDetectorImplTest.java,35
optimaize_language-detector,com.optimaize.langdetect.cybozu,GenProfile,1,0,1,1,52,6,0,0,0.0,1,2,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/cybozu/GenProfile.java,30
optimaize_language-detector,com.optimaize.langdetect.cybozu,CommandLineInterface,5,0,12,4,214,35,0,0,0.0,0,9,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/main/java/com/optimaize/langdetect/cybozu/CommandLineInterface.java,38
optimaize_language-detector,com.optimaize.langdetect.cybozu,DetectedLanguageTest,0,0,3,3,25,3,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/optimaize_language-detector/src/test/java/com/optimaize/langdetect/cybozu/DetectedLanguageTest.java,29
