Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
oxo42_stateless4j,com.github.oxo42.stateless4j.conversion,ParameterConversion,unpack,Long Statement,The length of the statement "throw new IllegalStateException(String.format("The argument in position %s is of type %s but must be of type %s."`index`arg.getClass()`argType));" is 145.,8
oxo42_stateless4j,com.github.oxo42.stateless4j.conversion,ParameterConversion,validate,Long Statement,The length of the statement "throw new IllegalStateException(String.format("Too many parameters have been supplied. Expecting %s but got %s."`expected.length`args.length));" is 143.,26
oxo42_stateless4j,com.github.oxo42.stateless4j,StateMachineConfig,configure,Long Statement,The length of the statement "return new StateConfiguration<>(getOrCreateRepresentation(state)`new Func2<TState`StateRepresentation<TState`TTrigger>>(){" is 122.,57
oxo42_stateless4j,com.github.oxo42.stateless4j,StateMachineConfig,setTriggerParameters,Long Statement,The length of the statement "TriggerWithParameters3<TArg0`TArg1`TArg2`TTrigger> configuration=new TriggerWithParameters3<>(trigger`classe0`classe1`classe2);" is 127.,111
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentation,tryFindLocalHandler,Long Statement,The length of the statement "throw new IllegalStateException("Multiple permitted exit transitions are configured from state '" + state + "' for trigger '"+ trigger+ "'. Guard clauses must be mutually exclusive.");" is 184.,42
oxo42_stateless4j,com.github.oxo42.stateless4j,StateRepresentation,isIncludedIn,Long Statement,The length of the statement "return this.state != null && this.state.equals(stateToCheck) || (superstate != null && superstate.isIncludedIn(stateToCheck));" is 126.,169
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,onEntryFrom,Long Parameter List,The method has 5 parameters. ,494
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,onEntryFrom,Magic Number,The method contains a magic number: 2,502
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,doIt,Magic Number,The method contains a magic number: 2,516
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,onEntryFrom,Long Parameter List,The method has 5 parameters. ,528
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,719
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,738
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,768
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,794
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,832
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,861
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,904
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Magic Number,The method contains a magic number: 2,904
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,call,Magic Number,The method contains a magic number: 2,922
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,936
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Magic Number,The method contains a magic number: 2,936
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,permitDynamicIf,Magic Number,The method contains a magic number: 2,936
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,call,Magic Number,The method contains a magic number: 2,959
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,doIt,Magic Number,The method contains a magic number: 2,970
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,enforceNotIdentityTransition,Long Statement,The length of the statement "throw new IllegalStateException("Permit() (and PermitIf()) require that the destination state is not equal to the source state. To accept a trigger without changing state` use either ignore()` permitInternal() or permitReentry().");" is 232.,982
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,publicPermitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,1011
oxo42_stateless4j,com.github.oxo42.stateless4j,StateConfiguration,publicPermitDynamicIf,Long Identifier,The length of the field DESTINATION_STATE_SELECTOR_IS_NULL is 34.,1018
oxo42_stateless4j,com.github.oxo42.stateless4j,StateMachine,doIt,Long Statement,The length of the statement "throw new IllegalStateException(String.format("No valid leaving transitions are permitted from state '%s' for trigger '%s'. Consider ignoring the trigger."`state`trigger));" is 172.,27
oxo42_stateless4j,com.github.oxo42.stateless4j,TransitioningTriggerBehaviourTests,TransitionIsExternal,Long Statement,The length of the statement "TransitioningTriggerBehaviour<State`Trigger> transitioning=new TransitioningTriggerBehaviour<>(Trigger.X`State.C`InternalTriggerBehaviourTests.returnTrue`InternalTriggerBehaviourTests.nopAction);" is 195.,11
oxo42_stateless4j,com.github.oxo42.stateless4j,TransitioningTriggerBehaviourTests,TransitionsToDestinationState,Long Statement,The length of the statement "TransitioningTriggerBehaviour<State`Trigger> transitioning=new TransitioningTriggerBehaviour<>(Trigger.X`State.C`InternalTriggerBehaviourTests.returnTrue`InternalTriggerBehaviourTests.nopAction);" is 195.,19
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 2,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 4,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 6,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 8,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 10,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 12,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 7,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 2,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 4,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 2,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 6,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 3,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 8,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 4,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 10,117
oxo42_stateless4j,com.github.oxo42.stateless4j,DynamicTransitionActionTests,UnguardedDynamicTransitionActionsArePerformed,Magic Number,The method contains a magic number: 5,117
