Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
oyachai_HearthSim,com.hearthsim.player.playercontroller,ArtificialPlayer,0,0,3,3,20,3,1,0,-1.0,6,2,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/player/playercontroller/ArtificialPlayer.java,11
oyachai_HearthSim,com.hearthsim.player.playercontroller,BoardScorer,0,0,5,5,23,5,1,0,-1.0,6,4,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/player/playercontroller/BoardScorer.java,8
oyachai_HearthSim,com.hearthsim.player.playercontroller,WeightedScorer,19,0,44,43,237,59,0,1,0.045454545454545456,1,7,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/player/playercontroller/WeightedScorer.java,15
oyachai_HearthSim,com.hearthsim.player.playercontroller,BruteForceSearchAI,5,1,12,11,155,19,0,1,0.16666666666666666,17,9,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/player/playercontroller/BruteForceSearchAI.java,25
oyachai_HearthSim,com.hearthsim.event,HSSimulationEvent,0,0,0,0,2,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/event/HSSimulationEvent.java,3
oyachai_HearthSim,com.hearthsim.event,HSSimulationEventListener,0,0,2,2,4,2,0,0,-1.0,1,0,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/event/HSSimulationEventListener.java,3
oyachai_HearthSim,com.hearthsim.event,HSGameEndEventListener,0,0,1,1,3,1,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/event/HSGameEndEventListener.java,7
oyachai_HearthSim,com.hearthsim.event,HSGameEndEvent,1,0,2,0,9,2,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/event/HSGameEndEvent.java,5
oyachai_HearthSim,com.hearthsim.event.filter,FilterCharacterInterface,0,0,3,3,16,5,1,1,-1.0,1,5,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/event/filter/FilterCharacterInterface.java,9
oyachai_HearthSim,com.hearthsim.event.filter,FilterCharacterTargetedSpell,8,8,15,1,83,19,0,3,1.0,68,4,/data/research/workspace/testability/data/repos/oyachai_HearthSim/src/main/java/com/hearthsim/event/filter/FilterCharacterTargetedSpell.java,8
