Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.dsa,DsaPublicKeyMatcher,2,0,5,2,29,6,0,0,0.0,2,0,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/main/java/com/palominolabs/ssh/auth/publickey/dsa/DsaPublicKeyMatcher.java,13
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.dsa,DsaPublicKeyMatcherFactory,0,0,2,2,11,2,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/main/java/com/palominolabs/ssh/auth/publickey/dsa/DsaPublicKeyMatcherFactory.java,12
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.dsa,DsaPublicKeyMatcherTest,7,0,7,7,100,7,0,0,1.0,0,2,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/test/java/com/palominolabs/ssh/auth/publickey/dsa/DsaPublicKeyMatcherTest.java,14
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.dsa,DsaPublicKeyMatcherTest.StubDsaPublicKey,7,0,0,0,59,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/test/java/com/palominolabs/ssh/auth/publickey/dsa/DsaPublicKeyMatcherTest.java,75
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.dsa,DsaPublicKeyMatcherFactoryTest,0,0,2,1,13,2,0,0,-1.0,2,2,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/test/java/com/palominolabs/ssh/auth/publickey/dsa/DsaPublicKeyMatcherFactoryTest.java,17
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.rsa,RsaPublicKeyMatcherFactory,0,0,2,2,11,2,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/main/java/com/palominolabs/ssh/auth/publickey/rsa/RsaPublicKeyMatcherFactory.java,12
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.rsa,RsaPublicKeyMatcher,2,0,4,2,24,5,0,0,0.0,2,0,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/main/java/com/palominolabs/ssh/auth/publickey/rsa/RsaPublicKeyMatcher.java,13
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.rsa,RsaPublicKeyMatcherTest,5,0,10,9,76,10,0,0,0.4,0,3,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/test/java/com/palominolabs/ssh/auth/publickey/rsa/RsaPublicKeyMatcherTest.java,17
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.rsa,RsaPublicKeyMatcherTest.StubRsaPublicKey,5,0,0,0,29,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/test/java/com/palominolabs/ssh/auth/publickey/rsa/RsaPublicKeyMatcherTest.java,99
palominolabs_jvm-ssh-groovy-shell,com.palominolabs.ssh.auth.publickey.rsa,RsaPublicKeyMatcherFactoryTest,0,0,2,1,16,2,0,0,-1.0,2,2,/data/research/workspace/testability/data/repos/palominolabs_jvm-ssh-groovy-shell/authorized-keys-ssh-authenticator/src/test/java/com/palominolabs/ssh/auth/publickey/rsa/RsaPublicKeyMatcherFactoryTest.java,18
