Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,RecyclerViewListAdapterActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,RecyclerViewAdapterActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,RecyclerViewAdapterActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseActivity
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,MainActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseActivity
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,ListViewActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui,ViewPagerActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui.diffing,VideoItemDiffCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui.builder,VideoRendererBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pedrovgs_Renderers,com.pedrogomez.renderers.sample.ui.renderers,RemovableVideoRenderer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): VideoRenderer
