Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
peholmst_vaadin4spring,org.vaadin.spring.events,EventBusAware,0,0,0,0,33,0,3,0,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBusAware.java,20
peholmst_vaadin4spring,org.vaadin.spring.events,EventBusAware.ApplicationEventBusAware,0,0,0,0,9,0,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBusAware.java,27
peholmst_vaadin4spring,org.vaadin.spring.events,EventBusAware.SessionEventBusAware,0,0,0,0,9,0,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBusAware.java,38
peholmst_vaadin4spring,org.vaadin.spring.events,EventBusAware.UIEventBusAware,0,0,0,0,9,0,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBusAware.java,49
peholmst_vaadin4spring,org.vaadin.spring.events,TopicFilter,0,0,1,0,14,1,2,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/TopicFilter.java,18
peholmst_vaadin4spring,org.vaadin.spring.events,ExactTopicFilter,0,0,1,1,9,1,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/ExactTopicFilter.java,18
peholmst_vaadin4spring,org.vaadin.spring.events,EventBusListenerMethodFilter,0,0,1,0,12,1,1,0,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBusListenerMethodFilter.java,18
peholmst_vaadin4spring,org.vaadin.spring.events,HierachyTopicFilter,0,0,1,1,9,1,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/HierachyTopicFilter.java,18
peholmst_vaadin4spring,org.vaadin.spring.events,EventScope,0,0,0,0,18,0,0,0,-1.0,7,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventScope.java,18
peholmst_vaadin4spring,org.vaadin.spring.events,NoEventBusListenerMethodFilter,0,0,1,1,10,1,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/NoEventBusListenerMethodFilter.java,19
peholmst_vaadin4spring,org.vaadin.spring.events,Event,6,0,9,9,68,9,0,0,0.0,12,2,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/Event.java,20
peholmst_vaadin4spring,org.vaadin.spring.events,EventBus,0,0,19,0,152,19,3,0,-1.0,11,2,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBus.java,18
peholmst_vaadin4spring,org.vaadin.spring.events,EventBus.ApplicationEventBus,0,0,0,0,6,0,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBus.java,249
peholmst_vaadin4spring,org.vaadin.spring.events,EventBus.SessionEventBus,0,0,0,0,6,0,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBus.java,257
peholmst_vaadin4spring,org.vaadin.spring.events,EventBus.UIEventBus,0,0,0,0,6,0,0,1,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBus.java,265
peholmst_vaadin4spring,org.vaadin.spring.events,EventBusListener,0,0,1,0,12,1,0,0,-1.0,3,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/EventBusListener.java,20
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ListenerCollection,4,0,8,1,136,14,1,0,0.0,2,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ListenerCollection.java,25
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ListenerCollection.Listener,0,0,0,0,16,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ListenerCollection.java,37
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ListenerCollection.ListenerFilter,0,0,0,0,11,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ListenerCollection.java,58
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ClassUtils,0,0,2,0,26,3,0,0,-1.0,1,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ClassUtils.java,18
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ClassUtils.ClassVisitor,0,0,0,0,6,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ClassUtils.java,28
peholmst_vaadin4spring,org.vaadin.spring.events.internal,AbstractListenerWrapper,5,0,4,2,31,4,2,1,0.0,0,3,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/AbstractListenerWrapper.java,21
peholmst_vaadin4spring,org.vaadin.spring.events.internal,MethodListenerWrapper,5,0,9,3,102,19,0,2,0.3333333333333333,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/MethodListenerWrapper.java,29
peholmst_vaadin4spring,org.vaadin.spring.events.internal,EventBusListenerWrapper,2,0,4,2,22,4,0,2,0.5,0,3,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/EventBusListenerWrapper.java,24
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBus,7,0,26,23,189,36,3,0,0.3076923076923077,1,6,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ScopedEventBus.java,32
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBus.DefaultApplicationEventBus,0,0,0,0,8,0,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ScopedEventBus.java,266
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBus.DefaultSessionEventBus,0,0,0,0,8,0,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ScopedEventBus.java,276
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBus.DefaultUIEventBus,0,0,0,0,8,0,0,1,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/internal/ScopedEventBus.java,286
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest,19,0,26,26,336,28,0,0,0.0,0,3,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,32
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.StringListener,0,0,0,0,2,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,42
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.MultipleListeners,10,0,0,0,42,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,45
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.TopicStringListener,1,0,0,0,6,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,117
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.TopicIntegerListener,1,0,0,0,6,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,127
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.TopicListeners,4,0,0,0,18,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,137
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.InvalidListener1,0,0,0,0,4,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,165
peholmst_vaadin4spring,org.vaadin.spring.events.internal,ScopedEventBusTest.InvalidListener2,0,0,0,0,4,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/internal/ScopedEventBusTest.java,172
peholmst_vaadin4spring,org.vaadin.spring.events.config,EventBusConfiguration,0,0,6,0,24,6,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/config/EventBusConfiguration.java,30
peholmst_vaadin4spring,org.vaadin.spring.events.support,ApplicationContextEventBroker,2,0,2,2,15,2,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/support/ApplicationContextEventBroker.java,24
peholmst_vaadin4spring,org.vaadin.spring.events.support,VaadinEventBusAwareProcessor,1,0,4,3,44,10,0,0,0.5,0,0,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/main/java/org/vaadin/spring/events/support/VaadinEventBusAwareProcessor.java,30
peholmst_vaadin4spring,org.vaadin.spring.events.support,ApplicationContextEventBrokerTest,1,0,2,2,18,2,0,0,1.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/support/ApplicationContextEventBrokerTest.java,25
peholmst_vaadin4spring,org.vaadin.spring.events.integration,ScopedEventBusIntegrationTest,2,0,11,1,86,11,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/peholmst_vaadin4spring/eventbus/src/test/java/org/vaadin/spring/events/integration/ScopedEventBusIntegrationTest.java,27
