Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
phax_ph-css,com.helger.css,ECSSUnitTest,testBasic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
phax_ph-css,com.helger.css,ECSSUnitTest,testStatics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 42
phax_ph-css,com.helger.css,SPITest,testBasic,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
phax_ph-css,com.helger.css,CSSFilenameHelperTest,testAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
phax_ph-css,com.helger.css,CSSFilenameHelperTest,testAll,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.helger.css.CSSFilenameHelper.isCSSFilename; com.helger.css.CSSFilenameHelper.isMinifiedCSSFilename; com.helger.css.CSSFilenameHelper.isRegularCSSFilename; com.helger.css.CSSFilenameHelper.getMinifiedCSSFilename
phax_ph-css,com.helger.css.propertyvalue,CSSValueTest,testBasic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
phax_ph-css,com.helger.css.tools,MediaQueryToolsTest,testParseMediaQuery,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
phax_ph-css,com.helger.css.tools,MediaQueryToolsTest,testGetWrapped,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
phax_ph-css,com.helger.css.tools,MediaQueryToolsTest,testGetWrapped,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.helger.css.reader.CSSReader.readFromString; com.helger.css.tools.MediaQueryTools.parseToMediaQuery; com.helger.css.writer.CSSWriter.getCSSAsString
phax_ph-css,com.helger.css.utils,CSSNumberHelperTest,testGetMatchingUnitInclPercentage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
phax_ph-css,com.helger.css.utils,CSSNumberHelperTest,testGetMatchingUnitExclPercentage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
phax_ph-css,com.helger.css.utils,CSSNumberHelperTest,testGetMatchingUnitExclPercentage,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
phax_ph-css,com.helger.css.utils,CSSNumberHelperTest,testIsValueWithUnit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
phax_ph-css,com.helger.css.utils,CSSNumberHelperTest,testGetValueWithUnit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 21
phax_ph-css,com.helger.css.utils,CSSDataURLHelperTest,testIsDataURL,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
phax_ph-css,com.helger.css.utils,CSSDataURLHelperTest,testParseDataURL,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
phax_ph-css,com.helger.css.utils,CSSDataURLHelperTest,testParseDataURL,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.helger.css.utils.CSSDataURLHelper.parseDataURL; com.helger.css.utils.CSSDataURL.isBase64Encoded; com.helger.css.utils.CSSDataURL.getAsString; com.helger.css.utils.CSSDataURL.getAsString
phax_ph-css,com.helger.css.utils,ECSSColorTest,testAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
