Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,AbstractHdfsBolt,14,0,7,3,84,14,2,0,0.2857142857142857,0,4,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/AbstractHdfsBolt.java,42
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,SequenceFileBolt,6,0,14,12,82,17,0,1,0.5714285714285714,1,5,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/SequenceFileBolt.java,39
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,HdfsBolt,4,0,11,9,74,14,0,1,0.6363636363636364,1,5,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/HdfsBolt.java,41
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,HdfsFileTopology,11,0,2,2,98,4,0,0,0.0,0,6,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/HdfsFileTopology.java,53
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,HdfsFileTopology.SentenceSpout,6,0,0,0,39,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/HdfsFileTopology.java,124
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,HdfsFileTopology.MyBolt,2,0,0,0,15,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/HdfsFileTopology.java,176
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,SequenceFileTopology,11,0,2,2,90,4,0,0,0.0,0,3,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/SequenceFileTopology.java,48
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,SequenceFileTopology.SentenceSpout,6,0,0,0,39,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/SequenceFileTopology.java,114
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt,SequenceFileTopology.MyBolt,2,0,0,0,15,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/SequenceFileTopology.java,170
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.format,DefaultFileNameFormat,5,0,6,6,42,6,0,1,0.3333333333333333,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DefaultFileNameFormat.java,25
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.format,RecordFormat,0,0,1,0,6,1,1,0,-1.0,2,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/RecordFormat.java,25
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.format,DelimitedRecordFormat,5,2,4,4,50,6,0,1,0.0,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DelimitedRecordFormat.java,23
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.format,FileNameFormat,0,0,3,0,14,3,1,0,-1.0,4,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/FileNameFormat.java,25
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.format,DefaultSequenceFormat,4,0,5,5,33,7,0,1,0.6,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/DefaultSequenceFormat.java,8
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.format,SequenceFormat,0,0,4,0,27,4,1,0,-1.0,1,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/format/SequenceFormat.java,8
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.sync,CountSyncPolicy,2,0,3,3,17,3,0,1,0.0,0,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/sync/CountSyncPolicy.java,23
ptgoetz_storm-hdfs,org.apache.storm.hdfs.bolt.sync,SyncPolicy,0,0,2,0,16,2,1,0,-1.0,5,0,/data/research/workspace/testability/data/repos/ptgoetz_storm-hdfs/src/main/java/org/apache/storm/hdfs/bolt/sync/SyncPolicy.java,24
