Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.app,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.greenrobot.app,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library.utils,OttoBusWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library.receiver,InternetConnectionChangeReceiver,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INTENT; INTENT_EXTRA
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library,NetworkEventsTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library,NetworkState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: status
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library,NetworkState,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: status
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library,ConnectivityStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: status
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library,NetworkHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library,MobileNetworkType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library.logger,NetworkEventsLogger,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pwittchen_NetworkEvents,com.github.pwittchen.networkevents.library.internet,OnlineCheckerImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
