Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,Feature,3,1,1,52,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,isPrefixed,3,1,0,57,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,MediaSpec,4,1,1,118,0,cz.vutbr.web.css.MediaSpec,cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getType,3,1,0,128,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getWidth,3,1,0,137,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setWidth,3,1,1,146,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getHeight,3,1,0,155,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setHeight,3,1,1,164,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setDimensions,4,1,2,173,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getDeviceWidth,3,1,0,184,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setDeviceWidth,3,1,1,193,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getDeviceHeight,3,1,0,202,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setDeviceHeight,3,1,1,211,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setDeviceDimensions,4,1,2,220,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getColor,3,1,0,231,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setColor,3,1,1,240,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getColorIndex,3,1,0,249,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setColorIndex,3,1,1,258,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getMonochrome,3,1,0,267,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setMonochrome,3,1,1,276,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getResolution,3,1,0,285,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setResolution,3,1,1,294,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,isScanInterlace,3,1,0,303,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setScanInterlace,3,1,1,312,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getGrid,3,1,0,321,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,setGrid,3,1,1,330,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getAspectRatio,3,1,0,339,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getDeviceAspectRation,3,1,0,348,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,isPortrait,3,1,0,357,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,matches,12,7,1,369,0,cz.vutbr.web.css.MediaQuery,cz.vutbr.web.css.MediaQuery; cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,matches,0,25,1,397,0,cz.vutbr.web.css.MediaExpression,cz.vutbr.web.css.MediaExpression; cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,matchesOneOf,6,3,1,471,0,cz.vutbr.web.css.MediaSpec,cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,matchesEmpty,3,1,0,486,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getFeatureByName,3,1,1,496,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,valueMatches,8,4,4,506,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,valueMatches,8,4,4,529,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getExpressionLengthPx,8,3,1,552,0,cz.vutbr.web.css.MediaSpec,cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getExpressionResolution,8,3,1,571,0,cz.vutbr.web.css.MediaSpec,cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getExpressionRatio,9,3,1,590,0,cz.vutbr.web.css.Term,cz.vutbr.web.css.Term
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getExpressionInteger,8,3,1,611,0,cz.vutbr.web.css.TermInteger,cz.vutbr.web.css.TermInteger
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,getExpressionIdentifier,8,3,1,630,0,cz.vutbr.web.css.Term,cz.vutbr.web.css.Term
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,pxLength,0,10,1,649,0,cz.vutbr.web.css.Term,cz.vutbr.web.css.Term; cz.vutbr.web.css.TermNumeric
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,dpiResolution,0,4,1,684,0,cz.vutbr.web.css.Term,cz.vutbr.web.css.Term; cz.vutbr.web.css.TermNumeric; cz.vutbr.web.css.MediaSpec
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,loadDefaults,12,1,0,709,0,,
radkovo_jStyleParser,cz.vutbr.web.css,MediaSpec,toString,16,1,0,728,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getTotalProperties,0,1,0,15,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getDefinedPropertyNames,0,1,0,21,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,isSupportedMedia,0,1,1,28,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,isSupportedCSSProperty,0,1,1,35,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getDefaultProperty,0,1,1,42,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getDefaultValue,0,1,1,50,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getRandomPropertyName,0,1,0,63,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getOrdinal,0,1,1,69,0,,
radkovo_jStyleParser,cz.vutbr.web.css,SupportedCSS,getPropertyName,0,1,1,77,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createAngle,0,1,1,10,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createAngle,0,1,3,11,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createCalc,0,1,1,13,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createColor,0,1,1,15,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createColor,0,1,1,16,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createColor,0,1,3,17,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createColor,0,1,4,18,0,,
radkovo_jStyleParser,cz.vutbr.web.css,TermFactory,createColor,0,1,1,19,0,,
