Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck.flow.support,Optional.Some,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck.flow.support,TCKVerificationSupport.ThrowingRunnable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TEST_BUFFER_SIZE
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.ManualSubscriber,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.ManualSubscriberWithSubscriptionSupport,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.BlackholeSubscriberWithSubscriptionSupport,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.TestSubscriber,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.ManualPublisher,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.Latch,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.Promise,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,TestEnvironment.Receptacle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,SubscriberWhiteboxVerification.BlackboxSubscriberProxy,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,SubscriberWhiteboxVerification.BlackboxProbe,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,SubscriberWhiteboxVerification.WhiteboxSubscriberProbe,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
reactive-streams_reactive-streams-jvm,org.reactivestreams.tck,PublisherVerification,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SKIPPING_NO_ERROR_PUBLISHER_AVAILABLE; SKIPPING_OPTIONAL_TEST_FAILED
